MaStR-Nr. der Einheit;Anzeige-Name der Einheit;Betriebs-Status;Energieträger;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Bundesland;Postleitzahl;Ort;Straße;Hausnummer;Gemarkung;Flurstück;Gemeindeschlüssel;Koordinate: Breitengrad (WGS84);Koordinate: Längengrad (WGS84);Anzahl der Solar-Module;Hauptausrichtung der Solar-Module;Name des Windparks;Nabenhöhe der Windenergieanlage;Rotordurchmesser der Windenergieanlage;Hersteller der Windenergieanlage;Typenbezeichnung;Hauptbrennstoff der Einheit;Nutzbare Speicherkapazität in kWh;Technologie der Stromerzeugung;Lage der Einheit;Letzte Aktualisierung;Datum der endgültigen Stilllegung;Datum der geplanten Inbetriebnahme;Name des Anlagenbetreibers (nur Org.);"	MaStR-Nr. des Anlagenbetreibers";Volleinspeisung oder Teileinspeisung;MaStR-Nr. der Genehmigung;Name des Anschluss-Netzbetreibers;MaStR-Nr. des Anschluss-Netzbetreibers;Netzbetreiberprüfung;Spannungsebene;MaStR-Nr. der Lokation;MaStR-Nr. der EEG-Anlage;EEG-Anlagenschlüssel;Inbetriebnahmedatum der EEG-Anlage;Installierte Leistung der EEG-Anlage;Zuschlagnummer (EEG/KWK-Ausschreibung);MaStR-Nr. der KWK-Anlage;Inbetriebnahmedatum der KWK-Anlage;Elektrische KWK-Leistung;Thermische Nutzleistung in kW
SEE929326236774;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;01.10.2019;02.10.2019;Thüringen;99087;Erfurt;;;;;16051000;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);02.10.2019;;;natürliche Person (ABR920293634679);ABR920293634679;Teileinspeisung (einschließlich Eigenverbrauch);;SWE Netz GmbH (Erfurt) (SNB950262883869);SNB950262883869;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL938079170099;EEG903633398592;;01.10.2019;0,6;;;;;
SEE952352635365;Balkonkraftwerk Hauslicht;In Betrieb;Solare Strahlungsenergie;0,3;0,3;15.01.2020;29.06.2020;Thüringen;98544;Zella-Mehlis;;;;;16066092;;;1;Süd-Ost;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);13.09.2023;;;natürliche Person (ABR930795130661);ABR930795130661;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Suhl/Zella-Mehlis Netz GmbH (SNB935760057516);SNB935760057516;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL925926996650;EEG949014591251;E43074016010670220000500333600001;15.01.2020;0,3;;;;;
SEE944819736319;Balkonkraftwerk 1. Obergeschoß;In Betrieb;Solare Strahlungsenergie;0,3;0,3;15.01.2020;29.06.2020;Thüringen;98544;Zella-Mehlis;;;;;16066092;;;1;Süd-Ost;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);13.09.2023;;;natürliche Person (ABR930795130661);ABR930795130661;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Suhl/Zella-Mehlis Netz GmbH (SNB935760057516);SNB935760057516;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL918581444598;EEG954306205204;E43074016010670220000500748400001;15.01.2020;0,3;;;;;
SEE936693383758;Balkonkraftwerk Dachgeschoß;In Betrieb;Solare Strahlungsenergie;0,3;0,3;15.01.2020;29.06.2020;Thüringen;98544;Zella-Mehlis;;;;;16066092;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);23.07.2023;;;natürliche Person (ABR957034131470);ABR957034131470;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Suhl/Zella-Mehlis Netz GmbH (SNB935760057516);SNB935760057516;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL979826104486;EEG999479561276;E43074016010670220000347104900001;15.01.2020;0,3;;;;;
SEE909057065966;Balkonkraftwerk Erdgeschoß;In Betrieb;Solare Strahlungsenergie;0,3;0,3;15.01.2020;29.06.2020;Thüringen;98544;Zella-Mehlis;;;;;16066092;;;1;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);14.10.2020;;;natürliche Person (ABR900065712514);ABR900065712514;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Suhl/Zella-Mehlis Netz GmbH (SNB935760057516);SNB935760057516;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL935684748125;EEG913768956079;E4307401601067022000D500420900001;15.01.2020;0,3;;;;;
SEE906240035317;Balkonkraftwerk - 590W;In Betrieb;Solare Strahlungsenergie;0,68;0,59;12.01.2020;13.03.2020;Thüringen;36460;Krayenberggemeinde;;;;;16063101;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);29.11.2021;;;natürliche Person (ABR926907621424);ABR926907621424;Teileinspeisung (einschließlich Eigenverbrauch);;OsthessenNetz GmbH (SNB934071779865);SNB934071779865;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL986270216481;EEG985378930213;E4174701111AA00000000043601300001;12.01.2020;0,68;;;;;
SEE960213510492;"""Balkonkraftwerk""-Nebengebäude";In Betrieb;Solare Strahlungsenergie;0,57;0,57;14.03.2020;15.03.2020;Thüringen;7333;Unterwellenborn;;;;;16073111;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);09.03.2023;;;natürliche Person (ABR980379820204);ABR980379820204;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL902250806749;EEG971884120521;;14.03.2020;0,6;;;;;
SEE992955580549;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,62;0,56;26.03.2020;15.04.2020;Thüringen;98574;Schmalkalden;;;;;16066063;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);15.04.2020;;;natürliche Person (ABR979579282042);ABR979579282042;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL972626796110;EEG995483059761;;26.03.2020;0,62;;;;;
SEE977652998880;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,35;0,35;19.04.2020;19.04.2020;Thüringen;99706;Sondershausen;;;;;16065067;;;4;Süd-West;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);21.01.2021;;;natürliche Person (ABR956457052317);ABR956457052317;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Sondershausen Netz GmbH (SNB987483520273);SNB987483520273;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL978854069446;EEG924593967703;;19.04.2020;0,35;;;;;
SEE952570401414;Balkonkraftwerk 600W;In Betrieb;Solare Strahlungsenergie;0,65;0,6;26.06.2020;27.06.2020;Thüringen;7957;Langenwetzendorf;;;;;16076039;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);29.09.2022;;;natürliche Person (ABR949411521868);ABR949411521868;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL993042380707;EEG996918012375;E4183201RS50271146000036364200001;26.06.2020;0,65;;;;;
SEE925025459186;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,67;0,6;18.06.2020;17.07.2020;Thüringen;36460;Krayenberggemeinde;;;;;16063101;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);05.08.2020;;;natürliche Person (ABR938139089262);ABR938139089262;Teileinspeisung (einschließlich Eigenverbrauch);;OsthessenNetz GmbH (SNB934071779865);SNB934071779865;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL992075612601;EEG924591763338;E4174701111AA00000000043743600001;18.06.2020;0,67;;;;;
