index;EER_2020;EER_2025;EER_2030;EER_2035;EER_2040;EER_2045;Raumwaerme_2020;Prozesswaerme_2020;Klima- und Prozesskaelte_2020;Strom_2020;Raumwaerme_2025i;Prozesswaerme_2025i;Klima- und Prozesskaelte_2025i;Strom_2025i;Raumwaerme_2025b;Prozesswaerme_2025b;Klima- und Prozesskaelte_2025b;Strom_2025b;Raumwaerme_2030i;Prozesswaerme_2030i;Klima- und Prozesskaelte_2030i;Strom_2030i;Raumwaerme_2030b;Prozesswaerme_2030b;Klima- und Prozesskaelte_2030b;Strom_2030b;Raumwaerme_2035i;Prozesswaerme_2035i;Klima- und Prozesskaelte_2035i;Strom_2035i;Raumwaerme_2035b;Prozesswaerme_2035b;Klima- und Prozesskaelte_2035b;Strom_2035b;Raumwaerme_2040i;Prozesswaerme_2040i;Klima- und Prozesskaelte_2040i;Strom_2040i;Raumwaerme_2040b;Prozesswaerme_2040b;Klima- und Prozesskaelte_2040b;Strom_2040b;Raumwaerme_2045i;Prozesswaerme_2045i;Klima- und Prozesskaelte_2045i;Strom_2045i;Raumwaerme_2045b;Prozesswaerme_2045b;Klima- und Prozesskaelte_2045b;Strom_2045b
PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;6,0;18,0;0,0;0,0;5,0;19,0;0,0;0,0;5,0;18,0;0,0;0,0;5,0;20,0;0,0;0,0;5,0;20,0;0,0;0,0;5,0;20,0;0,0;0,0;5,0;20,0;0,0;0,0;5,0;20,0;0,0;0,0;5,0;20,0;0,0;0,0;5,0;20,0;0,0;0,0;5,0;20,0;0,0;0,0
PtH Luftwaermepumpe;3,0;3,2;3,4;3,5;3,6;3,8;0,5;0,0;0,0;0,0;10,0;8,0;0,0;0,0;8,0;5,0;0,0;0,0;20,0;10,0;0,0;0,0;15,0;5,0;0,0;0,0;22,5;10,0;0,0;0,0;18,5;7,5;0,0;0,0;25,0;10,0;0,0;0,0;22,0;10,0;0,0;0,0;35,0;10,0;0,0;0,0;35,0;10,0;0,0;0,0
PtH Erdwaermepumpe;3,4;3,6;3,8;3,9;4,0;4,2;0,5;0,0;0,0;0,0;9,0;5,0;0,0;0,0;8,0;5,0;0,0;0,0;17,0;9,0;0,0;0,0;15,0;5,0;0,0;0,0;18,5;9,5;0,0;0,0;15,0;6,0;0,0;0,0;20,0;10,0;0,0;0,0;15,0;7,0;0,0;0,0;20,0;10,0;0,0;0,0;15,0;10,0;0,0;0,0
Solarthermie;1,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;3,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;3,0;0,0;0,0;1,5;1,5;0,0;0,0;5,0;5,0;0,0;0,0;3,0;3,0;0,0;0,0;5,0;5,0;0,0;0,0;5,0;5,0;0,0;0,0
Festbrennstoffkessel;0,77;0,8;0,85;0,87;0,88;0,88;9,0;9,0;0,0;0,0;9,0;9,0;0,0;0,0;10,0;9,0;0,0;0,0;10,0;10,0;0,0;0,0;10,0;10,0;0,0;0,0;12,5;12,5;0,0;0,0;12,5;12,5;0,0;0,0;15,0;15,0;0,0;0,0;15,0;15,0;0,0;0,0;15,0;20,0;0,0;0,0;15,0;20,0;0,0;0,0
Heizkessel Gas;0,89;0,91;0,93;0,95;0,96;0,98;45,0;32,0;0,0;0,0;32,0;23,0;0,0;0,0;35,0;25,0;0,0;0,0;20,0;15,0;0,0;0,0;25,0;20,0;0,0;0,0;15,0;10,0;0,0;0,0;20,0;15,0;0,0;0,0;10,0;5,0;0,0;0,0;15,0;10,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;0,0;0,0;0,0
Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;22,0;9,0;0,0;0,0;14,0;4,0;0,0;0,0;16,0;7,0;0,0;0,0;5,0;0,0;0,0;0,0;10,0;5,0;0,0;0,0;2,5;0,0;0,0;0,0;7,5;2,5;0,0;0,0;0,0;0,0;0,0;0,0;5,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Kraftmaschine Öl;0,3;0,3;0,3;0,3;0,3;0,3;0,0;0,0;0,0;13,0;0,0;0,0;0,0;9,0;0,0;0,0;0,0;11,0;0,0;0,0;0,0;5,0;0,0;0,0;0,0;9,0;0,0;0,0;0,0;2,5;0,0;0,0;0,0;4,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Waermeuebergabestation;0,9;0,9;0,91;0,91;0,92;0,93;17,0;32,0;0,0;0,0;18,0;31,0;0,0;0,0;18,0;31,0;0,0;0,0;20,0;35,0;0,0;0,0;20,0;35,0;0,0;0,0;20,0;35,0;0,0;0,0;20,0;35,0;0,0;0,0;20,0;35,0;0,0;0,0;20,0;35,0;0,0;0,0;20,0;35,0;0,0;0,0;20,0;35,0;0,0;0,0
Kompressionskaelte;2,9;3,1;3,3;3,4;3,5;3,7;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0
Elektrogeraete;1,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;87,0;0,0;0,0;0,0;91,0;0,0;0,0;0,0;89,0;0,0;0,0;0,0;95,0;0,0;0,0;0,0;91,0;0,0;0,0;0,0;97,5;0,0;0,0;0,0;95,5;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0
Summe;0,0;0,0;0,0;0,0;0,0;0,0;0,69;0,135;0,165;0,345;0,6375;0,1275;0,18;0,33;0,645;0,1275;0,18;0,33;0,585;0,12;0,195;0,315;0,6;0,12;0,195;0,315;0,5325;0,1125;0,2175;0,3075;0,555;0,1125;0,2175;0,3;0,48;0,105;0,24;0,3;0,51;0,105;0,24;0,285;0,45;0,105;0,27;0,285;0,48;0,105;0,27;0,27
