Index;EER_2030;Raumwaerme_2030;Prozesswaerme_2030;Klima- und Prozesskaelte_2030;Strom_2030;EER_2040;Raumwaerme_2040;Prozesswaerme_2040;Klima- und Prozesskaelte_2040;Strom_2040;EER_2045;Raumwaerme_2045;Prozesswaerme_2045;Klima- und Prozesskaelte_2045;Strom_2045
PtH Heizstab;0.99;5;20;0;0;0.99;5;20;0;0;0.99;5;20;0;0
PtH Luftwaermepumpe;3.4;15;5;0;0;3.6;22;10;0;0;3.8;35;10;0;0
PtH Erdwaermepumpe;3.8;15;5;0;0;4;15;7;0;0;4.2;15;10;0;0
Solarthermie;1;0;0;0;0;1;3;3;0;0;1;5;5;0;0
Festbrennstoffkessel;0.85;10;10;0;0;0.88;15;15;0;0;0.88;15;20;0;0
Heizkessel Gas;0.93;25;20;0;0;0.96;15;10;0;0;0.98;5;0;0;0
Heizkessel Oel;0.9;10;5;0;0;0.96;5;0;0;0;0.98;0;0;0;0
Kraftmaschine Oel;0.3;0;0;0;9;0.3;0;0;0;0;0.3;0;0;0;0
Waermeuebergabestation;0.91;20;35;0;0;0.92;20;35;0;0;0.93;20;35;0;0
Kompressionskaelte;3.3;0;0;100;0;3.5;0;0;100;0;3.7;0;0;100;0
Elektrogeraete;1;0;0;0;100;1;0;0;0;100;1;0;0;0;100
Summe;;0.788;0.1576;0.2561;0.4137;;0.6698;0.1379;0.3152;0.3743;;0.6304;0.1379;0.3546;0.3546
