index;EER_2020;EER_2025;EER_2030;EER_2035;EER_2040;EER_2045;Raumwaerme_2020;Raumwaerme_2025i;Raumwaerme_2025b;Raumwaerme_2030i;Raumwaerme_2030b;Raumwaerme_2035i;Raumwaerme_2035b;Raumwaerme_2040i;Raumwaerme_2040b;Raumwaerme_2045i;Raumwaerme_2045b;Strom_2020;Strom_2025i;Strom_2025b;Strom_2030i;Strom_2030b;Strom_2035i;Strom_2035b;Strom_2040i;Strom_2040b;Strom_2045i;Strom_2045b;Klima- und Prozesskaelte_2020;Klima- und Prozesskaelte_2025i;Klima- und Prozesskaelte_2025b;Klima- und Prozesskaelte_2030i;Klima- und Prozesskaelte_2030b;Klima- und Prozesskaelte_2035i;Klima- und Prozesskaelte_2035b;Klima- und Prozesskaelte_2040i;Klima- und Prozesskaelte_2040b;Klima- und Prozesskaelte_2045i;Klima- und Prozesskaelte_2045b
PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;4,0;3,6;3,6;3,3;3,3;3,0;3,0;2,7;2,7;2,5;2,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PtH Luftwaermepumpe;3,0;3,2;3,4;3,5;3,6;3,8;1,5;6,6;6,6;14,0;14,0;21,1;20,9;27,6;27,1;33,5;32,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PtH Erdwaermepumpe;3,4;3,6;3,8;3,9;4,0;4,2;1,5;3,9;3,9;7,5;7,5;11,0;10,9;14,1;13,8;17,0;16,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Solarthermie;1,0;1,0;1,0;1,0;1,0;1,0;1,5;1,9;1,9;2,4;2,4;2,8;2,8;3,3;3,2;3,7;3,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Festbrennstoffkessel;0,77;0,8;0,85;0,87;0,88;0,88;13,5;14,0;14,0;14,6;14,6;15,0;14,8;15,4;15,1;15,8;15,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Heizkessel Gas;0,89;0,91;0,93;0,95;0,96;0,98;49,0;45,2;45,2;37,3;37,3;30,0;30,1;22,5;23,7;12,1;14,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;19,0;13,7;13,7;8,7;8,7;3,8;4,3;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Waermeuebergabestation;0,9;0,9;0,91;0,91;0,92;0,93;10,0;11,1;11,1;12,2;12,2;13,3;13,2;14,4;14,1;15,4;14,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Kompressionskaelte;2,9;3,1;3,3;3,4;3,5;3,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Elektrogeraete;1,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Summe;0,0;0,0;0,0;0,0;0,0;0,0;3,688238;3,398202;3,398202;3,074782;3,074782;2,744557;2,961821;2,385495;2,446375;1,998897;2,089709;0,697169;0,686445;0,679573;0,68161;0,668032;0,675199;0,655125;0,668193;0,641838;0,663747;0,631186;0,03169;0,038925;0,035324;0,048219;0,039709;0,059589;0,044531;0,073567;0,049891;0,091167;0,056106
