index;EER_2020;EER_2025;EER_2030;EER_2035;EER_2040;EER_2045;Prozesswaerme_2020;Prozesswaerme_2025i;Prozesswaerme_2025b;Prozesswaerme_2030i;Prozesswaerme_2030b;Prozesswaerme_2035i;Prozesswaerme_2035b;Prozesswaerme_2040i;Prozesswaerme_2040b;Prozesswaerme_2045i;Prozesswaerme_2045b;Raumwaerme_2020;Raumwaerme_2025i;Raumwaerme_2025b;Raumwaerme_2030i;Raumwaerme_2030b;Raumwaerme_2035i;Raumwaerme_2035b;Raumwaerme_2040i;Raumwaerme_2040b;Raumwaerme_2045i;Raumwaerme_2045b;Strom_2020;Strom_2025i;Strom_2025b;Strom_2030i;Strom_2030b;Strom_2035i;Strom_2035b;Strom_2040i;Strom_2040b;Strom_2045i;Strom_2045b;Klima- und Prozesskaelte_2020;Klima- und Prozesskaelte_2025i;Klima- und Prozesskaelte_2025b;Klima- und Prozesskaelte_2030i;Klima- und Prozesskaelte_2030b;Klima- und Prozesskaelte_2035i;Klima- und Prozesskaelte_2035b;Klima- und Prozesskaelte_2040i;Klima- und Prozesskaelte_2040b;Klima- und Prozesskaelte_2045i;Klima- und Prozesskaelte_2045b;Stoffl. Nutzung_2020;Stoffl. Nutzung_2025i;Stoffl. Nutzung_2025b;Stoffl. Nutzung_2030i;Stoffl. Nutzung_2030b;Stoffl. Nutzung_2035i;Stoffl. Nutzung_2035b;Stoffl. Nutzung_2040i;Stoffl. Nutzung_2040b;Stoffl. Nutzung_2045i;Stoffl. Nutzung_2045b
PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;12,05;21,71;19,87;31,62;27,89;37,52;31,28;43,57;34,75;48,9;46,85;2,65;2,81;2,81;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PtH Luftwaermepumpe;3,0;3,2;3,4;3,5;3,6;3,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,27;18,09;18,16;24,0;24,0;30,38;30,47;38,0;38,0;46,0;46,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PtH Erdwaermepumpe;2,0;2,0;2,0;2,1;2,2;2,4;0,0;0,4;0,2;0,81;0,4;1,15;0,65;1,51;0,9;1,81;1,81;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Solarthermie;1,0;1,0;1,0;1,0;1,0;1,0;0,0;0,12;0,0;0,24;0,0;0,31;0,11;0,38;0,23;0,36;0,36;0,0;0,9;0,91;2,0;2,0;2,46;2,46;3,0;3,0;4,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Festbrennstoffkessel;0,77;0,8;0,83;0,85;0,88;0,88;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;24,78;22,63;22,6;20,0;20,0;20,0;20,0;20,0;20,0;20,0;20,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Festbrennstoffkessel_1;0,88;0,88;0,88;0,88;0,88;0,88;14,35;14,38;14,38;14,42;14,42;15,67;14,71;16,95;15,01;16,98;16,98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Heizkessel Gas;0,89;0,9;0,91;0,93;0,96;0,98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;42,48;40,02;39,98;37,0;37,0;29,7;29,6;21,0;21,0;12,0;12,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Heizkessel Gas_1;0,93;0,94;0,95;0,95;0,96;0,98;64,73;51,9;55,84;38,74;46,73;27,8;39,83;16,6;32,76;2,6;11,16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Heizkessel Wasserstoff;0,93;0,94;0,95;0,95;0,96;0,98;0,0;2,47;0,88;5,0;1,79;8,26;4,35;11,61;6,97;19,65;13,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,65;1,46;1,45;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
