index;EER_2020;EER_2025;EER_2030;EER_2035;EER_2040;EER_2045;Prozesswaerme_2020;Prozesswaerme_2025i;Prozesswaerme_2025b;Prozesswaerme_2030i;Prozesswaerme_2030b;Prozesswaerme_2035i;Prozesswaerme_2035b;Prozesswaerme_2040i;Prozesswaerme_2040b;Prozesswaerme_2045i;Prozesswaerme_2045b;Raumwaerme_2020;Raumwaerme_2025i;Raumwaerme_2025b;Raumwaerme_2030i;Raumwaerme_2030b;Raumwaerme_2035i;Raumwaerme_2035b;Raumwaerme_2040i;Raumwaerme_2040b;Raumwaerme_2045i;Raumwaerme_2045b;Strom_2020;Strom_2025i;Strom_2025b;Strom_2030i;Strom_2030b;Strom_2035i;Strom_2035b;Strom_2040i;Strom_2040b;Strom_2045i;Strom_2045b;Klima- und Prozesskaelte_2020;Klima- und Prozesskaelte_2025i;Klima- und Prozesskaelte_2025b;Klima- und Prozesskaelte_2030i;Klima- und Prozesskaelte_2030b;Klima- und Prozesskaelte_2035i;Klima- und Prozesskaelte_2035b;Klima- und Prozesskaelte_2040i;Klima- und Prozesskaelte_2040b;Klima- und Prozesskaelte_2045i;Klima- und Prozesskaelte_2045b;Stoffl. Nutzung_2020;Stoffl. Nutzung_2025i;Stoffl. Nutzung_2025b;Stoffl. Nutzung_2030i;Stoffl. Nutzung_2030b;Stoffl. Nutzung_2035i;Stoffl. Nutzung_2035b;Stoffl. Nutzung_2040i;Stoffl. Nutzung_2040b;Stoffl. Nutzung_2045i;Stoffl. Nutzung_2045b
PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;15,87;24,81;23,44;34,03;31,25;40,48;35,0;47,12;38,85;52,75;50,92;2,65;2,81;2,81;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PtH Luftwaermepumpe;3,0;3,2;3,4;3,5;3,6;3,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,27;18,09;18,16;24,0;24,0;30,38;30,47;38,0;38,0;46,0;46,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PtH Erdwaermepumpe;2,0;2,0;2,0;2,1;2,2;2,4;0,0;0,78;0,39;1,58;0,79;2,27;1,28;2,97;1,78;3,58;3,58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Solarthermie;1,0;1,0;1,0;1,0;1,0;1,0;0,0;0,23;0,0;0,48;0,0;0,61;0,22;0,74;0,45;0,72;0,72;0,0;0,9;0,91;2,0;2,0;2,46;2,46;3,0;3,0;4,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Festbrennstoffkessel;0,77;0,8;0,83;0,85;0,88;0,88;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;24,78;22,63;22,6;20,0;20,0;20,0;20,0;20,0;20,0;20,0;20,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Festbrennstoffkessel_1;0,88;0,88;0,88;0,88;0,88;0,88;7,42;7,46;7,46;7,49;7,49;8,62;7,9;9,78;8,32;9,81;9,81;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Heizkessel Gas;0,89;0,9;0,91;0,93;0,96;0,98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;42,48;40,02;39,98;37,0;37,0;29,7;29,6;21,0;21,0;12,0;12,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Heizkessel Gas_1;0,93;0,94;0,95;0,95;0,96;0,98;69,66;56,32;60,45;42,57;50,95;30,37;42,33;17,83;33,46;2,61;10,64;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Heizkessel Wasserstoff;0,93;0,94;0,95;0,95;0,96;0,98;0,0;3,06;1,32;6,22;2,68;9,9;5,93;13,69;9,26;22,06;16,57;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,65;1,46;1,45;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Waermeuebergabestation;0,9;0,9;0,91;0,91;0,92;0,93;7,05;7,33;6,94;7,63;6,84;7,75;7,35;7,87;7,87;8,47;7,76;14,16;14,09;14,09;14,0;14,0;14,46;14,46;15,0;15,0;15,0;15,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Kompressionskaelte;2,9;3,1;3,3;3,4;3,5;3,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Elektrogeraete;1,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Materialnutzung Gas;1,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,98;0,98;0,98;0,98;0,98;0,98;0,98;0,98;0,98;0,98;0,98
Materialnutzung Biomasse;1,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,61;19,45;10,61;28,29;10,61;41,55;10,61;54,81;10,61;81,33;10,61
Materialnutzung Oel;1,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;88,41;79,57;88,41;70,73;88,41;57,47;88,41;44,21;88,41;17,68;88,41
Summe;0,0;0,0;0,0;0,0;0,0;0,0;2,117717;2,085994;2,085994;2,05427;2,05427;2,026164;2,026164;1,998057;1,998057;1,96995;1,96995;0,297585;0,270193;0,273318;0,242801;0,24905;0,223153;0,231583;0,203506;0,214116;0,186311;0,198532;0,974393;0,950574;0,941344;0,926755;0,908294;0,89487;0,877487;0,881446;0,84668;0,859629;0,817458;0,297585;0,369042;0,33017;0,440498;0,362754;0,5074;0,402475;0,652045;0,442195;0,793313;0,48822;0,313603;0,313603;0,313603;0,313603;0,313603;0,313603;0,313603;0,313603;0,313603;0,313603;0,313603
