index;EER_2030;Raumwaerme_2030;Prozesswaerme_2030;Klima- und Prozesskaelte_2030;Strom_2030;Stoffl. Nutzung_2030;EER_2040;Raumwaerme_2040;Prozesswaerme_2040;Klima- und Prozesskaelte_2040;Strom_2040;Stoffl. Nutzung_2040;EER_2045;Raumwaerme_2045;Prozesswaerme_2045;Klima- und Prozesskaelte_2045;Strom_2045;Stoffl. Nutzung_2045
PtH Heizstab;0.99;3;36;0;0;0;0.99;3;38.5;0;0;0;0.99;3;53;0;0;0
PtH Luftwaermepumpe;3.4;24;0;0;0;0;3.6;38;0;0;0;0;3.8;46;0;0;0;0
PtH Erdwaermepumpe;2;0;1;0;0;0;2.2;0;1;0;0;0;2.4;0;1;0;0;0
Solarthermie;1;2;0;0;0;0;1;3;0;0;0;0;1;4;0;0;0;0
Festbrennstoffkessel;0.83;20;0;0;0;0;0.88;20;9;0;0;0;0.88;20;10;0;0;0
Festbrennstoffkessel_1;0.88;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heizkessel Gas;0.91;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heizkessel Gas_1;0.95;0;43;0;0;0;0.96;21;36.5;0;0;0;0.98;12;13;0;0;0
Heizkessel Wasserstoff;0.95;0;6;0;0;0;0.96;0;9;0;0;0;0.98;0;17;0;0;0
Waermeuebergabestation;0.91;14;6;0;0;0;0.92;15;6;0;0;0;0.93;15;6;0;0;0
Kompressionskaelte;3.3;0;0;100;0;0;3.5;0;0;100;0;0;3.7;0;0;100;0;0
Elektrogeraete;1;0;0;0;100;0;1;0;0;0;100;0;1;0;0;0;100;0
Materialnutzung Gas;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1
Materialnutzung Biomasse;1;0;0;0;0;28;1;0;0;0;0;11;1;0;0;0;0;11
Materialnutzung Öl;1;0;0;0;0;71;1;0;0;0;0;88;1;0;0;0;0;88
Summe;;0.257;2.569;0.466;0.981;0.242;;0.227;2.516;0.468;0.896;0.242;;0.21;2.49;0.517;0.865;0.242
