Index;Personenverkehr_2020;Gueterverkehr_2020;Personenverkehr_2025;Gueterverkehr_2025;Personenverkehr_2030;Gueterverkehr_2030;Personenverkehr_2035;Gueterverkehr_2035;Personenverkehr_2040;Gueterverkehr_2040;Personenverkehr_2045;Gueterverkehr_2045;Personenverkehr_2020_abs;Gueterverkehr_2020_abs;Personenverkehr_2025_abs;Gueterverkehr_2025_abs;Personenverkehr_2030_abs;Gueterverkehr_2030_abs;Personenverkehr_2035_abs;Gueterverkehr_2035_abs;Personenverkehr_2040_abs;Gueterverkehr_2040_abs;Personenverkehr_2045_abs;Gueterverkehr_2045_abs
PKW Verbrenner;0,932;;0,921;;0,911;;0,790;;0,670;;0,264;;3280012,539;;3072980,747;;2869855,119;;1930245,078;;1161396,633;;241900,5618;
PKW Verbrenner CNG;0,010;;0,005;;0,000;;0,000;;0,000;;0,000;;34852,55354;;16514,22796;;0;;0;;0;;0;
PKW - Batterie;0,001;;0,013;;0,025;;0,108;;0,190;;0,527;;2025,743658;;42396,51016;;78296,36742;;262874,4903;;330168,7936;;483753,4804;
PKW - Wasserstoff;0,000;;0,000;;0,000;;0,000;;0,000;;0,000;;0;;0;;0;;0;;0;;0;
Busse - Verbrenner;0,024;;0,024;;0,023;;0,035;;0,046;;0,034;;84202,59785;;78538,74347;;73013,72095;;84647,35292;;80009,68571;;31230,13753;
Busse - Batterie;0,000;;0,001;;0,002;;0,011;;0,019;;0,057;;699,6544362;;4438,282966;;7759,912371;;26418,08276;;33240,73899;;52582,24528;
Schiene - Verbrenner;0,022;0,032;0,023;0,033;0,024;0,035;0,033;0,034;0,043;0,033;0,039;0,018;78345,02582;47313,64065;77069,94088;51164,21066;75482,78397;55157,03997;81441,70272;55661,2228;74099,14733;56097,30181;35684,77957;29936,91239
Schiene - Batterie;0,011;0,012;0,013;0,015;0,015;0,017;0,023;0,018;0,032;0,020;0,079;0,028;39172,51291;18717,48421;43180,04274;22584,56449;46518,45989;26646,02565;56865,74997;29895,59622;55143,5515;33288,50876;72219,19675;47630,15683
Schiene - Wasserstoff;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0;0;0;0;0;0;0;0;0;0;0
LKW - Verbrenner;;0,956;;0,852;;0,748;;0,640;;0,531;;0,413;;1431738,991;;1314662,201;;1188126,002;0;1046822,807;;895131,2169;;704111,0301
LKW - Batterie;;0,000;;0,100;;0,201;;0,308;;0,416;;0,541;;0;;154825,2097;;318773,1888;0;504302,1055;;700144,1789;;922566,1008
LKW - Wasserstoff;;0,000;;0,000;;0,000;;0,000;;0,000;;0,000;;0;;0;;0;0;0;;0;;0
Summe;3,519310627;1,497770116;3,335118495;1,543236186;3,150926363;1,588702256;2,442492457;1,636681731;1,734058551;1,684661206;0,917370401;1,7042442;;;;;;;;;;;;
Summe in MWh;;;;;;;;;;;;;3519310,627;1497770,116;3335118,495;1543236,186;3150926,363;1588702,256;2442492,457;1636681,731;1734058,551;1684661,206;917370,4014;1704244,2
