Index;Personenverkehr_2020;Gueterverkehr_2020;Personenverkehr_2025;Gueterverkehr_2025;Personenverkehr_2030;Gueterverkehr_2030;Personenverkehr_2035;Gueterverkehr_2035;Personenverkehr_2040;Gueterverkehr_2040;Personenverkehr_2045;Gueterverkehr_2045;Personenverkehr_2020_abs;Gueterverkehr_2020_abs;Personenverkehr_2025_abs;Gueterverkehr_2025_abs;Personenverkehr_2030_abs;Gueterverkehr_2030_abs;Personenverkehr_2035_abs;Gueterverkehr_2035_abs;Personenverkehr_2040_abs;Gueterverkehr_2040_abs;Personenverkehr_2045_abs;Gueterverkehr_2045_abs
PKW Verbrenner;0,932;;0,921;;0,911;;0,790;;0,670;;0,264;;1797606,749;;1681221,189;;1567043,652;;1050481,22;;628228,7839;;130216,6331;
PKW Verbrenner CNG;0,010;;0,005;;0,000;;0,000;;0,000;;0,000;;19100,898;;9034,89877;;0;;0;;0;;0;
PKW - Batterie;0,001;;0,013;;0,025;;0,108;;0,190;;0,527;;1110,206;;23195,03996;;42752,62006;;143061,9969;;178596,6428;;260407,6195;
PKW - Wasserstoff;0,000;;0,000;;0,000;;0,000;;0,000;;0,000;;0,000;;0;;0;;0;;0;;0;
Busse - Verbrenner;0,024;;0,024;;0,023;;0,035;;0,046;;0,034;;46147,128;;42968,37845;;39868,10594;;46066,92467;;43279,2606;;16811,38452;
Busse - Batterie;0,000;;0,001;;0,002;;0,011;;0,019;;0,057;;383,445;;2428,175111;;4237,190003;;14377,2934;;17980,75561;;28305,36188;
Schiene - Verbrenner;0,022;0,032;0,023;0,033;0,024;0,035;0,033;0,034;0,043;0,033;0,039;0,018;42936,893;25930,181;42164,79969;27987,46903;41216,30276;30117,71876;44322,34033;30246,62175;40082,10105;30344,44795;19209,34707;16115,23308
Schiene - Batterie;0,011;0,012;0,013;0,015;0,015;0,017;0,023;0,018;0,032;0,020;0,079;0,028;21468,446;10258,094;23623,70896;12354,04184;25400,74472;14549,68408;30947,57402;16245,43525;29828,54031;18006,59549;38876,05954;25639,62071
Schiene - Wasserstoff;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0;0;0;0;0;0;0;0;0
LKW - Verbrenner;;0,956;;0,852;;0,748;;0,640;;0,531;;0,413;;784662,754;;719136,8179;;648759,3387;0;568849,4051;;484199,0924;;379027,5102
LKW - Batterie;;0,000;;0,100;;0,201;;0,308;;0,416;;0,541;;0,000;;84691,34394;;174061,5749;0;274040,6025;;378725,6768;;496623,2841
LKW - Wasserstoff;;0,000;;0,000;;0,000;;0,000;;0,000;;0,000;;0,000;;0;;0;0;0;;0;;0
Summe;1,928753765;0,820851029;1,82463619;0,844169673;1,7205186;0,86748832;1,32925735;0,889382065;0,93799608;0,91127581;0,493826406;0,917405648;;;;;;;;;;;;
Summe in MWh;;;;;;;;;;;;;1928753,765;820851,029;1824636,19;844169,6727;1720518,615;867488,3165;1329257,35;889382,0646;937996,0843;911275,8127;493826,4056;917405,6481
