Index;Personenverkehr_2020;Gueterverkehr_2020;Personenverkehr_2025;Gueterverkehr_2025;Personenverkehr_2030;Gueterverkehr_2030;Personenverkehr_2035;Gueterverkehr_2035;Personenverkehr_2040;Gueterverkehr_2040;Personenverkehr_2045;Gueterverkehr_2045;Personenverkehr_2020_abs;Gueterverkehr_2020_abs;Personenverkehr_2025_abs;Gueterverkehr_2025_abs;Personenverkehr_2030_abs;Gueterverkehr_2030_abs;Personenverkehr_2035_abs;Gueterverkehr_2035_abs;Personenverkehr_2040_abs;Gueterverkehr_2040_abs;Personenverkehr_2045_abs;Gueterverkehr_2045_abs
PKW Verbrenner;0,932;;0,921;;0,911;;0,790;;0,670;;0,264;;2210960,172;;2052614,255;;1897333,883;;1266461,477;;751434,053;;154898,6329;
PKW Verbrenner CNG;0,010;;0,005;;0,000;;0,000;;0,000;;0,000;;23493,08329;;11030,76866;;0;;0;;0;;0;
PKW - Batterie;0,001;;0,013;;0,025;;0,108;;0,190;;0,527;;1365,494337;;28318,98027;;51763,71094;;172475,7229;;213622,1749;;309766,7579;
PKW - Wasserstoff;0,000;;0,000;;0,000;;0,000;;0,000;;0,000;;0;;0;;0;;0;;0;;0;
Busse - Verbrenner;0,024;;0,024;;0,023;;0,035;;0,046;;0,034;;56758,49955;;52460,38218;;48271,2196;;55538,34215;;51766,98526;;19997,90977;
Busse - Batterie;0,000;;0,001;;0,002;;0,011;;0,019;;0,057;;471,616518;;2964,575321;;5130,274547;;17333,28295;;21507,05668;;33670,52085;
Schiene - Verbrenner;0,022;0,032;0,023;0,033;0,024;0,035;0,033;0,034;0,043;0,033;0,039;0,018;52810,08219;31892,73633;51479,28748;34147,36711;49903,57969;36465,71569;53435,06908;36394,66048;47942,81385;36295,45811;22850,39575;19169,80584
Schiene - Batterie;0,011;0,012;0,013;0,015;0,015;0,017;0,023;0,018;0,032;0,020;0,079;0,028;26405,0411;12616,90668;28842,34512;15073,10295;30754,53167;17616,36223;37310,43405;19547,54171;35678,37309;21537,96415;46244,84855;30499,49997
Schiene - Wasserstoff;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0;0;0;0;0;0;0;0;0;0;0
LKW - Verbrenner;;0,956;;0,852;;0,748;;0,640;;0,531;;0,413;;965093,2268;;877415,135;;785500,1829;0;684475,8115;;579157,937;;450870,536
LKW - Batterie;;0,000;;0,100;;0,201;;0,308;;0,416;;0,541;;0;;103331,4734;;210749,0263;0;329743,0956;;452999,5721;;590756,0805
LKW - Wasserstoff;;0,000;;0,000;;0,000;;0,000;;0,000;;0,000;;0;;0;;0;0;0;;0;;0
Summe;2,372263989;1,00960287;2,227710594;1,029967079;2,083157199;1,050331287;1,602554328;1,070161109;1,121951457;1,089990931;0,587429066;1,091295922;;;;;;;;;;;;
Summe in MWh;;;;;;;;;;;;;2372263,989;1009602,87;2227710,594;1029967,079;2083157,199;1050331,287;1602554,328;1070161,109;1121951,457;1089990,931;587429,0657;1091295,922
