Index;EER;NE_Personenverkehr_2020;NE_Gueterverkehr_2020;NE_Personenverkehr_2025;NE_Gueterverkehr_2025;NE_Personenverkehr_2030;NE_Gueterverkehr_2030;NE_Personenverkehr_2035;NE_Gueterverkehr_2035;NE_Personenverkehr_2040;NE_Gueterverkehr_2040;NE_Personenverkehr_2045;NE_Gueterverkehr_2045
PKW - Batterie;0,083;0,003;0;0,059;0;0,115;0;0,305;0;0,494;0;0,734;0
PKW - H2;0,117;0;0;0;0;0;0;0;0;0;0;0;0
PKW - Verbrenner;0,476;0,847;0;0,791;0;0,735;0;0,519;0;0,303;0;0,064;0
PKW - Verbrenner CNG;0,476;0,009;0;0,0045;0;0;0;0;0;0;0;0;0
Busse - Batterie;0,086;0,001;0;0,006;0;0,011;0;0,03;0;0,048;0;0,077;0
Busse - Verbrenner;0,207;0,05;0;0,0465;0;0,043;0;0,046;0;0,048;0;0,019;0
Schiene - Elektrisch;0,107;0,045;0;0,049;0;0,053;0;0,059;0;0,064;0;0,085;0
Schiene - Verbrenner;0,214;0,045;0;0,044;0;0,043;0;0,043;0;0,043;0;0,021;0
LKW - Batterie;0,258;0;0;0;0,106;0;0,212;0;0,309;0;0,405;0;0,5
LKW - H2;0,362;0;0;0;0;0;0;0;0;0;0;0;0
LKW - Verbrenner;0,366;0;0,79;0;0,6735;0;0,557;0;0,461;0;0,365;0;0,269
Schiene - Elektrisch_g;0,036;0;0,105;0;0,116;0;0,127;0;0,133;0;0,138;0;0,185
Schiene - Verbrenner_g;0,091;0;0,105;0;0,1045;0;0,104;0;0,098;0;0,092;0;0,046
Summe_EE ;in kWh;3519310627;1497770116;3335118495;1543236186;3150926363;1588702256;2442492457;1636681731;1734058551;1684661206;917370401;1704244200
Summe_NE;in Mio Pkm;8136;4952;8169,5;5390;8203;5828;8128;6264;8053;6701;7941;7152
