Index;EER;NE_Personenverkehr_2030;NE_Gueterverkehr_2030;NE_Personenverkehr_2035;NE_Gueterverkehr_2035;NE_Personenverkehr_2040;NE_Gueterverkehr_2040;NE_Personenverkehr_2045;NE_Gueterverkehr_2045
PKW - Batterie;0,083;0,115;0;0,305;0;0,494;0;0,734;0
PKW - H2;0,117;0;0;0;0;0;0;0;0
PKW - Verbrenner;0,476;0,735;0;0,519;0;0,303;0;0,064;0
PKW - Verbrenner CNG;0,476;0;0;0;0;0;0;0;0
Busse - Batterie;0,086;0,011;0;0,03;0;0,048;0;0,077;0
Busse - Verbrenner;0,207;0,043;0;0,046;0;0,048;0;0,019;0
Schiene - Elektrisch;0,107;0,053;0;0,059;0;0,064;0;0,085;0
Schiene - Verbrenner;0,214;0,043;0;0,043;0;0,043;0;0,021;0
LKW - Batterie;0,258;0;0,212;0;0,309;0;0,405;0;0,5
LKW - H2;0,362;0;0;0;0;0;0;0;0
LKW - Verbrenner;0,366;0;0,557;0;0,461;0;0,365;0;0,269
Schiene - Elektrisch_g;0,036;0;0,127;0;0,133;0;0,138;0;0,185
Schiene - Verbrenner_g;0,091;0;0,104;0;0,098;0;0,092;0;0,046
Summe_EE ;in kWh;3359947214;1694090913;2638833639;1778590875;1917720065;1863090838;1038716118;1929674118
Summe_NE;in Mio Pkm;8747;6215;8826;6812;8905;7410;8991;8098
