index;Einheit;System;;
Anzahl_Zeitschritte;h;8760;;
Zinssatz;%;10,5;;
Emission_Erdgas;kg_CO2/MWh;202;;
Emission_Oel;kg_CO2/MWh;266;;
Emission_Steinkohle;kg_CO2/MWh;338;;
Emission_Braunkohle;kg_CO2/MWh;407;;
Emission_Strom_2020;kg_CO2/MWh;369;;UBA
Emission_Strom_2025;kg_CO2/MWh;269;;Fraunhofer ISE und IEE, Bottom Up Studie 2022
Emission_Strom_2030;kg_CO2/MWh;145;;
Emission_Strom_2035;kg_CO2/MWh;90;;
Emission_Strom_2040;kg_CO2/MWh;35;;
Emission_Strom_2045;kg_CO2/MWh;0;;
Emission_Strom_2050;kg_CO2/MWh;0;;
CO2_Grenze_2050;kg_CO2;0;;
CO2_Grenze_2045;kg_CO2;0;;
CO2_Grenze_2040;kg_CO2;3500000000;;
CO2_Grenze_2035;kg_CO2;7000000000;;
CO2_Grenze_2030;kg_CO2;9000000000;;
CO2_Grenze_2025;kg_CO2;11000000000;;(angenommen)
Menge_Steinkohle;MW;0;;
Menge_Braunkohle;MW;37,9;;
Holzpotential_nord;MWh;1500798,428;;
Holzpotential_mittel;MWh;1487899,64;;
Holzpotential_ost;MWh;1907883,324;;
Holzpotential_swest;MWh;1661140,629;;
Holzpotential_tot;MWh;6557722,021;;
Potential_Umweltwärme;MW;151;;Flusswasser, One Pager
Potential_Abwärme;MW;137;;
Biomasse_sub_nord;MWh;947403,8509;;
Biomasse_sub_mittel;MWh;1060107,63;;
Biomasse_sub_ost;MWh;1251435,296;;
Biomasse_sub_swest;MWh;623300,7317;;
Biomasse_sub_tot;MWh;3882247,509;;
