index;Einheit;Elektrodenheizkessel;WP_Luftwaerme;WP_Industrie;PV
Wirkungsgrad_el;-;0,98;;;
min_Leistung;MW_th_out;20;0;0;0
max_Leistung;MW_th_out;20;1,5;2;37,06
CAPEX Erzeugeranlagen;EUR/MW_th_out;123000;1067000;487282;1079442,22
CAPEX Nebenanlagen;EUR/MW_th_out;;1067000;974564;274668,14
CAPEX gesamt;EUR/MW_th_out;;2134000;1461846;
OPEX Erzeugeranlagen;% von Invest Erzeugeranlagen;1;3;3;2,2
OPEX Nebenanlagen;% von Invest Nebenanlagen;0;0;0;0
Amortisierungszeitraum;a;15;15;15;20
Zinssatz;%;5;5;5;4
Kosten_Fernwaermenetzausbau;EUR/MW/m;;700;700;
Laenge_Fernwaermeleitung;m;;300;300;
Amortisationszeit_Netzausbau;a;;40;40;
Temperaturniveau;Grad Celsius;;;35;
Guetegrad;-;;0,4;0,4;
Volllaststunden;h/a;;4500;5000;
Strompreis;EUR/MWh_el_in;;;;
Jahresarbeitszahl;;;;;4,4
