velocity;Fuhrländer FL 3000;Enercon E101;Fuhrländer FL 2500;PowerWind 90;Nordex N90-2300;Enercon E70
1;0;0;0;0;0;0
2;0;3;0;0;0;2
3;37;37;0;20;0;18
4;172;118;58,5;73;35;56
5;378;258;205,5;206;175;127
6;684;479;412,4;371;352;240
7;1108;790;686,7;597;580;400
8;1635;1200;1051;897;870;626
9;2188;1710;1513,8;1262;1237;892
10;2637;2340;2011,8;1664;1623;1223
11;2881;2867;2395,8;2053;2012;1590
12;2971;3034;2500;2346;2230;1900
13;2993;3050;2500;2460;2230;2080
14;3000;3050;2500;2491;2230;2230
15;3000;3050;2500;2500;2230;2300
16;3000;3050;2500;2500;2230;2310
17;3000;3050;2500;2500;2230;2310
18;3000;3050;2500;2500;2230;2310
19;3000;3050;2500;2500;2230;2310
20;3000;3050;2500;2500;2230;2310
21;3000;3050;2500;2500;2230;2310
22;3000;3050;2500;2500;2230;2310
23;3000;3050;2500;2500;2230;2310
24;3000;3050;2500;2500;2230;2310
25;3000;3050;2500;2500;2230;2310
