tech_name;2020;2025;2030;2035;2040;2045
biogas_combined_heat_and_power_plant;0,0;0,0;0;0;0;0
biogas_upgrading_plant;0,0;0,0;0;127,9;127,9;127,9
biomass_combined_heat_and_power_plant;268,5;279,9;279,9;279,9;113;113
biomass_heating_plant;414,4;414,4;414,4;414,4;0;0
biomass_power_plant;0,0;0,0;0;0;0;0
biomass_to_liquid_system_holz;0,0;0,0;0;0;0;162,6
biomass_to_liquid_system_substrat;0,0;0,0;0;178,7;178,7;327,4
biomethane_injection_plant;0,0;0,0;0;0;0;0
combined_heat_and_power_generating_unit;590,5;712,5;712,5;712,5;0;0
electrical_heater;0,0;0,0;494,9;494,9;1586,3;3133,5
electrolysis;0,0;0,0;121,7;205,1;881,7;1657,7
fuel_cells;0,0;0,0;0;0;0;0
heat_pump_air_Abwärme;0,0;0,0;0;0;0;0
heat_pump_air_Umgebungswärme;23,8;23,8;23,8;23,8;68,5;68,5
heat_pump_ground_Flusswärme;0,0;0,0;0;0;0;0
hydrogen_feed_in;0,0;0,0;0;0;0;0
methanation;0,0;0,0;0;0;144,2;189,3
power_to_liquid_system;0,0;0,0;0;0;0;327,4
run_river_power_plant;25,7;25,8;0;0;0;0
solar_thermal_power_plant;328,2;328,2;328,2;328,2;0;0
storage_electricity;2,4;9,2;9,2;9,2;0;0
storage_electricity_Li-Ion;26,2;344,2;344,2;344,2;0;0
storage_electricity_Natrium;0,0;0,0;0;0;0;0
storage_electricity_pumped_hydro_storage_power_technology(Becken);0,0;0,0;0;0;0;0
storage_electricity_pumped_hydro_storage_power_technology(Technology);0,0;0,0;0;0;0;0
storage_electricity_Red-OX;0,0;0,0;0;0;0;0
storage_gas;0,0;0,0;0;32680;110886;259603
storage_heat_district_heating;0,0;0,0;0;4596;7403;7403
storage_heat_seasonal;0,0;0,0;0;55308;487684;564153
storage_hydrogen;0,0;0,0;0;245881;890699;1255000
field_photovoltaic_power_plant_north;165,3;226,1;333,5;333,5;333,5;1673,7
onshore_wind_power_plant_north;582,1;643,5;0;1394,8;3321;3321
rooftop_photovoltaic_power_plant_north;238,4;373,4;373,4;373,4;0;0
field_photovoltaic_power_plant_middle;139,9;207,8;207,8;207,8;263,8;263,8
onshore_wind_power_plant_middle;548,3;676,2;0;2411;2411;2411
rooftop_photovoltaic_power_plant_middle;246,7;447,7;447,7;447,7;0;0
field_photovoltaic_power_plant_east;222,7;257,7;257,7;257,7;2846;4740
onshore_wind_power_plant_east;322,3;387,3;0;2432;2432;2432
rooftop_photovoltaic_power_plant_east;289,4;498,9;498,9;498,9;0;0
field_photovoltaic_power_plant_swest;109,1;133,0;1203,2;2298,2;2680;2680
onshore_wind_power_plant_swest;168,4;168,4;0;2530;2530;2530
rooftop_photovoltaic_power_plant_swest;242,0;382,2;382,2;382,2;0;0
preheater_electric_boiler;0,0;0,0;131,5;174,8;307,8;307,8
