tech_name;2020;2025;2030;2035;2040;2045
biogas_combined_heat_and_power_plant;0,0;0,0;0;0;0;0
biogas_upgrading_plant;0,0;0,0;0;297;297;0
biomass_combined_heat_and_power_plant;268,5;279,9;279,9;279,9;151,6;0
biomass_heating_plant;414,4;414,4;414,4;414,4;0;0
biomass_power_plant;0,0;0,0;0;0;0;0
biomass_to_liquid_system_holz;0,0;0,0;0;0;0;0
biomass_to_liquid_system_substrat;0,0;0,0;0;63,4;63,4;0
biomethane_injection_plant;0,0;0,0;0;0;0;0
combined_heat_and_power_generating_unit;590,5;712,5;846;846;444,5;0
electrical_heater;0,0;0,0;671;671;1010,9;0
electrolysis;0,0;0,0;111,6;200,8;841,8;0
fuel_cells;0,0;0,0;0;0;146;0
heat_pump_air_Abwärme;0,0;0,0;0;0;0;0
heat_pump_air_Umgebungswärme;23,8;23,8;23,8;23,8;0;0
heat_pump_ground_Flusswärme;0,0;0,0;0;0;0;0
hydrogen_feed_in;0,0;0,0;0;0;0;0
methanation;0,0;0,0;0;0;0;0
power_to_liquid_system;0,0;0,0;0;0;0;0
run_river_power_plant;25,7;25,8;31;31;0;0
solar_thermal_power_plant;328,2;328,2;328,2;328,2;0;0
storage_electricity;2,4;9,2;9,2;9,2;0;0
storage_electricity_Li-Ion;26,2;344,2;344,224;344,224;0;0
storage_electricity_Natrium;0,0;0,0;0;0;0;0
storage_electricity_pumped_hydro_storage_power_technology(Becken);0,0;0,0;0;0;0;0
storage_electricity_pumped_hydro_storage_power_technology(Technology);0,0;0,0;0;0;0;0
storage_electricity_Red-OX;0,0;0,0;0;0;0;0
storage_gas;0,0;0,0;0;83856;142793;0
storage_heat_district_heating;0,0;0,0;5480;5480;5480;0
storage_heat_seasonal;0,0;0,0;66558;66558;134446;0
storage_hydrogen;0,0;0,0;83245;240360;1044279;0
field_photovoltaic_power_plant_north;165,3;226,1;1181,6;1181,6;1759,4;0
onshore_wind_power_plant_north;582,1;643,5;1610,5;1610,5;3321;0
rooftop_photovoltaic_power_plant_north;238,4;373,4;373,384;373,384;0;0
field_photovoltaic_power_plant_middle;139,9;207,8;207,8;207,8;0;0
onshore_wind_power_plant_middle;548,3;676,2;2649,2;2649,2;2411;0
rooftop_photovoltaic_power_plant_middle;246,7;447,7;447,747;447,747;0;0
field_photovoltaic_power_plant_east;222,7;257,7;257,7;257,7;1759,4;0
onshore_wind_power_plant_east;322,3;387,3;2377,3;2377,3;2432;0
rooftop_photovoltaic_power_plant_east;289,4;498,9;498,9;498,9;0;0
field_photovoltaic_power_plant_swest;109,1;133,0;237,1;1329,1;2680;0
onshore_wind_power_plant_swest;168,4;168,4;2238,4;2698,4;2530;0
rooftop_photovoltaic_power_plant_swest;242,0;382,2;382,2;382,2;0;0
preheater_electric_boiler;0,0;0,0;151;204,8;204,8;0
