"759,7878065528412"
"780,1320378637495"
"804,6873557307688"
"816,2629572941717"
"915,6659905078868"
"1104,0797719639718"
"1276,7363717756116"
"1350,7308845331731"
"1334,0326976201259"
"1280,5595302472911"
"1278,504251481937"
"1234,3652092430132"
"1192,487391388348"
"1170,586675111525"
"1135,7514932775994"
"1046,452970874425"
"1084,8414698711927"
"1073,0993461900998"
"1023,0661950687447"
"1017,516064824112"
"1022,4931309091611"
"982,9151880585248"
"888,8827658661596"
"804,7567597695256"
"820,7233257894231"
"829,6168292116585"
"846,1194334284994"
"942,8959590521138"
"1039,9749126134798"
"1326,7801385717364"
"1301,1269333290152"
"1333,388861992245"
"1299,4395258692948"
"1273,1370822204156"
"1237,430348045888"
"1181,394855748022"
"1133,8116847909919"
"1111,3859350894977"
"1067,5031120634628"
"1087,3010498605445"
"1107,091088554222"
"1165,2870802410598"
"1172,5401900091208"
"1147,7199119181746"
"1105,8164914349277"
"1099,2135282328218"
"1045,00011717285"
"944,0968200398713"
"1016,7980919391244"
"1024,1250557879462"
"1038,029170393602"
"1090,7853186139532"
"1237,9872854526539"
"1619,3419496611868"
"1878,2224497517614"
"2002,4132780906436"
"2032,604674073224"
"2010,7732023571873"
"1947,90442109836"
"1907,0077591957536"
"1843,8386525602173"
"1761,500976483802"
"1766,1367942731815"
"1714,3674888230612"
"1684,6976144991968"
"1668,2766445906313"
"1604,913517785637"
"1498,1192120329692"
"1383,12000777015"
"1289,9350967751752"
"1192,3408212683034"
"1059,7048731525588"
"1149,021708581401"
"1139,1768050002656"
"1158,7246040851796"
"1202,1829090776337"
"1345,7028378957525"
"1774,913361274007"
"1980,7498413994952"
"2019,1905540113853"
"2073,32645067873"
"2055,7908244776017"
"2008,6162065615492"
"2004,1527544298979"
"1934,8809912121644"
"1835,2742169346116"
"1819,0684673039577"
"1794,6427936251725"
"1733,6612882892143"
"1737,3473149433553"
"1692,8959358874574"
"1622,2443666394104"
"1513,006239463778"
"1466,3826627771682"
"1368,484716514243"
"1188,1704393353514"
"1188,729924722688"
"1178,9683712416224"
"1199,4736076557833"
"1244,372022265999"
"1391,1210558374341"
"1834,2904994353853"
"2048,2404247676745"
"2089,9572160150014"
"2146,8536926160405"
"2128,6231662950736"
"2079,83570186811"
"2075,06099322943"
"2002,4001636583366"
"1897,5873012051175"
"1880,744882464151"
"1856,1401561604278"
"1792,101731360808"
"1797,0159907549291"
"1752,0265570234787"
"1678,3887934223264"
"1564,0209213199673"
"1516,873997657554"
"1415,78192911507"
"1228,829638993781"
"790,2296530592787"
"808,947046892659"
"828,8796575132166"
"868,4380770727613"
"1015,9134707648634"
"1312,7338175626653"
"1512,6788627951987"
"1622,0559551988272"
"1640,22878717689"
"1602,0161527861333"
"1551,033467005247"
"1496,5843483998294"
"1452,5541184884078"
"1414,7485730958601"
"1404,9143560031675"
"1380,8631824477295"
"1384,7373428929186"
"1365,0166812007956"
"1329,423364241351"
"1244,5210746357657"
"1158,6011724351702"
"1069,4101003723813"
"962,4300453985174"
"852,6201979276109"
"641,6903273472285"
"663,0612407728537"
"674,3733289520923"
"706,4702259656354"
"851,8998953062761"
"1098,3175705483695"
"1261,4426800082529"
"1346,856101602716"
"1358,5640487579085"
"1288,9062087397988"
"1231,8993735957818"
"1190,9477032707032"
"1156,152234801228"
"1121,281854500583"
"1110,7846855943396"
"1086,285094424341"
"1097,9217361619833"
"1097,6105538678971"
"1067,2929290081101"
"1034,582442038527"
"979,4364131928291"
"901,5965649679589"
"792,5635565696048"
"705,318765531964"
"393,89699382305446"
"420,28260502279034"
"404,6409029221372"
"425,60927903708597"
"493,1461553616617"
"613,4735884901207"
"666,8966659617012"
"702,1423699225418"
"715,9206848932422"
"696,6555402028271"
"660,3092379139207"
"633,6890329928635"
"609,5057568895368"
"561,3438127446219"
"534,8561219578183"
"528,6605784529016"
"535,300632345905"
"536,0650619114404"
"536,2842686836466"
"531,5800806054827"
"523,070935464641"
"493,2122021982209"
"431,49628183557036"
"369,0421515346395"
"463,0853654191119"
"530,3423271767983"
"523,1528873658792"
"551,8346942053774"
"678,2405319524069"
"895,4520059798281"
"793,8784562836863"
"808,4468238806667"
"762,059711543058"
"744,8051011124213"
"691,6340463454853"
"679,8910436723186"
"675,5929025845779"
"626,7156364245783"
"621,6360253001344"
"628,2417454115541"
"654,1328700327067"
"690,7736354074339"
"730,6685718099656"
"752,3579637388686"
"774,7234904343125"
"761,1255309300877"
"676,6748556576006"
"603,3038027975122"
"981,6447892489252"
"988,2505213709287"
"1001,7797173057"
"1052,777401216716"
"1196,4389010779953"
"1564,431080337738"
"1812,3811344238104"
"1929,4351545052596"
"1958,5695587721116"
"1937,9156954235827"
"1878,0526792279425"
"1838,7177051220908"
"1778,9024249028694"
"1700,823156621247"
"1704,9168283897502"
"1654,6962290405727"
"1626,6439880095072"
"1609,858605032416"
"1548,536080662644"
"1446,4866442888037"
"1336,9345471929068"
"1246,6591737432384"
"1151,3206540751562"
"1023,1174133960233"
"935,008588863175"
"940,658962770252"
"953,6915309666609"
"1002,3541988450663"
"1141,3125784544725"
"1491,5632547929179"
"1725,0356572934274"
"1832,6398286913704"
"1860,3721241624953"
"1841,2791560879853"
"1785,4011683054896"
"1748,1396158527127"
"1692,765269633044"
"1620,3320259935706"
"1623,7081359478034"
"1575,5400534853693"
"1549,6233701994838"
"1532,3563181730017"
"1473,7342398093856"
"1377,973126114137"
"1275,641331926579"
"1189,2288240265634"
"1096,8849683470648"
"974,5792373450822"
"733,7333159362277"
"749,6554019472937"
"767,7234127673619"
"804,6716807058574"
"943,286303187775"
"1218,5801652225236"
"1401,1930556322886"
"1497,1775723839366"
"1513,4310039808202"
"1480,259907876909"
"1435,0412226057003"
"1386,1539608482185"
"1347,3808649177117"
"1314,099934441912"
"1305,16732496948"
"1280,8829663167303"
"1283,6646311753375"
"1263,3823599084085"
"1228,9339737748487"
"1152,2862545328076"
"1075,588346387105"
"993,0651463922447"
"892,4965974543107"
"791,3940961081586"
"557,4615109425926"
"572,2957076354312"
"580,3318710822844"
"608,7368702879467"
"736,8439058770281"
"947,6388812657492"
"1085,8929927579716"
"1149,7816685237287"
"1158,777166762434"
"1107,7208025139973"
"1064,812849858577"
"1032,1980830920922"
"1005,5877435890388"
"978,9117910934938"
"970,5265804431172"
"946,2301102848104"
"953,3039514599999"
"946,3425771168768"
"917,7899020240019"
