Wasserkraft;PV_Freifeld_Erfurt;PV_Freifeld_Nordhausen;PV_Freifeld_Gera;PV_Freifeld_Hildburghausen;Wind_Erfurt;Wind_Nordhausen;Wind_Gera;Wind_Hildburghausen;PV_Aufdach_Erfurt;PV_Aufdach_Nordhausen;PV_Aufdach_Gera;PV_Aufdach_Hildburghausen
0,8;0;0;0;0;0,0064699;0,020634;0,020634;0,045115;0;0;0;0
0,8;0;0;0;0;0,012131;0,038689;0,038689;0,08459;0;0;0;0
0,8;0;0;0;0;0,012131;0,038689;0,038689;0,08255;0;0;0;0
0,8;0;0;0;0;0,012131;0,038689;0,038689;0,049909;0;0;0;0
0,8;0;0;0;0;0,012131;0,038689;0,038689;0,038689;0;0;0;0
0,8;0;0;0;0;0,012131;0,038689;0,036918;0,038689;0;0;0;0
0,8;0;0;0;0;0,012131;0,037508;0,017443;0,038689;0;0;0;0
0,8;0;0;0;0;0,012131;0,018623;0,012131;0,038689;0;0;0;0
0,8;0;0;0;0;0,006929;0,012131;0,012131;0,035384;0;0;0;0
0,8;0;0;0;0;0,00098361;0,012131;0,012131;0,015436;0;0;0;0
0,8;0;0;0;0;0,00098361;0,012131;0,012131;0,012131;0;0;0;0
0,8;0;0;0;0;0,00098361;0,012131;0,012131;0,015436;0;0;0;0
0,8;0;0;0;0;0,006929;0,012131;0,012131;0,035384;0;0;0;0
0,8;0;0;0;0;0,012131;0,018623;0,018623;0,038689;0;0;0;0
0,8;0;0;0;0;0,012131;0,037508;0,037508;0,038689;0;0;0;0
0,8;0;0;0;0;0,012131;0,038689;0,038689;0,038689;0;0;0;0
0,8;0;0;0;0;0,012131;0,038689;0,026295;0,038689;0;0;0;0
0,8;0;0;0;0;0,012131;0,038689;0,012131;0,038689;0;0;0;0
0,8;0;0;0;0;0,012131;0,038689;0,013902;0,038689;0;0;0;0
0,8;0;0;0;0;0,012131;0,038689;0,033377;0,038689;0;0;0;0
0,8;0;0;0;0;0,012131;0,038689;0,038689;0,038689;0;0;0;0
0,8;0;0;0;0;0,012131;0,038689;0,038689;0,038689;0;0;0;0
0,8;0;0;0;0;0,012131;0,038689;0,038689;0,038689;0;0;0;0
0,8;0;0;0;0;0,012131;0,038689;0,038689;0,038689;0;0;0;0
0,8;0;0;0;0;0,012131;0,038334;0,035384;0,038689;0;0;0;0
0,8;0;0;0;0;0,012131;0,021338;0,015436;0,036918;0;0;0;0
0,8;0;0;0;0;0,012131;0,012839;0,012485;0,025233;0;0;0;0
0,8;0;0;0;0;0,012131;0,030898;0,029482;0,03798;0;0;0;0
0,8;0;0;0;0;0,012131;0,038689;0,038689;0,039913;0;0;0;0
0,8;0;0;0;0;0,026295;0,039913;0,038689;0,071126;0;0;0;0
0,8;0;0;0;0;0,038689;0,069086;0,038689;0,08459;0;0;0;0
0,8;0;0;0;0;0,038689;0,049909;0,038689;0,08459;0;0;0;0
0,8;0;0;0;0;0,026295;0,038689;0,038689;0,078878;0;0;0;0
0,8;0;0;0;0;0,012131;0,038689;0,038689;0,044401;0;0;0;0
0,8;0;0;0;0;0,017443;0,042973;0,039301;0,049909;0;0;0;0
0,8;0;0;0;0;0,04263;0,082077;0,068678;0,094144;0;0;0;0
0,8;0,0077122;0,0060021;0,022464;0,008459;0,082098;0,14528;0,10584;0,1598;0,00933666;0,006163729;0,027886311;0,008719661
0,8;0,02242;0,014851;0,065571;0,017751;0,13979;0,22911;0,16191;0,25166;0,027048363;0,015212116;0,081158574;0,018224874
0,8;0,15363;0,021148;0,10732;0,020125;0,19285;0,25902;0,23726;0,36477;0,185253789;0,021650826;0,132771316;0,020652032
0,8;0,065568;0,037834;0,058285;0,030698;0,16158;0,25902;0,1924;0,30562;0,079047332;0,038726653;0,072092368;0,031495263
0,8;0,079477;0,029925;0,014565;0,037323;0,15705;0,25902;0,15705;0,25902;0,094558989;0,030514768;0,017649868;0,038147795
0,8;0,039019;0,038046;0,043466;0,038222;0,13193;0,22367;0,15705;0,25448;0,045202926;0,038611074;0,051213032;0,038892316
0,8;0,015182;0,041633;0,038006;0,0513;0,085556;0,15841;0,15705;0,18197;0,016794584;0,042125637;0,042672711;0,052051942
0,8;0,023594;0,082814;0,056565;0,046275;0,08459;0,15705;0,12323;0,15705;0,0249246;0,083629074;0,059454774;0,046861484
0,8;0,0219;0,13311;0,057177;0,050539;0,08459;0,15705;0,08459;0,15705;0,022195974;0,134553158;0,057976326;0,051090711
0,8;0,050868;0,0841;0,057629;0,073498;0,08459;0,15705;0,08459;0,15705;0,051645489;0,085226953;0,058702547;0,074199758
0,8;0,16148;0,069171;0,12156;0,078149;0,08459;0,15705;0,08459;0,15705;0,164102842;0,070252737;0,124189579;0,078805579
0,8;0,25871;0,041756;0,19048;0,069947;0,08459;0,15705;0,093607;0,15705;0,263057684;0,042477189;0,194895;0,070469447
0,8;0,11992;0,046732;0,32209;0,070696;0,086522;0,15705;0,14803;0,21143;0,123823579;0,047492353;0,334986316;0,071207226
0,8;0,17685;0,078939;0,31368;0,073032;0,13579;0,16657;0,15705;0,25902;0,186968211;0,079960405;0,333416368;0,073582374
0,8;0,18463;0,084688;0,19575;0,064346;0,15705;0,2427;0,15705;0,25902;0,198275684;0,085507232;0,211114579;0,064852311
0,8;0,29394;0,089187;0,073759;0,049456;0,15705;0,25902;0,15705;0,25902;0,318525947;0,089751868;0,080520963;0,049863647
0,8;0,22651;0,076971;0,040908;0,049751;0,15705;0,25902;0,15977;0,27574;0,246212053;0,077349284;0,044820553;0,050194974
0,8;0,037167;0,066753;0,10116;0,043529;0,16974;0,25902;0,22911;0,37671;0,040346684;0,067104174;0,110753526;0,043966232
0,8;0,085646;0,071379;0,22158;0,044239;0,23364;0,25902;0,25902;0,39165;0,092866721;0,071780305;0,242388316;0,044746389
0,8;0,37065;0,044786;0,38821;0,036399;0,16974;0,25902;0,22911;0,30562;0,401376789;0,045056526;0,424261421;0,036882205
0,8;0,36234;0,074594;0,35487;0,034256;0,15705;0,25902;0,15977;0,25902;0,396252789;0,075236116;0,390810947;0,034774816
0,8;0,31876;0,035457;0,35896;0,027518;0,15705;0,22367;0,15705;0,25448;0,353970158;0,035990321;0,400307684;0,027983589
0,8;0,3141;0,060208;0,24359;0,020694;0,15705;0,17472;0,15705;0,22321;0,353007;0,061475479;0,274095474;0,021095084
0,8;0,22914;0,10183;0,19338;0,015989;0,18197;0,2495;0,1924;0,28007;0,259898526;0,104704895;0,219609632;0,016352495
0,8;0,087409;0,080267;0,082146;0,01503;0,25448;0,30562;0,25766;0,38536;0,099792789;0,082727558;0,093779795;0,015442311
0,8;0,057536;0,035604;0,055888;0,009474;0,31338;0,40726;0,30562;0,51161;0,066290305;0,036682832;0,064388068;0,009796279
0,8;0,038997;0,008372;0,047552;0,0043359;0,39225;0,51309;0,39165;0,56066;0,045787563;0,008621804;0,055714832;0,004546202
0,8;0,016354;0,0020609;0,009833;0,0021724;0,31338;0,41425;0,33071;0,53985;0,019739921;0,002119814;0,011842989;0,002369272
0,8;0,00041275;0,00030287;0,00033948;0,00026812;0,25448;0,34684;0,25902;0,41425;0,000528716;0,000311216;0,000430021;0,000313701
0,8;0;0;0;0;0,18197;0,26081;0,2427;0,34684;0;0;0;0
0,8;0;0;0;0;0,15705;0,25902;0,16657;0,26081;0;0;0;0
0,8;0;0;0;0;0,15705;0,25902;0,15705;0,25902;0;0;0;0
0,8;0;0;0;0;0,15705;0,25902;0,21143;0,27574;0;0;0;0
0,8;0;0;0;0;0,16974;0,25902;0,25902;0,37671;0;0;0;0
0,8;0;0;0;0;0,2214;0,25902;0,25766;0,38747;0;0;0;0
0,8;0;0;0;0;0,16158;0,25902;0,1924;0,29188;0;0;0;0
0,8;0;0;0;0;0,15705;0,22911;0,15705;0,25856;0;0;0;0
0,8;0;0;0;0;0,13193;0,15977;0,15705;0,19829;0;0;0;0
0,8;0;0;0;0;0,085556;0,15705;0,15705;0,15705;0;0;0;0
0,8;0;0;0;0;0,08459;0,15705;0,15705;0,15705;0;0;0;0
0,8;0;0;0;0;0,08459;0,15705;0,15705;0,15705;0;0;0;0
0,8;0;0;0;0;0,08459;0,15705;0,15705;0,15705;0;0;0;0
0,8;0;0;0;0;0,08459;0,15705;0,15705;0,15705;0;0;0;0
0,8;0;0;0;0;0,08459;0,15705;0,15705;0,15705;0;0;0;0
0,8;0;0;0;0;0,12323;0,15705;0,15705;0,15705;0;0;0;0
0,8;0;0;0;0;0,15705;0,15705;0,15705;0,15705;0;0;0;0
0,8;0;0;0;0;0,15222;0,15705;0,15705;0,15705;0;0;0;0
0,8;0;0;0;0;0,099082;0,15029;0,12774;0,15608;0;0;0;0
0,8;0;0;0;0;0,08153;0,096184;0,084912;0,10971;0;0;0;0
0,8;0;0;0;0;0,047869;0,083366;0,083366;0,083978;0;0;0;0
0,8;0;0;0;0;0,038689;0,052153;0,052153;0,054601;0;0;0;0
0,8;0;0;0;0;0,030898;0,038689;0,038689;0,038689;0;0;0;0
0,8;0;0;0;0;0,012839;0,038689;0,038689;0,038689;0;0;0;0
0,8;0;0;0;0;0,012131;0,038689;0,038689;0,036918;0;0;0;0
0,8;0;0;0;0;0,012131;0,037508;0,038689;0,017443;0;0;0;0
0,8;0;0;0;0;0,012131;0,018623;0,026295;0,012131;0;0;0;0
0,8;0;0;0;0;0,012131;0,012131;0,012131;0,012131;0;0;0;0
0,8;0;0;0;0;0,012131;0,012131;0,012131;0,012131;0;0;0;0
0,8;0;0;0;0;0,012131;0,012131;0,012131;0,012131;0;0;0;0
0,8;0;0;0;0;0,012131;0,012131;0,012131;0,012131;0;0;0;0
0,8;0;0;0;0;0,012131;0,012131;0,012131;0,012131;0;0;0;0
0,8;0;0;0;0;0,012131;0,012131;0,012131;0,012131;0;0;0;0
0,8;0;0;0;0;0,012131;0,01638;0,021338;0,021338;0;0;0;0
0,8;0;0;0;0;0,021338;0,03621;0,038334;0,040374;0;0;0;0
0,8;0;0;0;0;0,038946;0,049909;0,063169;0,07337;0;0;0;0
0,8;0;0;0;0;0,068678;0,083516;0,085556;0,10584;0;0;0;0
0,8;0;0;0;0;0,093607;0,13193;0,13193;0,15557;0;0;0;0
0,8;0;0;0;0;0,14803;0,16974;0,15841;0,21778;0;0;0;0
0,8;0;0;0;0;0,1924;0,24633;0,22367;0,26499;0;0;0;0
0,8;0;0;0;0;0,25945;0,27574;0,26081;0,36058;0;0;0;0
0,8;0;0;0;0;0,34684;0,37671;0,32533;0,39344;0;0;0;0
0,8;0;0;0;0;0,33071;0,39344;0,27156;0,39344;0;0;0;0
0,8;0;0;0;0;0,25902;0,39344;0,25902;0,39344;0;0;0;0
0,8;0;0;0;0;0,25902;0,33071;0,25902;0,37671;0;0;0;0
0,8;0;0;0;0;0,25902;0,29188;0,25902;0,32235;0;0;0;0
0,8;0;0;0;0;0,33071;0,38747;0,25902;0,39165;0;0;0;0
0,8;0;0;0;0;0,39344;0,39344;0,27156;0,45141;0;0;0;0
0,8;0;0;0;0;0,39344;0,45141;0,37193;0,55843;0;0;0;0
0,8;0;0;0;0;0,39344;0,54728;0,39344;0,56066;0;0;0;0
0,8;0;0;0;0;0,39344;0,42689;0,37193;0,55843;0;0;0;0
0,8;0;0;0;0;0,33071;0,38448;0,27156;0,45141;0;0;0;0
0,8;0;0;0;0;0,25902;0,2859;0,25902;0,39165;0;0;0;0
0,8;0;0;0;0;0,25902;0,25902;0,25902;0,32235;0;0;0;0
0,8;0;0;0;0;0,25902;0,25902;0,25902;0,37671;0;0;0;0
0,8;0;0;0;0;0,27156;0,2626;0,25902;0,39344;0;0;0;0
0,8;0;0;0;0;0,37193;0,35401;0,27156;0,39344;0;0;0;0
0,8;0;0;0;0;0,3809;0,37193;0,31757;0,39285;0;0;0;0
0,8;0;0;0;0;0,27781;0,27156;0,25282;0,31338;0;0;0;0
0,8;0;0;0;0;0,18696;0,21143;0,17744;0,21778;0;0;0;0
0,8;0;0;0;0;0,1184;0,14256;0,12774;0,14301;0;0;0;0
0,8;0;0;0;0;0,08459;0,089421;0,084912;0,089421;0;0;0;0
0,8;0;0;0;0;0,08459;0,08459;0,08459;0,08459;0;0;0;0
0,8;0;0;0;0;0,08459;0,08459;0,08459;0,08459;0;0;0;0
0,8;0;0;0;0;0,08459;0,1023;0,093607;0,1023;0;0;0;0
0,8;0;0;0;0;0,08459;0,15061;0,13901;0,15383;0;0;0;0
0,8;0;0;0;0;0,08459;0,1023;0,093607;0,12323;0;0;0;0
0,8;0,0041019;0,0059265;0,0055963;0,0046888;0,08459;0,08459;0,08459;0,08459;0,004345672;0,006175383;0,005819304;0,004925493
0,8;0,0092983;0,01305;0,011719;0,010076;0,08459;0,08459;0,08459;0,08459;0,009749084;0,013519847;0,012124232;0,0105042
0,8;0,014092;0,014418;0,016029;0,015027;0,08459;0,08459;0,08459;0,08459;0,014753653;0,014923168;0,016566316;0,015648426
0,8;0,014213;0,019106;0,020874;0,020623;0,08459;0,08459;0,08459;0,08459;0,014871158;0,019767853;0,021566068;0,021467826
0,8;0,01403;0,023872;0,024547;0,024247;0,08459;0,08459;0,08459;0,08459;0,014559095;0,0245403;0,025239553;0,025064258
0,8;0,020899;0,034134;0,028117;0,030855;0,08459;0,1023;0,093607;0,12323;0,021476495;0,034838384;0,028735816;0,031649368
0,8;0,032285;0,043491;0,032781;0,030961;0,08459;0,13934;0,13032;0,14256;0,032992011;0,044220505;0,033377274;0,031615658
0,8;0,034433;0,040148;0,02952;0,041068;0,08459;0,089421;0,087811;0,089421;0,035060874;0,040711721;0,029971547;0,041811647
0,8;0,034037;0,050867;0,0286;0,048354;0,07541;0,08459;0,08459;0,08459;0,034601447;0,051489458;0,0290055;0,049151874
0,8;0,027908;0,045644;0,032243;0,049808;0,041749;0,08255;0,08255;0,08255;0,028357295;0,046138153;0,032693432;0,0505812
0,8;0,031678;0,056908;0,035317;0,040829;0,038689;0,063373;0,063373;0,065821;0,032174289;0,057460074;0,035804432;0,041429274
0,8;0,032354;0,063603;0,039881;0,035325;0,057253;0,083366;0,083366;0,083978;0,032847537;0,064160763;0,040423737;0,035817916
0,8;0,034267;0,06829;0,045678;0,034904;0,084386;0,096184;0,084912;0,10971;0,034766147;0,068858084;0,046276847;0,035397016
0,8;0,030927;0,06859;0,039644;0,033782;0,1023;0,15029;0,12774;0,15608;0,031345011;0,069153774;0,040133826;0,034292274
0,8;0,043803;0,050414;0,034983;0,035544;0,15383;0,15705;0,15705;0,17744;0,044357274;0,050822953;0,035390274;0,0361242
0,8;0,042747;0,050901;0,039186;0,034307;0,15705;0,16974;0,15705;0,25222;0,043255421;0,051308384;0,039616611;0,034914474
0,8;0,043946;0,041162;0,042862;0,033843;0,15705;0,24633;0,15977;0,25902;0,044430474;0,041498621;0,043300689;0,034476237
0,8;0,038923;0,050629;0,045903;0,030199;0,16974;0,25902;0,22911;0,25902;0,039318995;0,051066632;0,046333674;0,0307806
0,8;0,049902;0,061286;0,052895;0,028845;0,21642;0,25902;0,2495;0,25902;0,050370268;0,061843405;0,053353168;0,029417732
0,8;0,049736;0,049942;0,048776;0,027772;0,15977;0,21143;0,17336;0,25222;0,050167042;0,050422279;0,049166321;0,028340921
