"1034,5592066260097"
"1060,4027899735104"
"1092,152223433526"
"1118,674931880472"
"1257,3742693654938"
"1550,8108484502532"
"1716,2883353788657"
"1768,388073756178"
"1757,8689023187076"
"1700,7168783332081"
"1688,8592460915543"
"1637,195187336517"
"1594,0010637015387"
"1560,5181202461713"
"1526,2993754074857"
"1442,732574572153"
"1493,1822564834033"
"1501,0145473351422"
"1460,087042841339"
"1454,839088182714"
"1450,1527011978144"
"1388,0685340697096"
"1267,0322128493453"
"1123,0833405125836"
"1101,3518576048368"
"1116,3667224623462"
"1140,5030749448165"
"1249,8706669893659"
"1388,1282661079008"
"1781,417549482533"
"1755,5544250934827"
"1766,5571667538607"
"1739,6441459797843"
"1708,4553469478487"
"1663,6696479771003"
"1600,1255198583344"
"1551,302636224137"
"1517,0038998050852"
"1474,0264166618797"
"1495,826607690982"
"1528,8628631735721"
"1604,6302098879862"
"1619,1523968325373"
"1595,22167693996"
"1544,8438404595245"
"1513,3901951894145"
"1429,3094120174405"
"1266,1020165272062"
"1396,6126712473003"
"1405,5961547210086"
"1425,3762002621402"
"1499,0225543980628"
"1714,5575945857452"
"2246,1349470889427"
"2529,3629903712"
"2635,363064111675"
"2674,7824160897617"
"2648,1264160326273"
"2573,1417962105324"
"2519,4746760470107"
"2453,1067923058827"
"2362,9661386227026"
"2364,8363555297983"
"2305,570297773774"
"2285,726320595272"
"2268,418440851824"
"2197,6186511872934"
"2080,5954582692984"
"1950,2885180669878"
"1818,1839420563192"
"1669,5888893497156"
"1457,5989871878605"
"1569,1853073904153"
"1552,0510653194397"
"1570,3240374822735"
"1628,0298659360592"
"1839,6120226027258"
"2460,5031170081293"
"2676,2392726725475"
"2665,4899017835073"
"2718,510423363448"
"2691,0374026742656"
"2621,324561469938"
"2625,5799213161317"
"2548,584150600257"
"2444,845115745681"
"2425,6511531200786"
"2399,3099101988623"
"2342,068261525711"
"2351,314310899703"
"2290,0539625063147"
"2220,383070250494"
"2101,129010503813"
"2023,584219713573"
"1900,105582624627"
"1632,117721404275"
"1616,685923074065"
"1599,5058738823154"
"1618,6081679376919"
"1678,0819085661694"
"1894,4782135261185"
"2535,0379731159414"
"2758,0033525183917"
"2748,4310291937977"
"2804,0203574444286"
"2775,467811904351"
"2703,411262543297"
"2707,775511788397"
"2627,227378998088"
"2518,2774223017705"
"2498,4054666101547"
"2472,2382358327563"
"2412,300017925256"
"2423,4244257820537"
"2361,518803456117"
"2289,3124974749103"
"2164,8573631180147"
"2086,021287182152"
"1958,95782093864"
"1681,2916481400237"
"1117,667981433033"
"1142,537174744732"
"1166,6002809600795"
"1223,922573767716"
"1433,8655831171152"
"1862,120283212153"
"2089,3423466220497"
"2194,4734143608703"
"2210,7713617827403"
"2168,3263864500022"
"2108,7264393533737"
"2042,1781054126236"
"1994,9572011251018"
"1955,5824139649517"
"1945,0191150492183"
"1912,4843113371003"
"1922,769881917402"
"1900,3925173380026"
"1858,7414000392307"
"1764,705605539679"
"1667,726019411471"
"1543,9403411762305"
"1384,8484098231834"
"1211,1313222851772"
"934,6580451257712"
"962,9164891610747"
"970,1224237792776"
"1018,2188581637984"
"1229,5018461919285"
"1584,0429201064749"
"1782,1069824452015"
"1865,1190099104037"
"1873,029110815599"
"1792,7067006184468"
"1727,0858465678994"
"1675,9107574753311"
"1636,0659858638126"
"1596,4894288769813"
"1585,1395636254802"
"1554,6187954789034"
"1572,3955760388098"
"1570,1003096940628"
"1537,2238225995143"
"1501,6358024132774"
"1439,6724087980188"
"1331,2769169257476"
"1172,812020571988"
"1032,9189356577858"
"598,7406398066369"
"631,7623843998464"
"613,4842231863497"
"643,2602456306465"
"742,6108055776558"
"923,3471700873861"
"982,0943061479013"
"1012,1107111961139"
"1023,6851880928425"
"999,7207407636649"
"960,5014203372741"
"930,029702878725"
"896,7954051194827"
"837,7915204740359"
"803,8627234140475"
"797,1343611643015"
"809,6262262212492"
"816,7625871707328"
"822,6279237977633"
"821,1236861442989"
"809,2895425063991"
"762,9226993071354"
"674,3239355647368"
"577,5156228878961"
"673,8163119007133"
"750,4116184010696"
"742,8503866404328"
"782,0612071366783"
"947,8308598815661"
"1236,324195838957"
"1143,6149559869118"
"1149,6986800937862"
"1098,8118497102996"
"1069,4415557996917"
"1010,7276740040228"
"991,8457832266265"
"983,9226524559482"
"928,0979506972624"
