HA4;Prozessgas;T24;Elektromobilitaet_PKW
0,220594;0,042854;0,129974;65068,49315
0,226404;0,044016;0,1335;65068,49315
0,231884;0,048015;0,136019;65068,49315
0,22169;0,048613;0,146598;65068,49315
0,237131;0,050609;0,175817;65068,49315
0,232589;0,051115;0,255917;65068,49315
0,34703;0,050777;0,255414;65068,49315
0,417682;0,050412;0,241812;65068,49315
0,40035;0,050412;0,245842;65068,49315
0,371689;0,050432;0,241812;65068,49315
0,381458;0,050963;0,234255;65068,49315
0,362941;0,050963;0,227706;65068,49315
0,33871;0,050963;0,225691;65068,49315
0,340124;0,046263;0,220653;65068,49315
0,317984;0,046338;0,220149;65068,49315
0,256611;0,046148;0,222165;65068,49315
0,265939;0,047495;0,230729;65068,49315
0,233704;0,055095;0,238285;65068,49315
0,191586;0,05785;0,241308;65068,49315
0,187164;0,059778;0,239797;65068,49315
0,200979;0,060648;0,23224;65068,49315
0,201606;0,062966;0,213097;65068,49315
0,173952;0,06517;0,189419;65068,49315
0,188769;0,070756;0,139546;65068,49315
0,251342;0,042854;0,135748;65068,49315
0,249403;0,044016;0,139431;65068,49315
0,249431;0,048015;0,142062;65068,49315
0,294295;0,048613;0,153111;65068,49315
0,306154;0,050609;0,183628;65068,49315
0,360409;0,051115;0,267286;65068,49315
0,345;0,050777;0,26676;65068,49315
0,389277;0,050412;0,252554;65068,49315
0,360362;0,050412;0,256763;65068,49315
0,349781;0,050432;0,252554;65068,49315
0,338041;0,050963;0,244662;65068,49315
0,312194;0,050963;0,237822;65068,49315
0,284369;0,050963;0,235717;65068,49315
0,285793;0,046263;0,230456;65068,49315
0,257762;0,046338;0,22993;65068,49315
0,267704;0,046148;0,232034;65068,49315
0,264246;0,047495;0,240979;65068,49315
0,277285;0,055095;0,248871;65068,49315
0,272475;0,05785;0,252028;65068,49315
0,255538;0,059778;0,25045;65068,49315
0,239181;0,060648;0,242557;65068,49315
0,262756;0,062966;0,222563;65068,49315
0,26285;0,06517;0,197834;65068,49315
0,270195;0,070756;0,145745;65068,49315
0,235538;0,108994;0,157789;65068,49315
0,239361;0,105472;0,16207;65068,49315
0,240541;0,107333;0,165128;65068,49315
0,24757;0,111657;0,177972;65068,49315
0,252502;0,132961;0,213444;65068,49315
0,30629;0,15819;0,310686;65068,49315
0,42716;0,188254;0,310074;65068,49315
0,521549;0,196219;0,293561;65068,49315
0,528486;0,19929;0,298454;65068,49315
0,520229;0,200333;0,293561;65068,49315
0,495941;0,198921;0,284388;65068,49315
0,486381;0,196131;0,276437;65068,49315
0,451834;0,194348;0,273991;65068,49315
0,410832;0,192398;0,267875;65068,49315
0,417375;0,190863;0,267263;65068,49315
0,397979;0,179727;0,26971;65068,49315
0,370207;0,174787;0,280107;65068,49315
0,365417;0,162363;0,28928;65068,49315
0,339445;0,149436;0,29295;65068,49315
0,288976;0,139407;0,291115;65068,49315
0,237822;0,13359;0,281941;65068,49315
0,228097;0,124855;0,258701;65068,49315
0,230875;0,112091;0,229956;65068,49315
0,240171;0,112039;0,169409;65068,49315
0,270634;0,108994;0,190246;65068,49315
0,274139;0,105472;0,18764;65068,49315
0,286969;0,107333;0,185686;65068,49315
0,295884;0,111657;0,193504;65068,49315
0,298863;0,132961;0,228687;65068,49315
0,334628;0,15819;0,357038;65068,49315
0,439429;0,188254;0,344659;65068,49315
0,516586;0,196219;0,303613;65068,49315
0,550073;0,19929;0,301658;65068,49315
0,550306;0,200333;0,293188;65068,49315
0,547588;0,198921;0,2769;65068,49315
0,535832;0,196131;0,28537;65068,49315
0,502712;0,194348;0,279506;65068,49315
0,446897;0,192398;0,275597;65068,49315
0,440886;0,190863;0,274294;65068,49315
0,431909;0,179727;0,281461;65068,49315
0,391857;0,174787;0,286673;65068,49315
0,392048;0,162363;0,301006;65068,49315
0,388422;0,149436;0,2984;65068,49315
0,34734;0,139407;0,305567;65068,49315
0,293672;0,13359;0,300355;65068,49315
0,303411;0,124855;0,284067;65068,49315
0,276918;0,112091;0,273642;65068,49315
0,266431;0,112039;0,205883;65068,49315
0,286122;0,108994;0,196875;65068,49315
0,289826;0,105472;0,194178;65068,49315
0,303391;0,107333;0,192156;65068,49315
0,312816;0,111657;0,200247;65068,49315
0,315966;0,132961;0,236655;65068,49315
0,353777;0,15819;0,369478;65068,49315
0,464576;0,188254;0,356668;65068,49315
0,546148;0,196219;0,314192;65068,49315
0,581551;0,19929;0,312169;65068,49315
0,581797;0,200333;0,303404;65068,49315
0,578924;0,198921;0,286548;65068,49315
0,566496;0,196131;0,295313;65068,49315
0,53148;0,194348;0,289245;65068,49315
0,472471;0,192398;0,2852;65068,49315
0,466116;0,190863;0,283851;65068,49315
0,456625;0,179727;0,291268;65068,49315
0,414282;0,174787;0,296662;65068,49315
0,414484;0,162363;0,311495;65068,49315
0,41065;0,149436;0,308798;65068,49315
0,367217;0,139407;0,316214;65068,49315
0,310478;0,13359;0,31082;65068,49315
0,320774;0,124855;0,293965;65068,49315
0,292765;0,112091;0,283177;65068,49315
0,281677;0,112039;0,213057;65068,49315
0,156221;0,108994;0,114259;65068,49315
