"403,2706400766949"
"414,027295041718"
"423,7828251437868"
"426,3957485391104"
"479,52459269415374"
"574,833171802494"
"694,4603255189026"
"751,6911495916902"
"738,4977900216418"
"703,3369460597669"
"704,2889294452737"
"676,6454640501951"
"648,6532277891542"
"642,8532451375684"
"618,9614365745904"
"556,907880241002"
"577,6909433987794"
"554,8437346565436"
"514,9180395507669"
"508,79227263373457"
"514,0703666434754"
"491,3287804096204"
"433,1671101496059"
"387,68403000424416"
"442,80683957714245"
"445,61191725197585"
"449,7748397316068"
"510,86406480512994"
"561,8467805997036"
"723,4172426330814"
"706,4874113281479"
"735,2328688927888"
"710,0842059545387"
"693,7098106796268"
"671,6284412705031"
"635,9147776323232"
"604,0313660584843"
"597,9635606521831"
"567,8503145186176"
"580,8893762703904"
"588,704390864962"
"613,879033873736"
"613,3473675397822"
"593,979319361646"
"567,1142681932458"
"567,4387397093506"
"537,1403649524132"
"481,0350980041959"
"467,7521852809877"
"476,3668638848204"
"481,8197667666367"
"506,16014142941924"
"560,1462370372591"
"743,4330320936582"
"876,1428182985794"
"956,4678370311742"
"970,5212481457006"
"955,9539850776478"
"918,6675866947944"
"898,0991350833372"
"858,3435818843805"
"807,1848594935057"
"812,9743866917399"
"793,2691654610587"
"775,9963054989018"
"779,7696853899822"
"754,2962356615838"
"696,8105239531733"
"630,3392792288671"
"589,2513625901095"
"553,5824499677399"
"487,7738695717684"
"545,1643455068889"
"544,8486720838027"
"556,2950236544735"
"576,3452034842167"
"627,9171400697431"
"831,0826436477006"
"932,2100292173955"
"963,7959727223965"
"997,2175498914023"
"987,1123072226023"
"963,6246943763623"
"961,2431434920047"
"918,7218111652558"
"854,7429088846472"
"846,4703045103508"
"843,6111996241516"
"806,9551218268361"
"822,4061230989205"
"812,5945655271014"
"776,2144645171427"
"712,0450863925691"
"700,0993437791321"
"656,5200789720192"
"560,909399607038"
"569,7228791440317"
"569,5028589405194"
"581,6371380009477"
"602,5642919672389"
"655,8450048216282"
"866,7434546462431"
"973,6393697109952"
"1008,0825277871504"
"1043,4337721136765"
"1032,9739943076245"
"1008,6144614901881"
"1005,8945529056092"
"961,1250857090158"
"893,6181655794314"
"884,9264542211879"
"881,8389510151819"
"843,0012084458858"
"859,0878495853899"
"848,9440129344322"
"810,4027872432995"
"742,7773024270775"
"730,709506655773"
"685,0831950751572"
"585,8937278137962"
"330,0239619816521"
"344,9983589161334"
"355,06731587631066"
"371,40779971140637"
"427,35700521850254"
"559,0279952169576"
"650,894432125436"
"716,9499794165899"
"726,2204874303354"
"700,3680828727202"
"670,0795275245328"
"640,1197033579921"
"613,3369523780345"
"590,4795602248873"
"585,8418436570461"
"585,2273209417618"
"591,7306224338696"
"593,8033664002645"
"586,7386271182164"
"543,7626771999869"
"495,7183052651267"
"456,02715783193776"
"414,33188711993955"
"359,3166430900195"
"239,76885387676504"
"256,3192222999588"
"263,04028538662783"
"274,85695383577774"
"328,3930945644173"
"432,9586733495138"
"497,5406992025005"
"546,7909229559712"
"552,261366371937"
"507,04011171231843"
"472,66648376807063"
"451,28876648109093"
"431,3300740691663"
"411,4133474886951"
"406,36364663668337"
"404,69878226661285"
"416,5468994895357"
"431,57449588755287"
"427,0259477604591"
"417,53748594391425"
"389,0705639640273"
"355,85085842920495"
"311,95151433442254"
"268,8218856531953"
"162,33631273910225"
"178,89533852751543"
"168,13578113581303"
"178,7075555224931"
"213,52786190176866"
"274,14780543108736"
"305,94615980906224"
"329,3630937576885"
"336,12749772166103"
"319,62285413843847"
"293,57991065765617"
"275,4688478039378"
"268,9482472749786"
"249,81961845903413"
"243,14441773843413"
"244,12449831335107"
"249,44916037124446"
"250,3087957051586"
"251,01759793094308"
"249,12997332400937"
"246,56498790694133"
"232,46481359838833"
"200,58530004160912"
"165,85499923789774"
"221,53012165582436"
"262,9278551301642"
"253,45505519588826"
"269,0042441617545"
"340,41925789292725"
"465,4777302024385"
"394,32720327953484"
"407,2054708132804"
"377,12099339534626"
"369,0717130649062"
"334,07860128772535"
"328,28109647254917"
"326,4658434109643"
"300,9722876052618"
