Strompreis_2030;Erdgaspreis_2030;Oelpreis_2030;Biomassepreis_2030;Wasserstoffpreis_2030;Synthetische_Kraftstoffe_2030;Steinkohlepreis_2030;Braunkohlepreis_2030
63,75777114;20,12;30,09;25;121;206,22;5,392819567;8,798929188
61,38309588;20,12;30,09;25;121;206,22;5,392819567;8,798929188
59,08422006;20,12;30,09;25;121;206,22;5,392819567;8,798929188
56,78019672;20,12;30,09;25;121;206,22;5,392819567;8,798929188
56,91710275;20,12;30,09;25;121;206,22;5,392819567;8,798929188
62,46675934;20,12;30,09;25;121;206,22;5,392819567;8,798929188
66,26002174;20,12;30,09;25;121;206,22;5,392819567;8,798929188
66,89807032;20,12;30,09;25;121;206,22;5,392819567;8,798929188
72,22885493;20,12;30,09;25;121;206,22;5,392819567;8,798929188
69,46429034;20,12;30,09;25;121;206,22;5,392819567;8,798929188
77,17752944;20,12;30,09;25;121;206,22;5,392819567;8,798929188
79,98120466;20,12;30,09;25;121;206,22;5,392819567;8,798929188
75,0486105;20,12;30,09;25;121;206,22;5,392819567;8,798929188
68,99157181;20,12;30,09;25;121;206,22;5,392819567;8,798929188
60,6209755;20,12;30,09;25;121;206,22;5,392819567;8,798929188
54,8053614;20,12;30,09;25;121;206,22;5,392819567;8,798929188
62,71199239;20,12;30,09;25;121;206,22;5,392819567;8,798929188
67,74189955;20,12;30,09;25;121;206,22;5,392819567;8,798929188
79,49315175;20,12;30,09;25;121;206,22;5,392819567;8,798929188
86,09673707;20,12;30,09;25;121;206,22;5,392819567;8,798929188
80,73851117;20,12;30,09;25;121;206,22;5,392819567;8,798929188
77,17511541;20,12;30,09;25;121;206,22;5,392819567;8,798929188
73,16900464;20,12;30,09;25;121;206,22;5,392819567;8,798929188
66,3125444;20,12;30,09;25;121;206,22;5,392819567;8,798929188
65,20423595;20,12;30,09;25;121;206,22;5,392819567;8,798929188
57,84751556;20,12;30,09;25;121;206,22;5,392819567;8,798929188
45,16823309;20,12;30,09;25;121;206,22;5,392819567;8,798929188
43,95955478;20,12;30,09;25;121;206,22;5,392819567;8,798929188
38,43248086;20,12;30,09;25;121;206,22;5,392819567;8,798929188
51,32009585;20,12;30,09;25;121;206,22;5,392819567;8,798929188
52,12439574;20,12;30,09;25;121;206,22;5,392819567;8,798929188
63,03383482;20,12;30,09;25;121;206,22;5,392819567;8,798929188
69,31806016;20,12;30,09;25;121;206,22;5,392819567;8,798929188
77,03969757;20,12;30,09;25;121;206,22;5,392819567;8,798929188
81,04125048;20,12;30,09;25;121;206,22;5,392819567;8,798929188
