Strompreis_2040;Erdgaspreis_2040;Oelpreis_2040;Biomassepreis_2040;Wasserstoffpreis_2040;Synthetische_Kraftstoffe_2040
79,68110735;20,34;29,03;25;95;157,22
76,09980708;20,34;29,03;25;95;157,22
72,58885017;20,34;29,03;25;95;157,22
70,95339169;20,34;29,03;25;95;157,22
71,84169881;20,34;29,03;25;95;157,22
79,2906863;20,34;29,03;25;95;157,22
83,39419002;20,34;29,03;25;95;157,22
85,59174928;20,34;29,03;25;95;157,22
91,72800514;20,34;29,03;25;95;157,22
96,59697431;20,34;29,03;25;95;157,22
104,6706151;20,34;29,03;25;95;157,22
104,279539;20,34;29,03;25;95;157,22
98,45872029;20,34;29,03;25;95;157,22
96,88138786;20,34;29,03;25;95;157,22
73,36079253;20,34;29,03;25;95;157,22
93,07685175;20,34;29,03;25;95;157,22
97,2546217;20,34;29,03;25;95;157,22
102,6859946;20,34;29,03;25;95;157,22
108,1025153;20,34;29,03;25;95;157,22
113,359578;20,34;29,03;25;95;157,22
107,6178084;20,34;29,03;25;95;157,22
98,01583686;20,34;29,03;25;95;157,22
90,55861275;20,34;29,03;25;95;157,22
81,57708316;20,34;29,03;25;95;157,22
80,06037337;20,34;29,03;25;95;157,22
77,78850325;20,34;29,03;25;95;157,22
77,33965113;20,34;29,03;25;95;157,22
77,34548333;20,34;29,03;25;95;157,22
78,864876;20,34;29,03;25;95;157,22
85,88248085;20,34;29,03;25;95;157,22
88,44887178;20,34;29,03;25;95;157,22
86,75869437;20,34;29,03;25;95;157,22
91,85187853;20,34;29,03;25;95;157,22
99,3493226;20,34;29,03;25;95;157,22
105,2542844;20,34;29,03;25;95;157,22
108,4603314;20,34;29,03;25;95;157,22
109,9809654;20,34;29,03;25;95;157,22
106,5161827;20,34;29,03;25;95;157,22
97,89981934;20,34;29,03;25;95;157,22
96,64425124;20,34;29,03;25;95;157,22
95,92850051;20,34;29,03;25;95;157,22
101,4696372;20,34;29,03;25;95;157,22
108,4466026;20,34;29,03;25;95;157,22
113,2776575;20,34;29,03;25;95;157,22
106,8238827;20,34;29,03;25;95;157,22
98,73115482;20,34;29,03;25;95;157,22
92,02504243;20,34;29,03;25;95;157,22
83,11368915;20,34;29,03;25;95;157,22
81,69071384;20,34;29,03;25;95;157,22
79,12493516;20,34;29,03;25;95;157,22
77,08102608;20,34;29,03;25;95;157,22
76,85506433;20,34;29,03;25;95;157,22
80,22303651;20,34;29,03;25;95;157,22
92,78096195;20,34;29,03;25;95;157,22
106,8690402;20,34;29,03;25;95;157,22
119,132842;20,34;29,03;25;95;157,22
135,4286534;20,34;29,03;25;95;157,22
125,8338221;20,34;29,03;25;95;157,22
112,4271518;20,34;29,03;25;95;157,22
117,5398838;20,34;29,03;25;95;157,22
122,52322;20,34;29,03;25;95;157,22
127,173818;20,34;29,03;25;95;157,22
120,4180341;20,34;29,03;25;95;157,22
128,3231608;20,34;29,03;25;95;157,22
136,6814383;20,34;29,03;25;95;157,22
145,7231116;20,34;29,03;25;95;157,22
147,2420498;20,34;29,03;25;95;157,22
135,4609744;20,34;29,03;25;95;157,22
120,1696168;20,34;29,03;25;95;157,22
111,5077194;20,34;29,03;25;95;157,22
103,0445141;20,34;29,03;25;95;157,22
92,60298699;20,34;29,03;25;95;157,22
87,43248472;20,34;29,03;25;95;157,22
84,49595109;20,34;29,03;25;95;157,22
83,6784165;20,34;29,03;25;95;157,22
85,07395143;20,34;29,03;25;95;157,22
92,80318891;20,34;29,03;25;95;157,22
101,7179559;20,34;29,03;25;95;157,22
110,8758171;20,34;29,03;25;95;157,22
120,38623;20,34;29,03;25;95;157,22
136,8399279;20,34;29,03;25;95;157,22
128,8202372;20,34;29,03;25;95;157,22
116,9095065;20,34;29,03;25;95;157,22
108,9152487;20,34;29,03;25;95;157,22
109,2772434;20,34;29,03;25;95;157,22
104,3873066;20,34;29,03;25;95;157,22
103,716848;20,34;29,03;25;95;157,22
119,6399548;20,34;29,03;25;95;157,22
136,5447256;20,34;29,03;25;95;157,22
142,3595903;20,34;29,03;25;95;157,22
143,5422202;20,34;29,03;25;95;157,22
135,6403229;20,34;29,03;25;95;157,22
120,7094006;20,34;29,03;25;95;157,22
111,5920381;20,34;29,03;25;95;157,22
103,2730228;20,34;29,03;25;95;157,22
92,17338172;20,34;29,03;25;95;157,22
87,36546545;20,34;29,03;25;95;157,22
87,22756303;20,34;29,03;25;95;157,22
83,52865789;20,34;29,03;25;95;157,22
81,31138548;20,34;29,03;25;95;157,22
87,58504996;20,34;29,03;25;95;157,22
101,9987769;20,34;29,03;25;95;157,22
115,5658994;20,34;29,03;25;95;157,22
123,9192674;20,34;29,03;25;95;157,22
138,7561697;20,34;29,03;25;95;157,22
143,6725565;20,34;29,03;25;95;157,22
141,3694423;20,34;29,03;25;95;157,22
143,6596285;20,34;29,03;25;95;157,22
141,88291;20,34;29,03;25;95;157,22
136,0290929;20,34;29,03;25;95;157,22
130,2997332;20,34;29,03;25;95;157,22
134,037456;20,34;29,03;25;95;157,22
139,844209;20,34;29,03;25;95;157,22
