Strompreis_2050_CO2frei;Erdgaspreis_2050;Oelpreis_2050;Biomassepreis_2050;Wasserstoffpreis_2050;Synthetische_Kraftstoffe_2050
74,57490034;20,34;28,49;25;74;120,22
71,94565988;20,34;28,49;25;74;120,22
69,01076285;20,34;28,49;25;74;120,22
67,63338999;20,34;28,49;25;74;120,22
68,70958163;20,34;28,49;25;74;120,22
76,07432741;20,34;28,49;25;74;120,22
80,13893947;20,34;28,49;25;74;120,22
82,21454968;20,34;28,49;25;74;120,22
87,37317451;20,34;28,49;25;74;120,22
92,09704462;20,34;28,49;25;74;120,22
97,64164471;20,34;28,49;25;74;120,22
95,45147544;20,34;28,49;25;74;120,22
89,8116009;20,34;28,49;25;74;120,22
89,29164494;20,34;28,49;25;74;120,22
65,70645299;20,34;28,49;25;74;120,22
87,37417975;20,34;28,49;25;74;120,22
90,06507495;20,34;28,49;25;74;120,22
95,9001137;20,34;28,49;25;74;120,22
99,94854942;20,34;28,49;25;74;120,22
105,0710771;20,34;28,49;25;74;120,22
100,3970504;20,34;28,49;25;74;120,22
90,73291055;20,34;28,49;25;74;120,22
83,97406138;20,34;28,49;25;74;120,22
75,65307896;20,34;28,49;25;74;120,22
75,55175272;20,34;28,49;25;74;120,22
74,7561863;20,34;28,49;25;74;120,22
77,6542242;20,34;28,49;25;74;120,22
78,30935625;20,34;28,49;25;74;120,22
80,5350184;20,34;28,49;25;74;120,22
85,98946127;20,34;28,49;25;74;120,22
89,24753339;20,34;28,49;25;74;120,22
84,56577243;20,34;28,49;25;74;120,22
88,55759456;20,34;28,49;25;74;120,22
94,08518679;20,34;28,49;25;74;120,22
98,5112157;20,34;28,49;25;74;120,22
100,3296574;20,34;28,49;25;74;120,22
101,8545324;20,34;28,49;25;74;120,22
99,80830029;20,34;28,49;25;74;120,22
90,03827878;20,34;28,49;25;74;120,22
89,32541545;20,34;28,49;25;74;120,22
88,12814921;20,34;28,49;25;74;120,22
93,56993778;20,34;28,49;25;74;120,22
99,8334775;20,34;28,49;25;74;120,22
104,0979919;20,34;28,49;25;74;120,22
98,591995;20,34;28,49;25;74;120,22
91,45902759;20,34;28,49;25;74;120,22
85,87251701;20,34;28,49;25;74;120,22
77,64851467;20,34;28,49;25;74;120,22
77,38504117;20,34;28,49;25;74;120,22
75,55767482;20,34;28,49;25;74;120,22
73,82573312;20,34;28,49;25;74;120,22
73,68603978;20,34;28,49;25;74;120,22
76,91329235;20,34;28,49;25;74;120,22
88,43563651;20,34;28,49;25;74;120,22
100,5959183;20,34;28,49;25;74;120,22
111,3370209;20,34;28,49;25;74;120,22
126,1200258;20,34;28,49;25;74;120,22
116,565869;20,34;28,49;25;74;120,22
103,0979707;20,34;28,49;25;74;120,22
106,9260793;20,34;28,49;25;74;120,22
111,1751532;20,34;28,49;25;74;120,22
115,6397232;20,34;28,49;25;74;120,22
109,0658045;20,34;28,49;25;74;120,22
115,1993432;20,34;28,49;25;74;120,22
122,6696932;20,34;28,49;25;74;120,22
133,7092453;20,34;28,49;25;74;120,22
136,0633607;20,34;28,49;25;74;120,22
123,7318524;20,34;28,49;25;74;120,22
110,8075554;20,34;28,49;25;74;120,22
104,9547222;20,34;28,49;25;74;120,22
98,27177631;20,34;28,49;25;74;120,22
89,56847127;20,34;28,49;25;74;120,22
85,93591715;20,34;28,49;25;74;120,22
83,7420265;20,34;28,49;25;74;120,22
84,30945208;20,34;28,49;25;74;120,22
87,33574503;20,34;28,49;25;74;120,22
98,59005187;20,34;28,49;25;74;120,22
102,31499;20,34;28,49;25;74;120,22
106,2082061;20,34;28,49;25;74;120,22
113,2554269;20,34;28,49;25;74;120,22
128,2457854;20,34;28,49;25;74;120,22
119,8303228;20,34;28,49;25;74;120,22
107,8520819;20,34;28,49;25;74;120,22
98,50948374;20,34;28,49;25;74;120,22
98,68790892;20,34;28,49;25;74;120,22
93,2760254;20,34;28,49;25;74;120,22
92,58340267;20,34;28,49;25;74;120,22
106,5795721;20,34;28,49;25;74;120,22
121,8373401;20,34;28,49;25;74;120,22
126,637803;20,34;28,49;25;74;120,22
128,3302293;20,34;28,49;25;74;120,22
122,5623999;20,34;28,49;25;74;120,22
110,1577922;20,34;28,49;25;74;120,22
102,8762102;20,34;28,49;25;74;120,22
96,06620989;20,34;28,49;25;74;120,22
86,76892965;20,34;28,49;25;74;120,22
85,29091761;20,34;28,49;25;74;120,22
88,22254415;20,34;28,49;25;74;120,22
83,50640517;20,34;28,49;25;74;120,22
79,89790603;20,34;28,49;25;74;120,22
88,42975163;20,34;28,49;25;74;120,22
101,9937854;20,34;28,49;25;74;120,22
113,8922104;20,34;28,49;25;74;120,22
118,8202699;20,34;28,49;25;74;120,22
130,8252837;20,34;28,49;25;74;120,22
135,0762251;20,34;28,49;25;74;120,22
132,3091407;20,34;28,49;25;74;120,22
133,0317128;20,34;28,49;25;74;120,22
130,5479086;20,34;28,49;25;74;120,22
125,0152016;20,34;28,49;25;74;120,22
119,6378216;20,34;28,49;25;74;120,22
121,6063796;20,34;28,49;25;74;120,22
127,0401285;20,34;28,49;25;74;120,22
136,3295352;20,34;28,49;25;74;120,22
138,0189431;20,34;28,49;25;74;120,22
125,3189676;20,34;28,49;25;74;120,22
118,2014021;20,34;28,49;25;74;120,22
112,5620992;20,34;28,49;25;74;120,22
102,4205683;20,34;28,49;25;74;120,22
94,19139681;20,34;28,49;25;74;120,22
91,90759023;20,34;28,49;25;74;120,22
93,5437588;20,34;28,49;25;74;120,22
91,87791864;20,34;28,49;25;74;120,22
90,74750546;20,34;28,49;25;74;120,22
88,17185311;20,34;28,49;25;74;120,22
98,21332859;20,34;28,49;25;74;120,22
109,5465318;20,34;28,49;25;74;120,22
120,2489279;20,34;28,49;25;74;120,22
