"1138,5253136748108"
"1085,4479850641383"
"1026,8690680864095"
"995,9243751515545"
"1000,5557883974004"
"1110,1633559705542"
"1174,8874532356676"
"1208,108339961841"
"1309,8638592373977"
"1449,3939234206596"
"1565,9029815713234"
"1636,7239212031068"
"1654,4395543990845"
"1574,1270296108555"
"1432,6503369590064"
"1333,0013472532887"
"1315,3841739334193"
"1411,9192208469058"
"1552,5480438631962"
"1658,679566408363"
"1565,7277200929366"
"1419,1271585489717"
"1309,0762744915555"
"1164,9421859523466"
"1150,2273330190446"
"1095,231163923267"
"1035,3031827899863"
"1019,0054288729899"
"1023,5329761605786"
"1150,7351874541978"
"1181,6092970275104"
"1207,571600336942"
"1306,423305014017"
"1450,5501208327883"
"1561,2404473440893"
"1629,965426125908"
"1646,6870474959696"
"1566,2346174508698"
"1423,2088350852323"
"1342,1987833411945"
"1321,4934178291246"
"1430,0403317791115"
"1580,476213694899"
"1683,3038590098513"
"1582,2753057523046"
"1441,1105107819335"
"1337,6183269181006"
"1190,121080626101"
"1180,8427980744532"
"1140,8592874505412"
"1103,638342087456"
"1093,8514773512418"
"1141,8401691531726"
"1322,1155980995259"
"1544,1148782113123"
"1754,4390428589481"
"2058,6897553635695"
"2191,7440845119877"
"2189,7592538037848"
"2219,957087083757"
"2192,3407753667084"
"2059,790536154422"
"1938,0596870876748"
"1946,585233151924"
"1992,4234735027098"
"2075,3101915455554"
"2101,1846176841104"
"1960,0476253699458"
"1736,6437067267684"
"1576,3009368535882"
"1451,7841533104452"
"1298,9778778170944"
"1210,7298945157538"
"1166,2622972697768"
"1128,8740348960446"
"1116,3666801319528"
"1163,6617854764977"
"1359,1215241444547"
"1569,4138203496368"
"1759,5696815246615"
"2066,362282461911"
"2199,3429416617364"
"2198,431720512934"
"2238,551385723387"
"2209,1225941695143"
"2074,122911542964"
"1948,679247820071"
"1962,9360706177795"
"2002,2609453803952"
"2089,743136570384"
"2117,429549820269"
"1984,4913902192015"
"1762,964359621733"
"1612,1361291760272"
"1491,6997675579087"
"1329,129673834855"
"1219,0019819641893"
"1174,5280838652382"
"1137,2878857343362"
"1125,0878868614732"
"1173,2104018229807"
"1372,0611593528597"
"1583,6409310934"
"1774,0333585252383"
"2081,281759374201"
"2214,0772825204167"
"2212,7626850904157"
"2252,8957693300977"
"2222,842564257394"
"2086,923701767929"
"1961,3610043538042"
"1975,6436587543758"
"2014,487872207534"
"2102,2924610316727"
"2129,8665205774105"
"1996,4748825396082"
"1774,0313255661204"
"1622,9858852484208"
"1501,922516549117"
"1337,6869919927954"
"1132,3566010207564"
"1095,1135031453346"
"1058,6721757238006"
"1046,0487046683472"
"1093,1317494132354"
"1255,439188019519"
"1467,518214721987"
"1677,4969122884759"
"1977,8218367853387"
"2108,0827091751876"
"2108,763639669641"
"2136,6798781239986"
"2112,441128387271"
"1988,7604712853008"
"1864,8081903116886"
"1878,062933913126"
"1929,263310897854"
"2011,2801219771727"
"2042,2775952406187"
"1905,1806607449134"
"1687,5974012804545"
"1528,662546385443"
"1402,3093448480604"
"1256,0418204969787"
"1100,5472765540453"
"1063,891929561758"
"1024,590374696231"
"1010,363705378535"
"1057,6364753434193"
"1207,2615070778916"
"1414,0912527227406"
"1620,1425621324993"
"1919,014306048472"
"2042,6819496360613"
"2042,3007014040313"
"2072,9030481073287"
"2049,99111775555"
"1926,318095989664"
"1802,228762188956"
"1815,8048628065085"
"1868,3304848375074"
"1953,8806625236302"
"1986,3778299522814"
"1859,5053184394037"
"1648,0407211757183"
"1491,7651532579398"
"1365,4856334446145"
"1225,0297660295787"
"1102,5723645181329"
"1087,6549177204745"
"1008,605785480388"
"983,2023158905836"
"988,7481654364816"
"1082,2503790399282"
"1171,0648489149157"
"1351,6514715526491"
"1685,6925297816429"
"1852,4590166541548"
"1898,4783803903942"
"1928,018274134285"
"1922,0020415691947"
"1807,7585484857218"
"1564,2734444115304"
"1404,2032826691466"
"1383,7988267493724"
"1529,7563568850537"
"1644,6669885482816"
"1664,3131439451813"
"1510,4458721288024"
"1332,6622464231732"
"1247,9079532060127"
"1145,9088198840948"
"1075,7700281277275"
"1031,592787802721"
"966,1834320752912"
"937,5379034660174"
"946,9437970561314"
"1056,1443115578286"
"1075,101206030732"
"1100,0197151978973"
"1194,8012307845947"
"1339,3484698300736"
"1447,533027985513"
"1524,131671707683"
"1548,1011930720006"
"1463,7835406636068"
"1327,57571873726"
"1244,684117492184"
"1224,7682774196994"
