;Electricity_2045;CO2_2045;Oil_2045;Gas_2045;Biomass_2045;Hydrogen_2045;Synthetic_fuel_2045;Hard_coal_2045;Brown_coal_2045
0;107,4101;0,1515;26,262;12,4355;35,6;100;190;10000000;10000000
1;106,084;0,1515;26,262;12,4355;35,6;100;190;10000000;10000000
2;107,4101;0,1515;26,2619;12,4355;35,6;100;190;10000000;10000000
3;108,1345;0,1515;26,2619;12,4355;35,6;100;190;10000000;10000000
4;130,5069;0,1515;26,2619;12,4355;35,6;100;190;10000000;10000000
5;118,7664;0,1515;26,2619;12,4355;35,6;100;190;10000000;10000000
6;130,5069;0,1515;26,2619;12,4355;35,6;100;190;10000000;10000000
7;106,084;0,1515;26,2619;12,4355;35,6;100;190;10000000;10000000
8;130,5069;0,1515;26,2618;12,4355;35,6;100;190;10000000;10000000
9;130,5069;0,1515;26,2618;12,4355;35,6;100;190;10000000;10000000
10;130,6247;0,1515;26,2618;12,4355;35,6;100;190;10000000;10000000
11;130,6247;0,1515;26,2618;12,4355;35,6;100;190;10000000;10000000
12;130,6247;0,1515;26,2618;12,4355;35,6;100;190;10000000;10000000
13;130,6247;0,1515;26,2618;12,4355;35,6;100;190;10000000;10000000
14;133,5451;0,1515;26,2617;12,4355;35,6;100;190;10000000;10000000
15;133,5451;0,1515;26,2617;12,4355;35,6;100;190;10000000;10000000
16;136,1812;0,1515;26,2617;12,4355;35,6;100;190;10000000;10000000
17;139,0021;0,1515;26,2617;12,4355;35,6;100;190;10000000;10000000
18;139,0145;0,1515;26,2617;12,4355;35,6;100;190;10000000;10000000
19;142,3712;0,1515;26,2617;12,4355;35,6;100;190;10000000;10000000
20;142,3712;0,1515;26,2616;12,4355;35,6;100;190;10000000;10000000
21;136,1812;0,1515;26,2616;12,4356;35,6;100;190;10000000;10000000
22;136,1812;0,1515;26,2616;12,4356;35,6;100;190;10000000;10000000
23;137,519;0,1515;26,2616;12,4356;35,6;100;190;10000000;10000000
24;137,544;0,1515;26,2616;12,4356;35,6;100;190;10000000;10000000
25;139,0193;0,1515;26,2616;12,4356;35,6;100;190;10000000;10000000
26;139,0193;0,1515;26,2615;12,4356;35,6;100;190;10000000;10000000
27;140,4152;0,1515;26,2615;12,4356;35,6;100;190;10000000;10000000
28;130,6292;0,1515;26,2615;12,4356;35,6;100;190;10000000;10000000
29;142,3761;0,1515;26,2615;12,4356;35,6;100;190;10000000;10000000
30;142,8133;0,1515;26,2615;12,4356;35,6;100;190;10000000;10000000
31;142,8151;0,1515;26,2615;12,4356;35,6;100;190;10000000;10000000
32;142,3761;0,1515;26,2615;12,4356;35,6;100;190;10000000;10000000
33;142,3761;0,1515;26,2614;12,4356;35,6;100;190;10000000;10000000
34;142,2454;0,1515;26,2614;12,4356;35,6;100;190;10000000;10000000
35;142,3761;0,1515;26,2614;12,4356;35,6;100;190;10000000;10000000
36;142,3761;0,1515;26,2614;12,4356;35,6;100;190;10000000;10000000
37;142,3761;0,1515;26,2614;12,4356;35,6;100;190;10000000;10000000
38;141,8746;0,1515;26,2614;12,4356;35,6;100;190;10000000;10000000
39;142,8133;0,1515;26,2613;12,4356;35,6;100;190;10000000;10000000
40;142,8151;0,1515;26,2613;12,4356;35,6;100;190;10000000;10000000
41;146,0773;0,1515;26,2613;12,4356;35,6;100;190;10000000;10000000
42;142,8133;0,1515;26,2613;12,4357;35,6;100;190;10000000;10000000
43;139,0069;0,1515;26,2613;12,4357;35,6;100;190;10000000;10000000
44;142,3761;0,1515;26,2613;12,4357;35,6;100;190;10000000;10000000
45;142,3761;0,1515;26,2612;12,4357;35,6;100;190;10000000;10000000
46;131,2708;0,1515;26,2612;12,4357;35,6;100;190;10000000;10000000
47;130,5114;0,1515;26,2612;12,4357;35,6;100;190;10000000;10000000
48;111,3654;0,1515;26,2612;12,4357;35,6;100;190;10000000;10000000
49;111,3485;0,1515;26,2612;12,4357;35,6;100;190;10000000;10000000
50;100,5473;0,1515;26,2612;12,4357;35,6;100;190;10000000;10000000
51;98,8997;0,1515;26,2611;12,4357;35,6;100;190;10000000;10000000
52;100,0731;0,1515;26,2611;12,4357;35,6;100;190;10000000;10000000
53;109,3556;0,1515;26,2611;12,4357;35,6;100;190;10000000;10000000
54;130,5159;0,1515;26,2611;12,4357;35,6;100;190;10000000;10000000
55;134,7769;0,1515;26,2611;12,4357;35,6;100;190;10000000;10000000
56;100,0731;0,1515;26,2611;12,4357;35,6;100;190;10000000;10000000
57;86,405;0,1515;26,261;12,4357;35,6;100;190;10000000;10000000
58;86,0389;0,1515;26,261;12,4357;35,6;100;190;10000000;10000000
59;86,8899;0,1515;26,261;12,4357;35,6;100;190;10000000;10000000
60;86,7709;0,1515;26,261;12,4357;35,6;100;190;10000000;10000000
61;87,0473;0,1515;26,261;12,4357;35,6;100;190;10000000;10000000
62;88,1994;0,1515;26,261;12,4357;35,6;100;190;10000000;10000000
63;112,2589;0,1515;26,2609;12,4357;35,6;100;190;10000000;10000000
64;125,0951;0,1515;26,2609;12,4358;35,6;100;190;10000000;10000000
65;127,6399;0,1515;26,2609;12,4358;35,6;100;190;10000000;10000000
66;127,6399;0,1515;26,2609;12,4358;35,6;100;190;10000000;10000000
67;125,0951;0,1515;26,2609;12,4358;35,6;100;190;10000000;10000000
68;117,5835;0,1515;26,2609;12,4358;35,6;100;190;10000000;10000000
69;116,7231;0,1515;26,2608;12,4358;35,6;100;190;10000000;10000000
70;96,1891;0,1515;26,2608;12,4358;35,6;100;190;10000000;10000000
71;96,0721;0,1515;26,2608;12,4358;35,6;100;190;10000000;10000000
72;96,1924;0,1515;26,2608;12,4358;35,6;100;190;10000000;10000000
73;98,3577;0,1515;26,2608;12,4358;35,6;100;190;10000000;10000000
74;96,0754;0,1515;26,2608;12,4358;35,6;100;190;10000000;10000000
75;94,3023;0,1515;26,2607;12,4358;35,6;100;190;10000000;10000000
76;96,0754;0,1515;26,2607;12,4358;35,6;100;190;10000000;10000000
