;Electricity_2025;Electricity_2025;Electricity_2030;Electricity_2035;Electricity_2040;Electricity_2045;Electricity_2050;CO2_2020;CO2_2025;CO2_2030;CO2_2035;CO2_2040;CO2_2045;CO2_2050;Oil_2020;Oil_2025;Oil_2030;Oil_2035;Oil_2040;Oil_2045;Oil_2050;Gas_2020;Gas_2025;Gas_2030;Gas_2035;Gas_2040;Gas_2045;Gas_2050;Biomass_2020;Biomass_2025;Biomass_2030;Biomass_2035;Biomass_2040;Biomass_2045;Biomass_2050;Hydrogen_2020;Hydrogen_2025;Hydrogen_2030;Hydrogen_2035;Hydrogen_2040;Hydrogen_2045;Hydrogen_2050;Synthetic_fuel_2020;Synthetic_fuel_2025;Synthetic_fuel_2030;Synthetic_fuel_2035;Synthetic_fuel_2040;Synthetic_fuel_2045;Synthetic_fuel_2050;Hard_coal_2020;Hard_coal_2025;Hard_coal_2030;Hard_coal_2035;Hard_coal_2040;Hard_coal_2045;Hard_coal_2050;Brown_coal_2020;Brown_coal_2025;Brown_coal_2030;Brown_coal_2035;Brown_coal_2040;Brown_coal_2045;Brown_coal_2050
0;105,41;113,86;95,5;108,6;116,07;154,85;156,11;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
1;104,574;113,85;95,5;111,31;118,95;154,64;160,23;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
2;103,712;113,73;97,09;108,92;121,54;157,33;163,82;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
3;104,592;113,85;98,05;109,74;128,18;157,33;160,14;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
4;104,582;113,88;107,6;112,86;131,82;157,33;160,37;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
5;104,996;114,8;104,21;119,84;128,18;157,64;163,82;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
6;105,506;114,65;102,91;114,38;128,18;157,64;160,37;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
7;106,1;115,72;112,73;118,19;128,18;157,64;163,82;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
8;107,102;116,41;110,54;120,51;134,53;160;162,95;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
9;108,724;117,29;110,54;126,69;141,92;162,87;160,12;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
10;109,736;118,16;115,06;128,53;144,9;165,21;160,28;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
11;111,122;119,76;114,52;126,97;145,72;157,64;162,95;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
12;111,16;119,9;124,34;125,78;141,92;161,71;163,6;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
13;113,706;121,68;125,59;133,79;151,28;161,71;161,55;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
14;114,362;122,03;130,31;133,91;151,14;162,87;160,37;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
15;120,024;126,71;140,31;135,45;149,01;163,18;160,14;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
16;129,134;134,77;142,8;148,66;154,6;163,18;162,95;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
17;135,076;139,83;144,85;151,4;157,84;162,87;163,6;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
18;135,258;139,64;146,31;151,47;162,1;165,42;161,55;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
19;119,522;126,76;148,35;151,22;162,05;167,66;162,95;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
20;122,788;129,59;144,35;151,66;157,69;166,43;163,6;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
21;117,746;125,78;144,84;151,53;156,81;168,45;165,95;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
22;117,412;125,11;144,35;151,66;157,84;171,63;163,6;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
23;116,904;125,11;148,94;151,66;157,69;168,45;166,14;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
24;122,788;129,59;144,85;151,66;156,82;171,63;163,6;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168;38,6;35,1;23,08;22,56;22,56;20,2;17,6;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
