;Electricity_2020;CO2_2020;Oil_2020;Gas_2020;Electricity_2025;CO2_2025;Oil_2025;Gas_2025;Electricity_2030;CO2_2030;Oil_2030;Gas_2030;Electricity_2035;CO2_2035;Oil_2035;Gas_2035;Electricity_2040;CO2_2040;Oil_2040;Gas_2040;Electricity_2045;CO2_2045;Oil_2045;Gas_2045;Electricity_2050;CO2_2050;Oil_2050;Gas_2050;Biomass_2020;Biomass_2025;Biomass_2030;Biomass_2035;Biomass_2040;Biomass_2045;Biomass_2050;Hydrogen_2020;Hydrogen_2025;Hydrogen_2030;Hydrogen_2035;Hydrogen_2040;Hydrogen_2045;Hydrogen_2050;Synthetic_fuel_2020;Synthetic_fuel_2025;Synthetic_fuel_2030;Synthetic_fuel_2035;Synthetic_fuel_2040;Synthetic_fuel_2045;Synthetic_fuel_2050;Hard_coal_2020;Hard_coal_2025;Hard_coal_2030;Hard_coal_2035;Hard_coal_2040;Hard_coal_2045;Hard_coal_2050;Brown_coal_2020;Brown_coal_2025;Brown_coal_2030;Brown_coal_2035;Brown_coal_2040;Brown_coal_2045;Brown_coal_2050
0;105,41;0,0587;34,95285046;38,6;113,86;0,07674;35,31227233;35,1;80,088;0,086;28,8517;22,8933;122,8686;0,1261;33,0738;25,6079;143,5828;0,1407;31,6659;25,6245;162,705;0,1511;30,3474;26,7609;183,6651;0,1612;29,0981;27,8967;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
1;104,574;0,0587;34,95285046;38,6;113,85;0,07674;35,31227233;35,1;79,2745;0,086;28,8517;22,8941;122,8686;0,1261;33,0739;25,6079;141,6225;0,1407;31,6659;25,6245;168,7759;0,1511;30,3474;26,7609;183,6651;0,1612;29,0981;27,8968;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
2;103,712;0,0587;34,95285046;38,6;113,73;0,07674;35,31227233;35,1;79,6002;0,086;28,8518;22,8949;122,8686;0,1261;33,074;25,6079;143,5828;0,1407;31,6658;25,6245;162,705;0,1511;30,3474;26,761;183,7878;0,1612;29,098;27,8968;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
3;104,592;0,0587;34,95285046;38,6;113,85;0,07674;35,31227233;35,1;79,099;0,086;28,8519;22,8957;114,1306;0,1261;33,0741;25,6079;143,5828;0,1407;31,6658;25,6245;174,004;0,1511;30,3474;26,761;183,6651;0,1612;29,098;27,8968;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
4;104,582;0,0587;34,95285046;38,6;113,88;0,07674;35,31227233;35,1;79,099;0,086;28,8519;22,8966;122,8686;0,1261;33,0742;25,6079;143,5828;0,1407;31,6657;25,6246;174,004;0,1511;30,3473;26,761;183,7878;0,1612;29,098;27,8968;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
5;104,996;0,0587;34,95285046;38,6;114,8;0,07674;35,31227233;35,1;79,6002;0,086;28,852;22,8974;122,8686;0,1261;33,0743;25,6078;143,5828;0,1407;31,6657;25,6246;168,7759;0,1511;30,3473;26,761;183,6651;0,1612;29,098;27,8969;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
6;105,506;0,0587;34,95285046;38,6;114,65;0,07674;35,31227233;35,1;79,6002;0,086;28,852;22,8982;122,8686;0,1261;33,0744;25,6078;143,5828;0,1407;31,6656;25,6246;167,0647;0,1511;30,3473;26,7611;183,6651;0,1612;29,0979;27,8969;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
7;106,1;0,0587;34,95285046;38,6;115,72;0,07674;35,31227233;35,1;79,6002;0,086;28,8521;22,8991;115,9886;0,1261;33,0745;25,6078;146,4986;0,1407;31,6656;25,6246;174,004;0,1511;30,3472;26,7611;183,6651;0,1612;29,0979;27,8969;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
8;107,102;0,0587;34,95285046;38,6;116,41;0,07674;35,31227233;35,1;80,088;0,086;28,8522;22,8999;122,8686;0,1261;33,0746;25,6078;146,4986;0,1407;31,6656;25,6247;174,004;0,1511;30,3472;26,7611;183,6651;0,1612;29,0979;27,8969;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
9;108,724;0,0587;34,95285046;38,6;117,29;0,07674;35,31227233;35,1;80,3212;0,086;28,8522;22,9007;122,8686;0,1261;33,0747;25,6078;153,551;0,1407;31,6655;25,6247;174,004;0,1511;30,3472;26,7611;184,5516;0,1612;29,0979;27,897;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
