index;car_2020;car_2025;car_2030;car_2035;car_2040;car_2045;car_2050;bus_2020;bus_2025;bus_2030;bus_2035;bus_2040;bus_2045;bus_2050;train_2020;train_2025;train_2030;train_2035;train_2040;train_2045;train_2050
0;0,015368573;0,008096079;0,009851405;0,010586185;0,009926156;0,016639208;0,034985286;0;0;0;0;0;0;0;0,000913883;0,000859442;0,000767619;0,001100059;0,001706503;0,001571823;0,000828883
1;0,025845137;0,014593109;0,014364935;0,019053688;0,017045137;0,028386295;0,050078623;0;0;0;0;0;0;0;0,001212738;0,003877876;0,001432006;0,004057179;0,001991379;0,002603761;0,002171636
2;0,033130426;0,020171131;0,015949276;0,0161464;0,015778269;0,025581431;0,044181049;0;0;0;0;0;0;0;0,000862462;0,003020079;0,002360018;0,002390327;0,001641162;0,001955789;0,002413999
3;0,027069791;0,018804241;0,015621337;0,01309844;0,016930436;0,025753062;0,045267762;0;0;0;0;0;0;0;0,00275683;0,001346769;0,003185148;0,003148143;0,002238009;0,002744187;0,002599496
4;0,019506325;0,01668858;0,015833349;0,019252146;0,016827143;0,022487188;0,05064257;0,000390629;0;0;0;0;0,000379849;0,000379849;0,000829472;0,0001574;0,001848822;0,001931759;0,002658751;0,004543247;0,002129401
5;0,066966746;0,019680848;0,014767885;0,019389812;0,018170176;0,071695176;0,053693609;0,030029806;0;0;0;0;0,027423327;0,027423327;0,031360274;0,003779364;0,004357921;0,007182234;0,005407672;0,043087743;0,005182742
6;0,1646338;0,028677577;0,02687279;0,030940124;0,027135782;0,160413763;0,014733778;0,102341023;0,003954196;0,00306745;0,005084256;0,004149073;0,102702244;0,102702244;0,109310128;0,042785701;0,034400401;0,038646314;0,038785086;0,130224977;0,037972805
7;0,195670162;0,0601054;0,059876261;0,05852831;0,053537212;0,20545741;0,006248571;0,156432346;0,057194631;0,048332809;0,050073986;0,052128736;0,165900385;0,165900385;0,151521839;0,07349528;0,085996109;0,092784636;0,087235646;0,165620094;0,090982619
8;0,197663553;0,081402432;0,088255798;0,09560056;0,097452046;0,199099534;0,040321377;0,194314617;0,128199845;0,114342658;0,12337924;0,126406101;0,190989466;0,190989466;0,176533953;0,099662807;0,110393196;0,126389184;0,120815372;0,173513347;0,120402918
9;0,132984075;0,132788258;0,112312808;0,125389524;0,128905432;0,143958322;0,10706682;0,192539145;0,15006855;0,136277599;0,141753002;0,148051044;0,210690066;0,210690066;0,174924332;0,125398794;0,120992531;0,14015701;0,133912486;0,17758309;0,135467059
10;0,103197932;0,162060359;0,156788204;0,178510134;0,159603211;0,116084416;0,125030886;0,19672004;0,144351185;0,148479558;0,140664101;0,148946072;0,201383776;0,201383776;0,178650087;0,135223329;0,127184183;0,148221528;0,14079851;0,180322934;0,143338128
11;0,124429077;0,166392573;0,173344739;0,187313331;0,178521064;0,130085022;0,150888684;0,198339746;0,145564947;0,147998372;0,150387311;0,155897572;0,207302522;0,207302522;0,178101835;0,139714668;0,133366678;0,148412463;0,142503982;0,190083778;0,14499744
12;0,120708639;0,178174665;0,159953256;0,168225802;0,175834958;0,135072216;0,164137951;0,198693393;0,149149092;0,138303197;0,1515872;0,155263139;0,224971458;0,224971458;0,183707824;0,135194616;0,135131219;0,143750358;0,138017603;0,192279469;0,141265011
13;0,112597661;0,179928073;0,17496929;0,181010246;0,163778289;0,119764521;0,145880029;0,192213816;0,159830756;0,144818924;0,149247773;0,158082762;0,22300421;0,22300421;0,188683364;0,138510846;0,132476204;0,145664362;0,137345909;0,18639537;0,141937603
14;0,155298284;0,176336605;0,155917814;0,167869168;0,165732662;0,162256209;0,151479138;0,187441753;0,152455141;0,144342451;0,16376364;0,154610011;0,221251549;0,221251549;0,184025411;0,141687544;0,134845408;0,139929578;0,136483483;0,179070852;0,139419385
15;0,224769915;0,186310902;0,160312465;0,183628015;0,183029737;0,245799116;0,162094504;0,210753436;0,149930054;0,146797909;0,164815489;0,150396716;0,221882773;0,221882773;0,177750609;0,149731368;0,136325243;0,135317836;0,135715789;0,180701139;0,142386819
16;0,268283651;0,177743135;0,168917466;0,179697393;0,180878799;0,279998;0,156180794;0,217403741;0,160115171;0,14344901;0,153577992;0,150325622;0,218990182;0,218990182;0,182236413;0,132578224;0,136809402;0,138283194;0,134421833;0,188321947;0,138808201
17;0,277880811;0,19613403;0,175123264;0,176348933;0,173108633;0,249047776;0,159833356;0,219061152;0,15283961;0,151341063;0,164433066;0,137517041;0,218893697;0,218893697;0,180313804;0,131226182;0,129963166;0,134005416;0,1321235;0,178408951;0,134832727
18;0,16736042;0,151028333;0,164328901;0,155720326;0,147491944;0,152629526;0,22209988;0,220358824;0,144112745;0,141981099;0,153399536;0,140453624;0,207795858;0,207795858;0,182553051;0,1296819;0,123073672;0,126588402;0,130575578;0,181355229;0,128824721
19;0,073225162;0,115943818;0,115418274;0,117049345;0,127431597;0,089101818;0,180396793;0,196244228;0,10777837;0,115525648;0,112900181;0,102642598;0,189465073;0,189465073;0,169563185;0,110770368;0,109859575;0,114921435;0,118988402;0,186162028;0,114354734
20;0,060051597;0,079891023;0,068744462;0,07123603;0,079429764;0,052682073;0,148955449;0,126932259;0,019674643;0,019917398;0,017610577;0,018304322;0,126620214;0,126620214;0,163172366;0,080876451;0,069600414;0,081976698;0,081846425;0,168532738;0,075666796
21;0,053488408;0,06602231;0,062040978;0,062898469;0,063944844;0,055258459;0,130201065;0,023174267;0;0;0;0;0,02395136;0,02395136;0,140373872;0,016646946;0,016010215;0,018354865;0,017563201;0,149534987;0,017154436
22;0,045266812;0,06412042;0,062921941;0,060436053;0,063613709;0,049948025;0,1614102;0;0;0;0;0;0;0;0,070541359;0,006595981;0,004901429;0,006478445;0,003426264;0,081156311;0,004446048
23;0,033905495;0,041958946;0,03786456;0,038233512;0,040715776;0,033265906;0,135945132;0;0;0;0;0;0;0;0,011970083;0,003979483;0,002863474;0,004167883;0,003156808;0,009065953;0,003864217
24;0,016771927;0,017902515;0,01354344;0,016478872;0,017645955;0,00592385;0,03822014;0;0;0;0;0;0;0;4,49E-10;0,000567864;0,000635546;0,001130026;0,000900378;0,003940187;0,001075256
25;0,032788793;0,026625417;0,030698375;0,033556459;0,028702705;0,014133061;0,057172283;0;0;0;0;0;0;0;0,001363927;0,000437887;0,00138105;0,001699222;0,001370927;0,008346773;0,001197047
26;0,02878289;0,031207197;0,028073896;0,032350139;0,028698817;0,014008924;0,047972004;0;0;0;0;0;0;0;0,000948778;0,000588211;0,00129945;0,001410831;0,001009967;0,004449837;0,001432338
27;0,028327884;0,029572738;0,024137431;0,025546756;0,024708995;0,015869723;0,04985492;0;0;0;0;0;0;0;0,000534538;0,001034527;0,001276463;0,001403672;0,001592528;0,002162236;0,001914493
28;0,022662677;0,022409052;0,02236928;0,024857226;0,017594757;0,013624722;0,038471265;0,000107929;0,000264019;0,00028412;0,000498514;0,000107237;0;0;0,004058109;0,001407243;0,002537329;0,002610012;0,002423946;0,002585981;0,002715839
29;0,070464947;0,07030712;0,074109369;0,076151758;0,072968767;0,01765546;0,084544358;0,02565167;0,02312809;0,024379063;0,025896445;0,023746773;0,004856129;0,004856129;0,04347587;0,043373979;0,043121581;0,045892832;0,044511981;0,009863214;0,045563595
30;0,162071212;0,169468333;0,164044734;0,169005912;0,169081966;0,031719228;0,050644623;0,102936068;0,110717259;0,094792398;0,100362281;0,104328313;0,061850424;0,061850424;0,114320327;0,130544006;0,129618975;0,133897785;0,131643287;0,056582928;0,135322934
31;0,204256872;0,217727873;0,200305505;0,214122804;0,202496853;0,060301401;0,043965465;0,161892189;0,177366748;0,163841049;0,169713135;0,167066759;0,140641413;0,140641413;0,163567257;0,171418483;0,166857228;0,173166981;0,172233039;0,132107961;0,174695447
