;PV_rooftop_middle;PV_rooftop_north;PV_rooftop_swest;PV_rooftop_east;PV_openfield_middle;PV_openfield_north;PV_openfield_swest;PV_openfield_east;Solarthermal;Wind_east;Wind_swest;Wind_north;Wind_middle;Hydro_power
0;0;0;0;0;0;0;0;0;0;0,03417525;0,065541;0,03417525;0,010715725;0,8
1;0;0;0;0;0;0;0;0;0;0,02629525;0,038689;0,03337725;0,012131;0,8
2;0;0;0;0;0;0;0;0;0;0,012131;0,01959675;0,012131;0,002469958;0,8
3;0;0;0;0;0;0;0;0;0;0,02673775;0,03786275;0,02673775;0,0108305;0,8
4;0;0;0;0;0;0;0;0;0;0,02142625;0,038689;0,038689;0,012131;0,8
5;0;0;0;0;0;0;0;0;0;0,038689;0,038689;0,038689;0,012131;0,8
6;0;0;0;0;0;0;0;0;0;0,02319675;0,034705;0,02585225;0,012131;0,8
7;0;0;0;0;0;0;0;0;0;0,038689;0,07005475;0,04939925;0,028951;0,8
8;0;0;0;0;0;0;0;0;0;0,04633925;0,066833;0,050607;0,02462475;0,8
9;0,075171536;0,020438331;0,019772958;0,078477142;0,06233255;0,019958775;0,01925825;0,06341;0;0,1743525;0,2704625;0,2231075;0,1440795;0,8
10;0,045370275;0,048720138;0,043988384;0,042747596;0,039318;0,0481045;0,04328;0,0381505;0;0,148595;0,21313;0,1995375;0,1147815;0,8
11;0,125250497;0,083127509;0,068641374;0,108940863;0,1232395;0,08203425;0,06803325;0,1067115;0,000109847;0,08684425;0,15705;0,15705;0,08459;0,8
12;0,206898355;0,075677965;0,06487639;0,240009557;0,193835;0,0748865;0,0643825;0,22631975;5,75E-05;0,154795;0,2471225;0,206335;0,134103;0,8
13;0,195200562;0,065322572;0,04394745;0,205555954;0,17999325;0,06497225;0,0434795;0,1879645;1,07E-05;0,2192525;0,33743;0,25902;0,1825425;0,8
14;0,340782118;0,069351703;0,025051496;0,321205934;0,306085;0,06802225;0,02461425;0,2877;0;0,1665675;0,254195;0,2267275;0,16328;0,8
15;0,057902644;0,032538002;0,008038516;0,056431421;0,050074;0,031575975;0,007753075;0,04885475;0;0,32141;0,49937;0,410055;0,3183725;0,8
16;0,000132179;7,78E-05;7,84E-05;0,000107505;0,000103188;7,57E-05;6,70E-05;8,49E-05;0;0,206335;0,32023;0,2814225;0,1876375;0,8
17;0;0;0;0;0;0;0;0;0;0,2301275;0,33295;0,25902;0,1774425;0,8
18;0;0;0;0;0;0;0;0;0;0,15705;0,1927375;0,175745;0,1147815;0,8
19;0;0;0;0;0;0;0;0;0;0,15705;0,15705;0,15705;0,08459;0,8
20;0;0;0;0;0;0;0;0;0;0,1497225;0,1568075;0,15536;0,1328955;0,8
21;0;0;0;0;0;0;0;0;0;0,06478;0,0717445;0,067598;0,0497465;0,8
22;0;0;0;0;0;0;0;0;0;0,0355905;0,02629525;0,03337725;0,012308;0,8
23;0;0;0;0;0;0;0;0;0;0,012131;0,012131;0,012131;0,012131;0,8
24;0;0;0;0;0;0;0;0;0;0,0209835;0,0214935;0,019213;0,01443275;0,8
25;0;0;0;0;0;0;0;0;0;0,10976625;0,13814;0,10877375;0,08731525;0,8
26;0;0;0;0;0;0;0;0;0;0,2703425;0,3531125;0,323055;0,28235;0,8
27;0;0;0;0;0;0;0;0;0;0,25902;0,3710375;0,350875;0,2769425;0,8
28;0;0;0;0;0;0;0;0;0;0,352215;0,5322325;0,454755;0,39344;0,8
29;0;0;0;0;0;0;0;0;0;0,262155;0,38553;0,297105;0,2769425;0,8
30;0;0;0;0;0;0;0;0;0;0,2752425;0,3732775;0,315025;0,32555;0,8
31;0;0;0;0;0;0;0;0;0;0,1186705;0,13370025;0,13200025;0,118635;0,8
32;0;0;0;0;0;0;0;0;0;0,1027035;0,1159875;0,10995;0,08459;0,8
33;0,010929892;0,013596563;0,013136486;0,01401898;0,0104263;0,013125125;0,0126037;0,013554575;0;0,08459;0,08459;0,08459;0,08459;0,8
34;0,026022119;0,036077728;0,032535233;0,029331048;0,02541175;0,03541125;0,03178275;0,02874125;0;0,099082;0,10995025;0,10391275;0,08459;0,8
35;0,031995142;0,054812112;0,044245066;0,034481775;0,03149425;0,0542555;0,043579;0,03401025;0;0,07846975;0,07923475;0,07846975;0,05327525;0,8
36;0,038430963;0,060035799;0,035181991;0,04035439;0,037936;0,05954875;0,03463425;0,03987275;0;0,131688;0,1738625;0,143316;0,1243915;0,8
37;0,046071695;0,051207734;0,030753873;0,048038463;0,04562675;0,05075475;0,03016475;0,047609;0;0,202935;0,25732;0,24395;0,175745;0,8
38;0,030802994;0,035982375;0,022961203;0,031163696;0,03046575;0,0355635;0,0224395;0,03083825;0;0,1068105;0,13437075;0,1176775;0,097873;0,8
39;0,01032474;0,013189629;0,008734036;0,009625367;0,01007175;0,012918725;0,00840545;0,0093817;0;0,151735;0,15705;0,1701625;0,143765;0,8
40;7,15E-05;7,49E-05;0,000116244;4,08E-05;6,40E-05;7,08E-05;0,00010315;3,56E-05;0;0,112365;0,11461925;0,1147815;0,09425;0,8
41;0;0;0;0;0;0;0;0;0;0,107533;0,14634;0,107533;0,084284;0,8
