;PV_openfield_north;PV_openfield_east;PV_openfield_middle;PV_openfield_swest;PV_rooftop_north;PV_rooftop_east;PV_rooftop_middle;PV_rooftop_swest;Wind_north;Wind_east;Wind_middle;Wind_swest;PV_openfield_north_scaled;PV_openfield_east_scaled;PV_openfield_middle_scaled;PV_openfield_swest_scaled;PV_rooftop_north_scaled;PV_rooftop_east_scaled;PV_rooftop_middle_scaled;PV_rooftop_swest_scaled;Wind_north_scaled;Wind_east_scaled;Wind_middle_scaled;Wind_swest_scaled;Solarthermal;Hydro_power
0;0;0;0;0;0;0;0;0;0,084598214;0,114217679;0,088922321;0,032379464;0;0;0;0;0;0;0;0;0,080385882;0,108835021;0,086144308;0,033211211;0;0,8
1;0;0;0;0;0;0;0;0;0,119016964;0,103443929;0,0910275;0,038696607;0;0;0;0;0;0;0;0;0,113090847;0,098568998;0,088183719;0,039690625;0;0,8
2;0;0;0;0;0;0;0;0;0,139484286;0,102398929;0,103280714;0,054183929;0;0;0;0;0;0;0;0;0,132539055;0,097573245;0,100054132;0,055575777;0;0,8
3;0;0;0;0;0;0;0;0;0,143501071;0,109456964;0,114461429;0,076037143;0;0;0;0;0;0;0;0;0,136355836;0,104298662;0,110885551;0,077990345;0;0,8
4;0;0;0;0;0;0;0;0;0,139230893;0,108195714;0,107915;0,089060893;0;0;0;0;0;0;0;0;0,132298279;0,10309685;0,104543638;0,091348642;0;0,8
5;0;0;0;0;0;0;0;0;0,1275175;0,097467857;0,091691429;0,089970714;0;0;0;0;0;0;0;0;0,121168122;0,092874557;0,088826906;0,092281834;0;0,8
6;0;0;0;0;0;0;0;0;0,133061964;0,089702321;0,084918036;0,086593571;0;0;0;0;0;0;0;0;0,126436515;0,085474982;0,08226512;0,088817941;0;0,8
7;0;0;0;0,0032;0;0;0;0,0022;0,147420714;0,090254821;0,082044821;0,076806964;0;0;0;0,002597188;0;0;0;0,001942476;0,140080311;0,086001445;0,079481667;0,078779941;0;0,8
8;0,0631;0,0506;0,0709;0,1068;0,0537;0,0438;0,0603;0,0895;0,121132679;0,080957857;0,067475536;0,057188214;0,052652243;0,040700154;0,057106855;0,08668115;0,048750072;0,03836702;0,052877674;0,079023436;0,115101215;0,077142612;0,065367539;0,058657235;0;0,8
9;0,1811;0,1624;0,2075;0,3707;0,1538;0,1391;0,1757;0,3084;0,110451786;0,077304821;0,061331786;0,047074821;0,151114441;0,130626583;0,167132192;0,300867999;0,139623112;0,121845948;0,154073089;0,272299749;0,104952147;0,073661731;0,059415726;0,048284055;0;0,8
10;0,23;0,2308;0,2598;0,4637;0,1961;0,1973;0,2208;0,3875;0,103234286;0,076487143;0,061159286;0,044741964;0,191917843;0,185644183;0,209257559;0,376348776;0,178024007;0,172826783;0,19362173;0,342140573;0,098094023;0,072882586;0,059248615;0,045891272;0;0,8
11;0,2491;0,251;0,2793;0,4763;0,2124;0,2143;0,2374;0,3986;0,097803393;0,07340375;0,061174107;0,051613393;0,207855369;0,20189207;0,224963958;0,386575204;0,192821515;0,187718092;0,208178437;0,351941245;0,092933546;0,069944502;0,059262973;0,05293921;0,000109847;0,8
12;0,1482;0,2127;0,2394;0,4392;0,1281;0,1816;0,2034;0,3665;0,100698393;0,069386964;0,059391786;0,061149821;0,123661845;0,171085432;0,19282625;0,356464055;0,116292072;0,159074221;0,178363496;0,323598762;0,095684397;0,066117013;0,057536333;0,062720606;5,75E-05;0,8
13;0,0749;0,127;0,1247;0,2848;0,0651;0,1084;0,1065;0,2367;0,101232321;0,064272857;0,055922857;0,066377321;0,062498463;0,102152561;0,100440407;0,231149733;0,05909925;0,094953995;0,093390916;0,208992706;0,096191741;0,061243915;0,054175777;0,068082387;1,07E-05;0,8
14;0,0129;0,0236;0,0264;0,0771;0,0111;0,02;0,0224;0,0636;0,102469107;0,057904107;0,047639464;0,067416607;0,010764088;0,018982681;0,021264048;0,062575999;0,010076831;0,017519187;0,019642784;0,056155201;0,097366944;0,0551753;0,046151165;0,069148369;0;0,8
15;0;0;0;0;0;0;0;0;0,124112143;0,064964643;0,054485;0,06154;0;0;0;0;0;0;0;0;0,117932325;0,061903099;0,05278284;0,063120807;0;0,8
16;0;0;0;0;0;0;0;0;0,132396607;0,074954286;0,0691375;0,047770893;0;0;0;0;0;0;0;0;0,125804288;0,071421967;0,066977582;0,048998006;0;0,8
