Erfurt/Binderslebn
 50,98         10,97         315           1 

 y, m, dm, h,G_Gh,G_Dh,G_Gk,G_Dk,G_Bn, Ta, FF, DD
 2005, 1, 1, 1,0,0,0,0,0,4.3,1.9,263
 2005, 1, 1, 2,0,0,0,0,0,4.0,1.4,252
 2005, 1, 1, 3,0,0,0,0,0,3.6,1.1,249
 2005, 1, 1, 4,0,0,0,0,0,3.5,1.5,265
 2005, 1, 1, 5,0,0,0,0,0,3.3,1.5,263
 2005, 1, 1, 6,0,0,0,0,0,3.1,1.7,252
 2005, 1, 1, 7,0,0,0,0,0,2.9,1.4,276
 2005, 1, 1, 8,0,0,0,0,0,2.8,2.1,237
 2005, 1, 1, 9,1,1,1,1,0,2.8,1.7,259
 2005, 1, 1, 10,51,45,51,45,48,3.9,3.5,298
 2005, 1, 1, 11,82,80,82,80,10,4.7,2.7,185
 2005, 1, 1, 12,120,108,120,108,44,5.3,2.7,271
 2005, 1, 1, 13,142,119,142,119,83,6.0,2.9,235
 2005, 1, 1, 14,122,101,122,101,82,6.2,3.5,193
 2005, 1, 1, 15,112,72,112,72,218,6.3,2.9,190
 2005, 1, 1, 16,36,31,36,31,63,5.9,4.1,266
 2005, 1, 1, 17,0,0,0,0,0,5.2,2.9,171
 2005, 1, 1, 18,0,0,0,0,0,5.0,3.5,245
 2005, 1, 1, 19,0,0,0,0,0,4.9,2.7,187
 2005, 1, 1, 20,0,0,0,0,0,4.7,2.7,236
 2005, 1, 1, 21,0,0,0,0,0,4.6,2.9,249
 2005, 1, 1, 22,0,0,0,0,0,4.4,2.0,210
 2005, 1, 1, 23,0,0,0,0,0,4.2,1.5,265
 2005, 1, 1, 24,0,0,0,0,0,4.0,1.4,216
 2005, 1, 2, 1,0,0,0,0,0,3.9,1.5,247
 2005, 1, 2, 2,0,0,0,0,0,3.8,2.7,220
 2005, 1, 2, 3,0,0,0,0,0,3.8,3.9,235
 2005, 1, 2, 4,0,0,0,0,0,3.8,3.5,155
 2005, 1, 2, 5,0,0,0,0,0,3.8,4.4,187
 2005, 1, 2, 6,0,0,0,0,0,3.8,3.5,170
 2005, 1, 2, 7,0,0,0,0,0,3.8,3.9,232
 2005, 1, 2, 8,0,0,0,0,0,3.8,2.3,164
 2005, 1, 2, 9,1,1,1,1,0,3.9,2.6,264
 2005, 1, 2, 10,49,46,49,46,27,5.1,2.4,271
 2005, 1, 2, 11,102,87,102,87,69,6.3,2.7,237
 2005, 1, 2, 12,139,114,139,114,96,7.4,2.0,256
 2005, 1, 2, 13,153,127,153,127,93,8.1,2.9,266
 2005, 1, 2, 14,134,108,134,108,104,8.5,3.5,241
 2005, 1, 2, 15,85,72,85,72,68,8.4,2.4,240
 2005, 1, 2, 16,40,31,40,31,104,7.9,3.2,247
 2005, 1, 2, 17,0,0,0,0,0,7.2,2.4,246
 2005, 1, 2, 18,0,0,0,0,0,6.9,2.7,276
 2005, 1, 2, 19,0,0,0,0,0,6.7,1.7,242
 2005, 1, 2, 20,0,0,0,0,0,6.4,1.4,258
 2005, 1, 2, 21,0,0,0,0,0,6.1,1.1,243
 2005, 1, 2, 22,0,0,0,0,0,5.9,0.8,245
 2005, 1, 2, 23,0,0,0,0,0,5.6,0.5,267
 2005, 1, 2, 24,0,0,0,0,0,5.3,0.3,323
 2005, 1, 3, 1,0,0,0,0,0,4.9,0.2,299
 2005, 1, 3, 2,0,0,0,0,0,4.6,0.2,305
