Gera-Leumnitz
 50,8821       12,13         312           1 

 y, m, dm, h,G_Gh,G_Dh,G_Gk,G_Dk,G_Bn, Ta, FF, DD
 2005, 1, 1, 1,0,0,0,0,0,3.6,2.5,218
 2005, 1, 1, 2,0,0,0,0,0,3.5,1.9,252
 2005, 1, 1, 3,0,0,0,0,0,3.2,1.7,249
 2005, 1, 1, 4,0,0,0,0,0,3.1,2.1,265
 2005, 1, 1, 5,0,0,0,0,0,3.0,1.9,263
 2005, 1, 1, 6,0,0,0,0,0,2.8,2.3,252
 2005, 1, 1, 7,0,0,0,0,0,2.7,1.8,276
 2005, 1, 1, 8,0,0,0,0,0,2.7,2.6,237
 2005, 1, 1, 9,3,3,3,3,0,2.8,2.2,214
 2005, 1, 1, 10,40,40,40,40,0,3.5,3.9,298
 2005, 1, 1, 11,73,73,73,73,0,4.1,3.2,185
 2005, 1, 1, 12,110,106,110,106,15,4.8,3.0,271
 2005, 1, 1, 13,122,115,122,115,23,5.2,3.4,235
 2005, 1, 1, 14,92,90,92,90,8,5.4,3.9,148
 2005, 1, 1, 15,21,21,21,21,0,4.9,3.4,190
 2005, 1, 1, 16,5,5,5,5,0,4.4,4.6,266
 2005, 1, 1, 17,0,0,0,0,0,4.0,3.7,126
 2005, 1, 1, 18,0,0,0,0,0,3.9,3.9,245
 2005, 1, 1, 19,0,0,0,0,0,3.7,3.2,187
 2005, 1, 1, 20,0,0,0,0,0,3.5,3.2,236
 2005, 1, 1, 21,0,0,0,0,0,3.3,3.4,249
 2005, 1, 1, 22,0,0,0,0,0,3.1,2.6,210
 2005, 1, 1, 23,0,0,0,0,0,2.9,2.1,265
 2005, 1, 1, 24,0,0,0,0,0,2.7,1.8,216
 2005, 1, 2, 1,0,0,0,0,0,2.5,1.9,247
 2005, 1, 2, 2,0,0,0,0,0,2.3,3.2,220
 2005, 1, 2, 3,0,0,0,0,0,2.1,4.4,235
 2005, 1, 2, 4,0,0,0,0,0,2.0,3.9,110
 2005, 1, 2, 5,0,0,0,0,0,1.9,4.8,187
 2005, 1, 2, 6,0,0,0,0,0,1.8,3.9,125
 2005, 1, 2, 7,0,0,0,0,0,1.7,4.4,187
 2005, 1, 2, 8,0,0,0,0,0,1.7,2.8,164
 2005, 1, 2, 9,2,2,2,2,0,1.8,3.2,219
 2005, 1, 2, 10,63,50,63,50,99,3.3,2.8,226
 2005, 1, 2, 11,71,71,71,71,0,3.9,3.2,192
 2005, 1, 2, 12,74,74,74,74,0,4.3,2.6,256
 2005, 1, 2, 13,147,113,147,113,124,5.3,3.4,266
 2005, 1, 2, 14,76,76,76,76,0,5.3,3.9,241
 2005, 1, 2, 15,108,77,108,77,170,5.6,2.8,195
 2005, 1, 2, 16,57,39,57,39,221,5.4,3.7,202
 2005, 1, 2, 17,0,0,0,0,0,4.7,3.0,246
 2005, 1, 2, 18,0,0,0,0,0,4.3,3.2,231
 2005, 1, 2, 19,0,0,0,0,0,3.9,2.3,242
 2005, 1, 2, 20,0,0,0,0,0,3.5,1.8,258
 2005, 1, 2, 21,0,0,0,0,0,3.0,1.5,243
 2005, 1, 2, 22,0,0,0,0,0,2.6,1.2,290
 2005, 1, 2, 23,0,0,0,0,0,2.2,0.8,267
 2005, 1, 2, 24,0,0,0,0,0,1.8,0.5,323
 2005, 1, 3, 1,0,0,0,0,0,1.4,0.3,299
 2005, 1, 3, 2,0,0,0,0,0,0.9,0.3,305
 2005, 1, 3, 3,0,0,0,0,0,0.4,0.6,302
 2005, 1, 3, 4,0,0,0,0,0,0.1,0.4,306
 2005, 1, 3, 5,0,0,0,0,0,-0.1,0.5,309
