Hildburghausen_ESM
 50,426        10,7089       420           1 

 y, m, dm, h,G_Gh,G_Dh,G_Gk,G_Dk,G_Bn, Ta, FF, DD
 2005, 1, 1, 1,0,0,0,0,0,3.6,2.7,263
 2005, 1, 1, 2,0,0,0,0,0,3.8,2.4,252
 2005, 1, 1, 3,0,0,0,0,0,3.6,2.1,249
 2005, 1, 1, 4,0,0,0,0,0,3.4,2.4,265
 2005, 1, 1, 5,0,0,0,0,0,3.3,2.4,263
 2005, 1, 1, 6,0,0,0,0,0,3.1,2.6,252
 2005, 1, 1, 7,0,0,0,0,0,3.1,2.3,276
 2005, 1, 1, 8,0,0,0,0,0,3.0,2.8,237
 2005, 1, 1, 9,1,1,1,1,0,3.0,2.6,259
 2005, 1, 1, 10,21,21,21,21,0,3.4,3.9,298
 2005, 1, 1, 11,38,38,38,38,0,3.7,3.5,230
 2005, 1, 1, 12,52,52,52,52,0,4.0,3.4,271
 2005, 1, 1, 13,64,64,64,64,0,4.3,3.7,280
 2005, 1, 1, 14,54,54,54,54,0,4.4,4.1,193
 2005, 1, 1, 15,36,36,36,36,0,4.3,3.7,235
 2005, 1, 1, 16,15,15,15,15,0,4.1,4.8,266
 2005, 1, 1, 17,0,0,0,0,0,3.8,3.9,126
 2005, 1, 1, 18,0,0,0,0,0,3.6,4.3,245
 2005, 1, 1, 19,0,0,0,0,0,3.4,3.7,232
 2005, 1, 1, 20,0,0,0,0,0,3.4,3.7,281
 2005, 1, 1, 21,0,0,0,0,0,3.1,3.9,294
 2005, 1, 1, 22,0,0,0,0,0,3.0,3.1,255
 2005, 1, 1, 23,0,0,0,0,0,2.9,2.6,265
 2005, 1, 1, 24,0,0,0,0,0,2.8,2.4,216
 2005, 1, 2, 1,0,0,0,0,0,2.7,2.5,247
 2005, 1, 2, 2,0,0,0,0,0,2.7,3.7,220
 2005, 1, 2, 3,0,0,0,0,0,2.6,4.8,280
 2005, 1, 2, 4,0,0,0,0,0,2.6,4.3,200
 2005, 1, 2, 5,0,0,0,0,0,2.6,5.3,232
 2005, 1, 2, 6,0,0,0,0,0,2.6,4.5,80
 2005, 1, 2, 7,0,0,0,0,0,2.6,5.0,232
 2005, 1, 2, 8,0,0,0,0,0,2.6,3.4,209
 2005, 1, 2, 9,1,1,1,1,0,2.7,3.7,264
 2005, 1, 2, 10,51,47,51,47,35,4.2,3.5,271
 2005, 1, 2, 11,82,80,82,80,5,5.2,3.9,237
 2005, 1, 2, 12,117,112,117,112,21,6.3,3.2,301
 2005, 1, 2, 13,139,121,139,121,61,7.1,4.1,266
 2005, 1, 2, 14,121,105,121,105,61,7.5,4.5,286
 2005, 1, 2, 15,113,77,113,77,185,7.8,3.5,240
 2005, 1, 2, 16,39,34,39,34,48,7.2,4.3,247
 2005, 1, 2, 17,0,0,0,0,0,6.4,3.7,246
 2005, 1, 2, 18,0,0,0,0,0,6.2,3.9,276
 2005, 1, 2, 19,0,0,0,0,0,6.0,3.0,287
 2005, 1, 2, 20,0,0,0,0,0,5.8,2.5,258
 2005, 1, 2, 21,0,0,0,0,0,5.6,2.2,243
 2005, 1, 2, 22,0,0,0,0,0,5.4,1.8,245
 2005, 1, 2, 23,0,0,0,0,0,5.2,1.4,222
 2005, 1, 2, 24,0,0,0,0,0,5.0,0.8,278
 2005, 1, 3, 1,0,0,0,0,0,4.7,0.6,299
 2005, 1, 3, 2,0,0,0,0,0,4.4,0.5,305
 2005, 1, 3, 3,0,0,0,0,0,4.0,0.9,302
 2005, 1, 3, 4,0,0,0,0,0,3.9,0.6,306
 2005, 1, 3, 5,0,0,0,0,0,3.7,0.7,309
 2005, 1, 3, 6,0,0,0,0,0,3.5,0.5,306
 2005, 1, 3, 7,0,0,0,0,0,3.4,0.7,308
 2005, 1, 3, 8,0,0,0,0,0,3.3,0.9,255
 2005, 1, 3, 9,2,2,2,2,0,3.4,1.0,261
 2005, 1, 3, 10,48,46,48,46,15,4.3,1.2,237
 2005, 1, 3, 11,66,66,66,66,0,4.8,1.9,238
 2005, 1, 3, 12,89,89,89,89,0,5.3,2.0,250
 2005, 1, 3, 13,108,106,108,106,7,5.8,2.3,270
 2005, 1, 3, 14,62,62,62,62,0,5.7,2.1,239
 2005, 1, 3, 15,40,40,40,40,0,5.5,1.6,280
 2005, 1, 3, 16,21,21,21,21,0,5.2,2.0,249
 2005, 1, 3, 17,0,0,0,0,0,4.8,2.8,277
 2005, 1, 3, 18,0,0,0,0,0,4.5,4.1,249
 2005, 1, 3, 19,0,0,0,0,0,4.1,3.9,75
 2005, 1, 3, 20,0,0,0,0,0,3.8,3.2,67
 2005, 1, 3, 21,0,0,0,0,0,3.5,3.2,239
 2005, 1, 3, 22,0,0,0,0,0,3.2,3.7,223
 2005, 1, 3, 23,0,0,0,0,0,2.8,3.5,220
 2005, 1, 3, 24,0,0,0,0,0,2.4,3.7,205
 2005, 1, 4, 1,0,0,0,0,0,2.2,3.5,233
 2005, 1, 4, 2,0,0,0,0,0,1.9,3.5,240
 2005, 1, 4, 3,0,0,0,0,0,1.6,4.1,212
 2005, 1, 4, 4,0,0,0,0,0,1.5,4.8,198
 2005, 1, 4, 5,0,0,0,0,0,1.3,5.9,77
 2005, 1, 4, 6,0,0,0,0,0,1.1,4.5,65
 2005, 1, 4, 7,0,0,0,0,0,1.0,3.4,213
 2005, 1, 4, 8,0,0,0,0,0,0.9,3.1,281
 2005, 1, 4, 9,2,2,2,2,0,1.0,3.2,273
 2005, 1, 4, 10,47,47,47,47,2,2.1,2.7,261
 2005, 1, 4, 11,95,87,95,87,35,3.2,3.0,274
 2005, 1, 4, 12,129,117,129,117,44,4.2,2.6,261
 2005, 1, 4, 13,142,126,142,126,53,4.9,3.4,262
 2005, 1, 4, 14,126,110,126,110,59,5.2,2.6,303
 2005, 1, 4, 15,82,78,82,78,18,5.1,2.3,257
 2005, 1, 4, 16,42,36,42,36,55,4.6,2.2,269
 2005, 1, 4, 17,1,1,1,1,0,3.8,2.4,267
 2005, 1, 4, 18,0,0,0,0,0,3.7,2.7,227
 2005, 1, 4, 19,0,0,0,0,0,3.5,2.8,265
 2005, 1, 4, 20,0,0,0,0,0,3.3,3.1,245
 2005, 1, 4, 21,0,0,0,0,0,3.2,2.5,259
 2005, 1, 4, 22,0,0,0,0,0,3.0,3.0,272
 2005, 1, 4, 23,0,0,0,0,0,2.9,2.8,277
 2005, 1, 4, 24,0,0,0,0,0,2.7,2.8,256
 2005, 1, 5, 1,0,0,0,0,0,1.6,4.1,244
 2005, 1, 5, 2,0,0,0,0,0,2.3,4.8,219
 2005, 1, 5, 3,0,0,0,0,0,2.2,4.1,52
 2005, 1, 5, 4,0,0,0,0,0,2.1,3.5,231
 2005, 1, 5, 5,0,0,0,0,0,1.9,5.0,285
 2005, 1, 5, 6,0,0,0,0,0,2.2,4.3,133
 2005, 1, 5, 7,0,0,0,0,0,2.3,5.3,235
