Nordhausen
 51,4745       10,7693       221           1 

 y, m, dm, h,G_Gh,G_Dh,G_Gk,G_Dk,G_Bn, Ta, FF, DD
 2005, 1, 1, 1,0,0,0,0,0,3.3,2.2,263
 2005, 1, 1, 2,0,0,0,0,0,3.0,1.6,252
 2005, 1, 1, 3,0,0,0,0,0,2.7,1.3,249
 2005, 1, 1, 4,0,0,0,0,0,2.5,1.6,265
 2005, 1, 1, 5,0,0,0,0,0,2.3,1.6,263
 2005, 1, 1, 6,0,0,0,0,0,2.2,1.9,252
 2005, 1, 1, 7,0,0,0,0,0,2.1,1.6,276
 2005, 1, 1, 8,0,0,0,0,0,2.0,2.3,237
 2005, 1, 1, 9,1,1,1,1,0,2.0,2.0,259
 2005, 1, 1, 10,48,42,48,42,50,3.1,3.5,298
 2005, 1, 1, 11,82,79,82,79,15,4.1,2.9,185
 2005, 1, 1, 12,118,105,118,105,51,5.0,2.9,271
 2005, 1, 1, 13,138,115,138,115,86,5.7,3.3,235
 2005, 1, 1, 14,119,102,119,102,71,6.1,3.5,193
 2005, 1, 1, 15,103,64,103,64,221,6.2,3.1,190
 2005, 1, 1, 16,34,31,34,31,40,5.6,4.2,266
 2005, 1, 1, 17,0,0,0,0,0,4.9,3.3,171
 2005, 1, 1, 18,0,0,0,0,0,4.6,3.8,245
 2005, 1, 1, 19,0,0,0,0,0,4.3,2.9,187
 2005, 1, 1, 20,0,0,0,0,0,3.9,3.1,236
 2005, 1, 1, 21,0,0,0,0,0,3.6,3.1,249
 2005, 1, 1, 22,0,0,0,0,0,3.3,2.3,210
 2005, 1, 1, 23,0,0,0,0,0,3.0,1.7,265
 2005, 1, 1, 24,0,0,0,0,0,2.7,1.6,216
 2005, 1, 2, 1,0,0,0,0,0,2.4,1.6,247
 2005, 1, 2, 2,0,0,0,0,0,2.0,2.9,220
 2005, 1, 2, 3,0,0,0,0,0,1.8,4.0,235
 2005, 1, 2, 4,0,0,0,0,0,1.7,3.8,155
 2005, 1, 2, 5,0,0,0,0,0,1.5,4.5,187
 2005, 1, 2, 6,0,0,0,0,0,1.4,3.5,170
 2005, 1, 2, 7,0,0,0,0,0,1.3,4.2,232
 2005, 1, 2, 8,0,0,0,0,0,1.2,2.5,164
 2005, 1, 2, 9,1,1,1,1,0,1.3,2.9,264
 2005, 1, 2, 10,39,39,39,39,0,2.2,2.5,271
 2005, 1, 2, 11,68,68,68,68,0,3.0,2.9,237
 2005, 1, 2, 12,97,96,97,96,7,3.8,2.3,256
