;north;swest;east;middle;summe
Leistungen;------------------------------------------------------------------;------------------------------------------------------------------;------------------------------------------------------------------;------------------------------------------------------------------;------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
PV_Dach;227,8633;214,8234;302,3012;238,8212;983,8091
PV_Feld;213,2818;1194,8790660681832;234,8263;193,4952;1836,4823660681832
Wind;1210,0;900,0;1820,0;1640,0;5570,0
Wasser;0,6375;6,248;20,85995;4,1345;31,879950000000004
Biogas_el;13,400705669936174;25,3754424696481;19,011220436892533;26,05502184068806;83,84239041716486
Biomasse_Strom;0,0;0,0;0,0;0,0;0,0
Brennstoffzelle;0,0;127,57206428075017;0,0;0,0;127,57206428075017
GuD;35,91395121849747;8,01403362716951;81,17319820404933;54,53513109326533;179,63631414298163
Solarthermie;0,0;0,0;0,0;0,0;0,0
Biomasse_Waerme;0,0;0,0;0,0;0,0;0,0
WP_Fluss;0,0;0,0;0,0;0,0;0,0
WP_Abwaerme;0,0;0,0;0,0;0,0;0,0
Heizstab;0,0;7,651376046790044;0,0;0,0;7,651376046790044
Elektrolyse;308,0;308,26782847843333;308,0;308,0;1232,2678284784333
Wasserstoffeinspeisung;0,0;0,0;0,0;0,0;0,0
B2G_Best.;14,981257521200302;25,802597904690572;25,183191703310037;21,614584426614805;87,5816315558157
B2G_Neu;0,0;0,0;0,0;0,0;0,0
Methanisierung;0,0;0,0;0,0;0,0;0,0
PtL;0,0;0,0;0,0;0,0;0,0
Speicherkapazitäten;------------------------------------------------------------------;------------------------------------------------------------------;------------------------------------------------------------------;------------------------------------------------------------------;------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Natriumspeicher;1120,0673722789902;1250,0;1250,0;1250,0;4870,067372278991
Waermespeicher;41509,96068625413;84428,63974855767;61296,78027477274;76136,21490330866;263371,59561289323
Pumpspeicher;0,0;2340,0;139,6;0,0;2479,6
Erdgasspeicher;4566,440323445238;8285,203517364567;7167,353861907756;7128,237712919869;27147,23541563743
Wasserstoffspeicher;0,0;271452,09077872295;0,0;0,0;271452,09077872295
Emissionen;------------------------------------------------------------------;------------------------------------------------------------------;------------------------------------------------------------------;------------------------------------------------------------------;------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Gasemissionen;341438,3296000071;434927,60819041793;643959,0659229683;567576,6375030909;1987901,6412164844
Oelemissionen;702122,946218343;851360,1477761988;1272613,5645249626;1350629,1994324645;4176725,857951969
Stromemissionen;250219,85444293375;169982,80676583792;345057,3587122426;477264,1305317703;1242524,1504527845
Steinkohleemissionen;0,0;0,0;0,0;0,0;0,0
Braunkohleemissionen;0,0;0,0;0,0;0,0;0,0
Summe aller Emissionen;1293781,1302612838;1456270,5627324546;2261629,9891601736;2395469,9674673257;7407151,649621237
Energiemengen;------------------------------------------------------------------;------------------------------------------------------------------;------------------------------------------------------------------;------------------------------------------------------------------;------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Stromimport;1155109,6595094346;784705,0446211703;1592915,5143211272;2203232,0678227786;5735962,28627451
Stromexport;936468,6722641092;428506,37804076227;2002637,1252453076;1187474,9777679034;4555087,153318083
