;Leistung
Leistungen;------------------------------------------------------------------
PV_Dach;0,0
PV_Feld;4480,227535222178
Wind;5570,0
Wasser;31,0
Biogas_el;120,82130151843818
Biomasse_Strom;4,058092442072831
Brennstoffzelle;0,0
GuD;346,7053097112099
Solarthermie;0,0
Biomasse_Waerme;0,0
WP_Fluss;0,0
WP_Abwaerme;0,0
Heizstab;1168,7101121615058
Elektrolyse;308,0
Wasserstoffeinspeisung;0,0
B2G_Best.;0,0
B2G_Neu;0,0
Methanisierung;0,0
PtL;0,0
Speicherkapazitäten;------------------------------------------------------------------
Natriumspeicher;1712,227468159527
Waermespeicher;104410,02516743986
Pumpspeicher;2304,0
Erdgasspeicher;0,0
Wasserstoffspeicher;0,0
Emissionen;------------------------------------------------------------------
Gasemissionen;2304868,073063083
Oelemissionen;517035,8656065218
Stromemissionen;735296,346770837
Steinkohleemissionen;179039,56651297177
Braunkohleemissionen;0,0
Summe aller Emissionen;3736239,8519534133
Kosten [Mio. €];------------------------------------------------------------------
Annuität;1203,6620614885267
OPEX;245,23377114896908
Im-Export;250,8451421425518
Netz;37,62742552238588
Gesamtkosten;1737,3684003024332
Energiemengen;------------------------------------------------------------------
Stromimport;3394406,549583773
Stromexport;6275465,848595982
