;Leistung
Leistungen;------------------------------------------------------------------
PV_Dach;0,0
PV_Feld;4627,330768263002
Wind;5570,0
Wasser;31,0
Biogas_el;120,82130151843818
Biomasse_Strom;0,0
Brennstoffzelle;0,0
GuD;362,89690407449893
Solarthermie;0,0
Biomasse_Waerme;0,0
WP_Fluss;0,0
WP_Abwaerme;0,0
Heizstab;1180,4133052782993
Elektrolyse;308,0
Wasserstoffeinspeisung;0,0
B2G_Best.;0,0
B2G_Neu;0,0
Methanisierung;0,0
PtL;0,0
Speicherkapazitäten;------------------------------------------------------------------
Natriumspeicher;1743,7114484419549
Waermespeicher;82261,7402370093
Pumpspeicher;2304,0
Erdgasspeicher;0,0
Wasserstoffspeicher;0,0
Emissionen;------------------------------------------------------------------
Gasemissionen;2322400,5168722416
Oelemissionen;3231268,069374341
Stromemissionen;724939,1526784326
Steinkohleemissionen;139229,35500884787
Braunkohleemissionen;0,0
Summe aller Emissionen;6417837,093933864
Kosten [Mio. €];------------------------------------------------------------------
Annuität;1213,7173625542232
OPEX;248,256559705206
Im-Export;762,3919726520529
Netz;37,70845693401001
Gesamtkosten;2262,074351845492
Energiemengen;------------------------------------------------------------------
Stromimport;3346593,817184159
Stromexport;6307357,925180684
