;Scenario 001;Scenario 002;Scenario 003;Scenario 004;Scenario 005;Scenario 006;Scenario 007;Scenario 008;Scenario 009;Scenario 010;Scenario 011;Scenario 012;Scenario 013;Scenario ref
Capital costs;1235,261678463154;1219,2722942442902;1269,886264224937;1269,886264224937;1270,4291972399603;1269,890065656618;1269,8900656566184;1269,890065656618;1258,6105587673571;1258,6105587673596;1258,6105587673594;1258,6105587672948;1246,179586722386;1396,6650813385295
Operating costs;254,35080702637165;249,15474818281754;253,88605327184393;253,88605327184393;253,90983636146322;254,04739213479255;254,04739213479266;254,04739213479255;251,50343664781764;251,50343664781832;251,50343664781826;251,5034366478008;251,50343664779984;330,686893937922
Import cost;1533,6916302330922;1477,0594433771016;1429,1171096049463;1430,5285336836068;1434,1637390484425;1429,6354368793388;1429,5478124831347;1429,4707625307547;1433,3376741366935;1433,4210296587396;1433,4825238541289;1433,4392438630414;1433,2690780104103;184,3068943421212
Export cost;872,7365801022454;741,3916135162425;677,7659093176221;677,7236066626558;681,6069057869837;679,1035140209286;679,1596188101666;679,2582411946887;677,1972261382048;677,2393303349259;676,7760014461694;677,167420151469;676,9158597476666;2807,7476363299957
Grid usage cost;93,32218343226917;111,82370692221512;80,42398254288072;80,42398254288065;82,75362333872;80,59723203389058;80,59723203389052;80,59723203389058;80,95390706104496;80,9539070610446;80,95390706104467;80,95390706105326;80,95390706105374;0,2553607315978059
Grid yearly cost;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,40968;0,0
Total cost;2243,8897190526413;2315,9185792101816;2355,5475003269858;2357,001227060613;2359,6494902016025;2355,0666126837114;2354,9228834982696;2354,747211161367;2347,2083504747084;2347,249601800036;2347,774424884182;2347,339726187721;2336,399828693983;-895,8334059798251
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Emission; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Electricity;318851,23281537334;382090,47353217244;274723,66210662306;274723,66210662277;282681,5800135696;275315,4723244639;275315,4723244637;275315,4723244639;276533,8535404101;276533,85354040895;276533,8535404091;276533,85354043846;276533,8535404401;872,297455617433
Gas;2479635,525142197;2301472,8040699484;2425395,452053524;2425395,4520535246;2425282,8692075443;2429302,65215969;2429302,65215969;2429302,65215969;2426251,686707165;2426251,686707165;2426251,686707165;2426251,686707165;2426251,686707165;21204,73992172247
Oil;3231705,400003643;3231705,400003643;3231705,400003643;3231705,400003643;3231705,400003643;3231693,2390145734;3231693,2390145734;3231693,2390145734;3231693,2390145734;3231693,2390145734;3231693,2390145734;3231693,2390145734;3231693,2390145734;61017,40593097782
Hard coal;140182,77356088426;140182,77356088426;140182,77356088426;207456,13989651622;207456,13989651622;180125,84052896878;180125,84052896878;180125,84052896878;180125,84052896878;180125,84052896878;180125,84052896878;180125,84052896878;180125,84052896878;180125,84052896878
Brown coal;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total Emission;6170374,931522097;6055451,4511666475;6072007,287724675;6139280,654060306;6147125,989121273;6116437,204027696;6116437,204027696;6116437,204027696;6114604,6197911175;6114604,619791117;6114604,619791117;6114604,619791145;6114604,619791147;263220,2838372865
