;Scenario 014;Scenario 015;Scenario ref
Capital costs;1828,9527859240357;1829,956764699857;1892,946983335965
Operating costs;375,25901922489805;375,3848303383636;483,277740785419
Import cost;1759,2867485401455;1759,0246130831963;260,3293117711271
Export cost;1330,0346181705079;1330,533496792406;3646,350724901252
Grid usage cost;87,66483342844036;87,34888697299299;56,33308538387899
Grid yearly cost;1,40968;1,40968;0,0
Total cost;2722,5384489470116;2722,5912783020044;-953,4636036248621
 ; ; ; 
Emission; ; ; 
Electricity;66462,12879533604;66221,69116335823;872,297455617433
Gas;2322968,3539351;2322978,191830546;21204,73992172247
Oil;3231693,2390145734;3231693,2390145734;61017,40593097782
Hard coal;180125,84052896878;180125,84052896878;180125,84052896878
Brown coal;0,0;0,0;0,0
Total Emission;5801249,562273978;5801018,962537447;263220,2838372865
