;Scenario 016;Scenario ref
Capital costs;1270,5113722721273;1270,5113722721273
Operating costs;269,09560925184104;269,09560925184104
Import cost;1817,0989828480049;1817,0989828480049
Export cost;796,4486011530819;796,4486011530819
Grid usage cost;169,4827974920355;169,4827974920355
Grid yearly cost;20,108690587819883;20,108690587819883
Total cost;2749,848851298747;2749,848851298747
 ; ; 
Emission; ; 
Electricity;131415,08141075697;131415,08141075697
Gas;2332618,527267601;2332618,527267601
Oil;3231693,2390145734;3231693,2390145734
Hard coal;180125,84052896878;180125,84052896878
Brown coal;0,0;0,0
Total Emission;5875852,6882219;5875852,6882219
