;0
(('Batterie', 'Strom'), 'flow');1005626,343804561
(('Biogas', 'Strom'), 'flow');1058273,7800000003
(('Biomasse_Strom', 'Strom'), 'flow');0,0
(('GuD', 'Strom'), 'flow');1274892,394951812
(('Import_Strom', 'Strom'), 'flow');3825496,098014682
(('PV_Aufdach_Erfurt', 'Strom'), 'flow');0,0
(('PV_Aufdach_Gera', 'Strom'), 'flow');0,0
(('PV_Aufdach_Hildburghausen', 'Strom'), 'flow');0,0
(('PV_Aufdach_Nordhausen', 'Strom'), 'flow');0,0
(('PV_Freifeld_Erfurt', 'Strom'), 'flow');0,0
(('PV_Freifeld_Gera', 'Strom'), 'flow');0,0
(('PV_Freifeld_Hildburghausen', 'Strom'), 'flow');0,0
(('PV_Freifeld_Nordhausen', 'Strom'), 'flow');0,0
(('Pumpspeicherkraftwerk', 'Strom'), 'flow');457497,7391072673
(('Strom', 'Batterie'), 'flow');1117362,6042272898
(('Strom', 'Elektrodenheizkessel'), 'flow');273865,7617127316
(('Strom', 'Elektrolyse'), 'flow');2305263,9524431527
(('Strom', 'Export_Strom'), 'flow');8959438,479559535
(('Strom', 'Last_Strom_ges'), 'flow');12510601,717206296
(('Strom', 'Pumpspeicherkraftwerk'), 'flow');571872,1738840841
(('Strom', 'Waermepumpe_Abwaerme'), 'flow');86532,7870774728
(('Strom', 'Waermepumpe_Fluss'), 'flow');0,0
(('Strom', 'excess_b_el2'), 'flow');0,0
(('Wasserkraft', 'Strom'), 'flow');195292,55999999997
(('Wind_Erfurt', 'Strom'), 'flow');4135193,389204371
(('Wind_Gera', 'Strom'), 'flow');6152761,81271366
(('Wind_Hildburghausen', 'Strom'), 'flow');4350534,334967213
(('Wind_Nordhausen', 'Strom'), 'flow');3369369,023346994
(('brezel', 'Strom'), 'flow');0,0
(('Biogaseinspeisung_Bestandsanlagen', 'Gas'), 'flow');0,0
(('Biogaseinspeisung_Neuanlagen', 'Gas'), 'flow');0,0
(('Erdgasspeicher', 'Gas'), 'flow');0,0
(('Gas', 'Erdgasspeicher'), 'flow');0,0
(('Gas', 'GuD'), 'flow');2833094,2110040253
(('Gas', 'Last_Gas_ges'), 'flow');9406267,51334278
(('Gas', 'Materialbedarf_Gas'), 'flow');27777,77777777777
(('Gas', 'excess_b_gas2'), 'flow');0,0
(('Import_Gas', 'Gas'), 'flow');12267139,502124581
(('Methanisierung', 'Gas'), 'flow');0,0
(('Wasserstoffeinspeisung', 'Gas'), 'flow');0,0
(('Import_Oel', 'Oel_Kraftstoffe'), 'flow');12149231,404666185
(('Import_Synt', 'Oel_Kraftstoffe'), 'flow');0,0
(('Oel_Kraftstoffe', 'Last_Oel_ges'), 'flow');2512033,3370333333
(('Oel_Kraftstoffe', 'Last_Verkehr_ges'), 'flow');8498309,178743958
(('Oel_Kraftstoffe', 'Materialbedarf_Oel'), 'flow');1138888,888888889
(('Oel_Kraftstoffe', 'excess_b_oel_kraftstoffe'), 'flow');0,0
(('PtL', 'Oel_Kraftstoffe'), 'flow');0,0
(('Bio', 'Biogas'), 'flow');2784931,0
(('Bio', 'Biogaseinspeisung_Bestandsanlagen'), 'flow');0,0
(('Bio', 'Biogaseinspeisung_Neuanlagen'), 'flow');0,0
(('Bio', 'excess_b_bio'), 'flow');0,0
(('Import_Festbrennstoffe', 'Bio'), 'flow');2784931,0
(('BioHolz', 'BioTransformer'), 'flow');6056273,000000004
(('BioHolz', 'Biomasse_Strom'), 'flow');0,0
(('BioHolz', 'Biomasse_Waerme'), 'flow');0,0
(('Import_Holz', 'BioHolz'), 'flow');6056273,000000004
(('BioTransformer', 'Festbrennstoffe'), 'flow');6056273,000000004
(('Festbrennstoffe', 'Last_Biomasse_ges'), 'flow');6471616,680626175
(('Import_Braunkohle', 'Festbrennstoffe'), 'flow');0,0
(('Import_Steinkohle', 'Festbrennstoffe'), 'flow');415343,6806261714
(('Biogas', 'Fernwaerme'), 'flow');1364616,1900000004
(('Biomasse_Waerme', 'Fernwaerme'), 'flow');0,0
(('Elektrodenheizkessel', 'Fernwaerme'), 'flow');271127,1040956043
(('Fernwaerme', 'Last_Fernwaerme_ges'), 'flow');3126373,6263736067
(('Fernwaerme', 'Waermespeicher'), 'flow');2394908,2563853646
(('Fernwaerme', 'excess_b_fern'), 'flow');0,0
(('GuD', 'Fernwaerme'), 'flow');1218230,5107317313
(('ST', 'Fernwaerme'), 'flow');0,0
(('Waermepumpe_Abwaerme', 'Fernwaerme'), 'flow');302864,7547711548
(('Waermepumpe_Fluss', 'Fernwaerme'), 'flow');0,0
(('Waermespeicher', 'Fernwaerme'), 'flow');2364443,3231604807
(('Elektrolyse', 'Wasserstoff'), 'flow');1936421,7200522479
(('H2speicher', 'Wasserstoff'), 'flow');0,0
(('Wasserstoff', 'Export_Wasserstoff'), 'flow');1936421,7200522479
(('Wasserstoff', 'H2speicher'), 'flow');0,0
(('Wasserstoff', 'Last_Wasserstoff_ges'), 'flow');0,0
(('Wasserstoff', 'Methanisierung'), 'flow');0,0
(('Wasserstoff', 'PtL'), 'flow');0,0
(('Wasserstoff', 'Wasserstoffeinspeisung'), 'flow');0,0
(('Wasserstoff', 'brezel'), 'flow');0,0
(('Wasserstoff', 'excess_b_was2'), 'flow');0,0
