,"(('Fernwaerme', 'Waermespeicher'), 'flow')","(('Waermespeicher', 'Fernwaerme'), 'flow')","(('Waermespeicher', 'None'), 'storage_content')"
2030-01-01 00:00:00,"219,70394377049138","0,0","41600,913078780184"
2030-01-01 01:00:00,"208,56846226201833","0,0","41805,851861376075"
2030-01-01 02:00:00,"197,1215050526004","0,0","41999,32580585377"
2030-01-01 03:00:00,"188,8013528197739","0,0","42184,46271749699"
2030-01-01 04:00:00,"129,40411099341623","0,0","42310,18623411831"
2030-01-01 05:00:00,"9,192039838465462","0,0","42315,68671020785"
2030-01-01 06:00:00,"0,0","84,69031450860746","42227,304352033774"
2030-01-01 07:00:00,"0,0","122,02296688070965","42101,59705284835"
2030-01-01 08:00:00,"0,0","113,86686791068496","41984,05682059481"
2030-01-01 09:00:00,"0,0","83,89306783856114","41896,50064379865"
2030-01-01 10:00:00,"0,0","80,7347338298789","41812,1104402876"
2030-01-01 11:00:00,"0,0","55,27201277754352","41753,19032087414"
2030-01-01 12:00:00,"0,0","32,06644617672134","41717,48090884192"
2030-01-01 13:00:00,"0,0","21,921679810569913","41691,91937882206"
2030-01-01 14:00:00,"0,0","2,838396856497411","41685,44336199976"
2030-01-01 15:00:00,"45,094697683511185","0,0","41726,90100474993"
2030-01-01 16:00:00,"23,12818875926837","0,0","41746,38852139654"
2030-01-01 17:00:00,"32,47339338940674","0,0","41775,21954238746"
2030-01-01 18:00:00,"60,66278928105726","0,0","41832,23744376344"
2030-01-01 19:00:00,"65,2081241056137","0,0","41893,795705152086"
2030-01-01 20:00:00,"64,75525263121676","0,0","41954,89572410803"
2030-01-01 21:00:00,"92,02596549880514","0,0","42043,2611249549"
2030-01-01 22:00:00,"149,8355869463224","0,0","42189,42843736807"
2030-01-01 23:00:00,"210,2912766313508","0,0","42396,038686368265"
2030-01-02 00:00:00,"185,29311734254532","0,0","42577,632749335426"
2030-01-02 01:00:00,"180,34212685411","0,0","42754,25997773216"
2030-01-02 02:00:00,"173,24404638067784","0,0","42923,77371492978"
2030-01-02 03:00:00,"118,53549420434001","0,0","43038,564109877494"
2030-01-02 04:00:00,"60,10617085906722","0,0","43094,91516601797"
2030-01-02 05:00:00,"0,0","114,36020433247359","42976,794930337266"
2030-01-02 06:00:00,"0,0","100,51404054812167","42872,53116443147"
2030-01-02 07:00:00,"0,0","115,04019808814837","42753,75033799923"
2030-01-02 08:00:00,"0,0","97,55377008093387","42652,4663032013"
2030-01-02 09:00:00,"0,0","82,29868259798548","42566,44619291836"
2030-01-02 10:00:00,"0,0","60,784621084123046","42501,947649403905"
2030-01-02 11:00:00,"0,0","28,793630778931742","42469,44572369256"
2030-01-02 12:00:00,"0,0","2,4684532012453246","42463,27181135192"
2030-01-02 13:00:00,"8,01211753219161","0,0","42467,57900841857"
2030-01-02 14:00:00,"32,015135817281816","0,0","42495,88884796737"
2030-01-02 15:00:00,"20,666287187620583","0,0","42512,84736885301"
2030-01-02 16:00:00,"8,716139070686722","0,0","42517,85426199077"
2030-01-02 17:00:00,"0,0","20,005782949593367","42494,13879625682"
2030-01-02 18:00:00,"0,0","22,96509899731086","42467,46608364954"
2030-01-02 19:00:00,"0,0","7,936879132058948","42455,82391810168"
2030-01-02 20:00:00,"17,152307796758123","0,0","42469,27195526159"
2030-01-02 21:00:00,"26,703883063517765","0,0","42492,27039434701"
2030-01-02 22:00:00,"63,122023626489636","0,0","42551,684967381596"
2030-01-02 23:00:00,"133,19410520419405","0,0","42681,16643807239"
2030-01-03 00:00:00,"114,52278797716042","0,0","42791,965294277834"
2030-01-03 01:00:00,"107,40184604875844","0,0","42895,63354135466"
2030-01-03 02:00:00,"100,30144302274505","0,0","42992,19234035093"
2030-01-03 03:00:00,"71,39286751881389","0,0","43059,834139088045"
2030-01-03 04:00:00,"0,0","3,4948289749245305","43052,582339584485"
2030-01-03 05:00:00,"0,0","217,1749081152151","42831,65109366014"
2030-01-03 06:00:00,"0,0","339,1431994156376","42488,77083268658"
2030-01-03 07:00:00,"0,0","397,95125019981924","42087,11243723161"
2030-01-03 08:00:00,"0,0","413,57008750274304","41669,87024916872"
2030-01-03 09:00:00,"0,0","399,95831380245363","41266,27623918703"
2030-01-03 10:00:00,"0,0","364,59578688640545","40898,07996969875"
2030-01-03 11:00:00,"0,0","342,29477296471487","40552,21683925668"
2030-01-03 12:00:00,"0,0","308,52410262859576","40240,15455570886"
2030-01-03 13:00:00,"0,0","263,61101099390225","39973,032591229974"
2030-01-03 14:00:00,"0,0","266,9358633791164","39702,60908075727"
2030-01-03 15:00:00,"0,0","246,22913229600886","39452,915895818966"
2030-01-03 16:00:00,"0,0","235,51439954338628","39213,959229363674"
2030-01-03 17:00:00,"0,0","236,32875060860783","38974,20906081231"
2030-01-03 18:00:00,"0,0","210,7048975252926","38760,10366354646"
2030-01-03 19:00:00,"0,0","158,45465556609474","38598,26718893572"
2030-01-03 20:00:00,"0,0","97,48763906756653","38497,41185105593"
2030-01-03 21:00:00,"0,0","46,975893774804035","38447,07705809712"
2030-01-03 22:00:00,"4,698478064914411","0,0","38448,42102868872"
2030-01-03 23:00:00,"90,45437753017563","0,0","38535,52078148414"
2030-01-04 00:00:00,"35,33293529649234","0,0","38567,49149259245"
2030-01-04 01:00:00,"39,10265084030334","0,0","38603,22912980003"
2030-01-04 02:00:00,"30,073865730879334","0,0","38629,93486378933"
2030-01-04 03:00:00,"7,356429287611945","0,0","38633,920831260075"
2030-01-04 04:00:00,"0,0","65,46557893316572","38565,08444273438"
2030-01-04 05:00:00,"0,0","312,2004597931689","38249,519179323586"
2030-01-04 06:00:00,"0,0","402,6847302741737","37843,49717850102"
2030-01-04 07:00:00,"7867,618237347734","8276,963992110252","37430,84957860968"
2030-01-04 08:00:00,"7840,546503647835","8276,963992110252","36991,166248521535"
2030-01-04 09:00:00,"7852,636425232244","8276,963992110252","36563,61120238835"
2030-01-04 10:00:00,"7881,088284592384","8276,963992110252","36164,54531979308"
2030-01-04 11:00:00,"7879,872316858633","8276,963992110252","35764,2982879623"
2030-01-04 12:00:00,"0,0","359,2303963921356","35401,94745654454"
2030-01-04 13:00:00,"0,0","305,43741318712273","35093,42122344184"
2030-01-04 14:00:00,"0,0","297,28417807321057","34793,07514436688"
2030-01-04 15:00:00,"0,0","292,50175038850546","34497,53769817203"
2030-01-04 16:00:00,"0,0","263,60175241669526","34230,92603559117"
