,0
Leistungen,------------------------------------------------------------------
PV_Dach,0.0
PV_Feld,4729.071073711272
Wind,5570.0
Wasser,31.0
Biogas_el,120.8075091324201
Biomasse_Strom,0.0
Brennstoffzelle,0.0
GuD,338.50729143915106
Solarthermie,0.0
Biomasse_Waerme,0.0
WP_Fluss,0.0
WP_Abwaerme,0.0
Heizstab,1050.5807188822328
Elektrolyse,308.0
Wasserstoffeinspeisung,0.0
B2G_Best.,0.0
B2G_Neu,0.0
Methanisierung,0.0
PtL,0.0
Speicherkapazitäten,------------------------------------------------------------------
Natriumspeicher,1958.3020374035445
Waermespeicher,77683.27211006932
Pumpspeicher,2304.0
Erdgasspeicher,0.0
Wasserstoffspeicher,0.0
Emissionen,------------------------------------------------------------------
Gasemissionen,2289772.427374072
Oelemissionen,3231695.553641205
Stromemissionen,878050.0332919749
Steinkohleemissionen,139555.47669038834
Braunkohleemissionen,0.0
Summe aller Emissionen,6539073.49099764
Kosten,------------------------------------------------------------------
Annuitaet,1219.2626106654918
OPEX,249.1434403592849
Im-/Export,843.4781686680951
Netz,38.01629377889423
Gesamtkosten,2349.9005134717663
Energiemengen,------------------------------------------------------------------
Stromimport,4053411.6577046206
Stromexport,6881254.007978811
