,"(('Biogas', 'Fernwaerme'), 'flow')","(('Biomasse_Waerme', 'Fernwaerme'), 'flow')","(('Elektrodenheizkessel', 'Fernwaerme'), 'flow')","(('Fernwaerme', 'Last_Fernwaerme_ges'), 'flow')","(('Fernwaerme', 'Waermespeicher'), 'flow')","(('Fernwaerme', 'excess_b_fern'), 'flow')","(('GuD', 'Fernwaerme'), 'flow')","(('ST', 'Fernwaerme'), 'flow')","(('Waermepumpe_Abwaerme', 'Fernwaerme'), 'flow')","(('Waermepumpe_Fluss', 'Fernwaerme'), 'flow')","(('Waermespeicher', 'Fernwaerme'), 'flow')"
2030-01-01 00:00:00,"155,77810388127853","0,0","0,0","415,81860455523156","7768,327211006932","0,0","323,46252293074434","0,0","0,0","0,0","7704,905188750141"
2030-01-01 01:00:00,"155,77810388127853","0,0","0,0","426,9540860637046","7768,327211006932","0,0","323,46252293074434","0,0","0,0","0,0","7716,040670258613"
2030-01-01 02:00:00,"155,77810388127853","0,0","0,0","438,4010432731225","7768,327211006932","0,0","323,46252293074434","0,0","0,0","0,0","7727,487627468032"
2030-01-01 03:00:00,"155,77810388127853","0,0","0,0","446,721195505949","7768,327211006932","0,0","323,46252293074434","0,0","0,0","0,0","7735,807779700858"
2030-01-01 04:00:00,"155,77810388127853","0,0","0,0","506,1184373323067","7741,449400486648","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-01 05:00:00,"155,77810388127853","0,0","0,0","626,3305084872575","7621,237329331698","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-01 06:00:00,"155,77810388127853","0,0","0,0","720,2128628343304","7527,354974984624","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-01 07:00:00,"155,77810388127853","0,0","0,0","757,5455152064326","7490,022322612523","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-01 08:00:00,"155,77810388127853","0,0","0,0","749,3894162364079","7498,178421582547","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-01 09:00:00,"155,77810388127853","0,0","0,0","719,4156161642841","7528,152221654671","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-01 10:00:00,"155,77810388127853","0,0","0,0","716,2572821556018","7531,310555663353","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-01 11:00:00,"155,77810388127853","0,0","0,0","690,7945611032665","7556,773276715689","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-01 12:00:00,"155,77810388127853","0,0","0,0","667,5889945024443","7579,97884331651","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-01 13:00:00,"155,77810388127853","0,0","0,0","657,4442281362928","7590,123609682662","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-01 14:00:00,"155,77810388127853","0,0","0,0","638,3609451822203","7609,206892636735","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-01 15:00:00,"155,77810388127853","0,0","0,0","590,4278506422118","7657,1399871767435","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-01 16:00:00,"155,77810388127853","0,0","0,0","612,3943595664546","7635,1734782525","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-01 17:00:00,"155,77810388127853","0,0","0,0","603,0491549363162","7644,518682882639","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-01 18:00:00,"155,77810388127853","0,0","0,0","574,8597590446657","7672,708078774289","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-01 19:00:00,"155,77810388127853","0,0","0,0","570,3144242201092","7677,253413598845","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-01 20:00:00,"155,77810388127853","0,0","0,0","570,7672956945062","7676,800542124449","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-01 21:00:00,"155,77810388127853","0,0","0,0","543,4965828269178","7704,071254992037","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
