,"(('Biogas', 'Fernwaerme'), 'flow')","(('Biomasse_Waerme', 'Fernwaerme'), 'flow')","(('Elektrodenheizkessel', 'Fernwaerme'), 'flow')","(('Fernwaerme', 'Last_Fernwaerme_ges'), 'flow')","(('Fernwaerme', 'Waermespeicher'), 'flow')","(('Fernwaerme', 'excess_b_fern'), 'flow')","(('GuD', 'Fernwaerme'), 'flow')","(('ST', 'Fernwaerme'), 'flow')","(('Waermepumpe_Abwaerme', 'Fernwaerme'), 'flow')","(('Waermepumpe_Fluss', 'Fernwaerme'), 'flow')","(('Waermespeicher', 'Fernwaerme'), 'flow')"
2030-01-01 00:00:00,"155,77810388127853","0,0","0,0","415,81860455523156","0,0","0,0","247,3800600228943","0,0","0,0","0,0","12,660440651058764"
2030-01-01 01:00:00,"155,77810388127853","0,0","0,0","426,9540860637046","0,0","0,0","247,3800600228943","0,0","0,0","0,0","23,795922159531784"
2030-01-01 02:00:00,"155,77810388127853","0,0","0,0","438,4010432731225","0,0","0,0","247,3800600228943","0,0","0,0","0,0","35,24287936894973"
2030-01-01 03:00:00,"155,77810388127853","0,0","0,0","446,721195505949","0,0","0,0","247,3800600228943","0,0","0,0","0,0","43,56303160177623"
2030-01-01 04:00:00,"155,77810388127853","0,0","0,0","506,1184373323067","0,0","0,0","247,3800600228943","0,0","0,0","0,0","102,96027342813392"
2030-01-01 05:00:00,"155,77810388127853","0,0","0,0","626,3305084872575","0,0","0,0","247,3800600228943","0,0","0,0","0,0","223,17234458308468"
2030-01-01 06:00:00,"155,77810388127853","0,0","0,0","720,2128628343304","0,0","0,0","247,3800600228943","0,0","0,0","0,0","317,0546989301576"
2030-01-01 07:00:00,"155,77810388127853","0,0","0,0","757,5455152064326","0,0","0,0","247,3800600228943","0,0","0,0","0,0","354,3873513022598"
2030-01-01 08:00:00,"155,77810388127853","0,0","0,0","749,3894162364079","0,0","0,0","247,3800600228943","0,0","0,0","0,0","346,2312523322351"
2030-01-01 09:00:00,"155,77810388127853","0,0","0,0","719,4156161642841","0,0","0,0","247,3800600228943","0,0","0,0","0,0","316,2574522601113"
2030-01-01 10:00:00,"155,77810388127853","0,0","0,0","716,2572821556018","0,0","0,0","247,3800600228943","0,0","0,0","0,0","313,09911825142905"
2030-01-01 11:00:00,"155,77810388127853","0,0","0,0","690,7945611032665","0,0","0,0","247,38006002289427","0,0","0,0","0,0","287,63639719909366"
2030-01-01 12:00:00,"155,77810388127853","0,0","0,0","667,5889945024443","0,0","0,0","247,3800600228943","0,0","0,0","0,0","264,4308305982715"
2030-01-01 13:00:00,"155,77810388127853","0,0","0,0","657,4442281362928","0,0","0,0","247,3800600228943","0,0","0,0","0,0","254,28606423212003"
2030-01-01 14:00:00,"155,77810388127853","0,0","0,0","638,3609451822203","0,0","0,0","247,3800600228943","0,0","0,0","0,0","235,20278127804755"
2030-01-01 15:00:00,"155,77810388127853","0,0","0,0","590,4278506422118","0,0","0,0","247,3800600228943","0,0","0,0","0,0","187,26968673803896"
2030-01-01 16:00:00,"155,77810388127853","0,0","0,0","612,3943595664546","0,0","0,0","247,3800600228943","0,0","0,0","0,0","209,23619566228177"
2030-01-01 17:00:00,"155,77810388127853","0,0","0,0","603,0491549363162","0,0","0,0","247,38006002289427","0,0","0,0","0,0","199,8909910321434"
2030-01-01 18:00:00,"155,77810388127853","0,0","0,0","574,8597590446657","0,0","0,0","247,3800600228943","0,0","0,0","0,0","171,70159514049288"
2030-01-01 19:00:00,"155,77810388127853","0,0","0,0","570,3144242201092","0,0","0,0","247,3800600228943","0,0","0,0","0,0","167,15626031593644"
2030-01-01 20:00:00,"155,77810388127853","0,0","0,0","570,7672956945062","0,0","0,0","247,3800600228943","0,0","0,0","0,0","167,60913179033338"
2030-01-01 21:00:00,"155,77810388127853","0,0","0,0","543,4965828269178","0,0","0,0","247,3800600228943","0,0","0,0","0,0","140,338418922745"
2030-01-01 22:00:00,"155,77810388127853","0,0","0,0","485,68696137940054","0,0","0,0","247,3800600228943","0,0","0,0","0,0","82,52879747522775"
2030-01-01 23:00:00,"155,77810388127853","0,0","0,0","425,23127169437214","0,0","0,0","247,38006002289427","0,0","0,0","0,0","22,073107790199344"
2030-01-02 00:00:00,"155,77810388127853","0,0","0,0","450,2294309831776","0,0","0,0","247,3800600228943","0,0","0,0","0,0","47,071267079004826"
2030-01-02 01:00:00,"155,77810388127853","0,0","0,0","455,18042147161293","0,0","0,0","247,3800600228943","0,0","0,0","0,0","52,02225756744011"
2030-01-02 02:00:00,"155,77810388127853","0,0","1469,8975605577098","462,2785019450451","1410,7772225168374","0,0","247,3800600228943","0,0","0,0","0,0","0,0"
2030-01-02 03:00:00,"155,77810388127853","0,0","1469,8975605577098","516,9870541213829","1356,0686703404995","0,0","247,3800600228943","0,0","0,0","0,0","0,0"
2030-01-02 04:00:00,"155,77810388127853","0,0","1469,8975605577098","575,4163774666557","1297,6393469952268","0,0","247,3800600228943","0,0","0,0","0,0","0,0"
2030-01-02 05:00:00,"155,77810388127853","0,0","0,0","749,8827526581965","0,0","0,0","247,3800600228943","0,0","0,0","0,0","346,72458875402367"
2030-01-02 06:00:00,"155,77810388127853","0,0","0,0","736,0365888738446","0,0","0,0","247,3800600228943","0,0","0,0","0,0","332,8784249696718"
2030-01-02 07:00:00,"155,77810388127853","0,0","0,0","750,5627464138713","0,0","0,0","247,3800600228943","0,0","0,0","0,0","347,4045825096985"
2030-01-02 08:00:00,"155,77810388127853","0,0","0,0","733,0763184066568","0,0","0,0","247,3800600228943","0,0","0,0","0,0","329,918154502484"
