,"(('Biogaseinspeisung_Bestandsanlagen', 'Gas'), 'flow')","(('Biogaseinspeisung_Neuanlagen', 'Gas'), 'flow')","(('Erdgasspeicher', 'Gas'), 'flow')","(('Gas', 'Erdgasspeicher'), 'flow')","(('Gas', 'GuD'), 'flow')","(('Gas', 'Last_Gas_ges'), 'flow')","(('Gas', 'Materialbedarf_Gas'), 'flow')","(('Gas', 'excess_b_gas2'), 'flow')","(('Import_Gas', 'Gas'), 'flow')","(('Methanisierung', 'Gas'), 'flow')","(('Wasserstoffeinspeisung', 'Gas'), 'flow')"
2030-01-01 00:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1034,5592066260097","3,170979198376459","0,0","1613,0326509939077","0,0","0,0"
2030-01-01 01:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1060,4027899735104","3,170979198376459","0,0","1638,8762343414085","0,0","0,0"
2030-01-01 02:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1092,152223433526","3,170979198376459","0,0","1670,625667801424","0,0","0,0"
2030-01-01 03:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1118,674931880472","3,170979198376459","0,0","1697,1483762483701","0,0","0,0"
2030-01-01 04:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1257,3742693654938","3,170979198376459","0,0","1835,8477137333919","0,0","0,0"
2030-01-01 05:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1550,8108484502532","3,170979198376459","0,0","2129,2842928181512","0,0","0,0"
2030-01-01 06:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1716,2883353788657","3,170979198376459","0,0","2294,7617797467638","0,0","0,0"
2030-01-01 07:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1768,388073756178","3,170979198376459","0,0","2346,861518124076","0,0","0,0"
2030-01-01 08:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1757,8689023187076","3,170979198376459","0,0","2336,3423466866057","0,0","0,0"
2030-01-01 09:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1700,7168783332081","3,170979198376459","0,0","2279,190322701106","0,0","0,0"
2030-01-01 10:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1688,8592460915543","3,170979198376459","0,0","2267,3326904594524","0,0","0,0"
2030-01-01 11:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1637,195187336517","3,170979198376459","0,0","2215,668631704415","0,0","0,0"
2030-01-01 12:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1594,0010637015387","3,170979198376459","0,0","2172,4745080694365","0,0","0,0"
2030-01-01 13:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1560,5181202461713","3,170979198376459","0,0","2138,9915646140694","0,0","0,0"
2030-01-01 14:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1526,2993754074857","3,170979198376459","0,0","2104,772819775384","0,0","0,0"
2030-01-01 15:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1442,732574572153","3,170979198376459","0,0","2021,206018940051","0,0","0,0"
2030-01-01 16:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1493,1822564834033","3,170979198376459","0,0","2071,6557008513014","0,0","0,0"
2030-01-01 17:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1501,0145473351422","3,170979198376459","0,0","2079,4879917030403","0,0","0,0"
2030-01-01 18:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1460,087042841339","3,170979198376459","0,0","2038,5604872092372","0,0","0,0"
2030-01-01 19:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1454,839088182714","3,170979198376459","0,0","2033,312532550612","0,0","0,0"
2030-01-01 20:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1450,1527011978144","3,170979198376459","0,0","2028,6261455657125","0,0","0,0"
2030-01-01 21:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1388,0685340697096","3,170979198376459","0,0","1966,5419784376077","0,0","0,0"
2030-01-01 22:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1267,0322128493453","3,170979198376459","0,0","1845,5056572172434","0,0","0,0"
2030-01-01 23:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1123,0833405125836","3,170979198376459","0,0","1701,5567848804817","0,0","0,0"
2030-01-02 00:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1101,3518576048368","3,170979198376459","0,0","1679,825301972735","0,0","0,0"
2030-01-02 01:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1116,3667224623462","3,170979198376459","0,0","1694,8401668302442","0,0","0,0"
2030-01-02 02:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1140,5030749448165","3,170979198376459","0,0","1718,9765193127146","0,0","0,0"
2030-01-02 03:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1249,8706669893659","3,170979198376459","0,0","1828,344111357264","0,0","0,0"
