;Scenario 001;Scenario 002;Scenario 003;Scenario 004;Scenario 005;Scenario 006;Scenario 007;Scenario 008;Scenario 009;Scenario 010;Scenario 011;Scenario 012;Scenario 013;Scenario 014;Scenario 015
Capital costs;1235,261678;1219,272294;1269,886264;1269,886264;1270,429197;1269,890066;1269,890066;1269,890066;1258,610559;1258,610559;1258,610559;1258,610559;1246,179587;1828,952786;1829,956765
Operating costs;254,350807;249,1547482;253,8860533;253,8860533;253,9098364;254,0473921;254,0473921;254,0473921;251,5034366;251,5034366;251,5034366;251,5034366;251,5034366;375,2590192;375,3848303
Import cost;1533,69163;1477,059443;1429,11711;1430,528534;1434,163739;1429,635437;1429,547812;1429,470763;1433,337674;1433,42103;1433,482524;1433,439244;1433,269078;1759,286749;1759,024613
Export cost;872,7365801;741,3916135;677,7659093;677,7236067;681,6069058;679,103514;679,1596188;679,2582412;677,1972261;677,2393303;676,7760014;677,1674202;676,9158597;1330,034618;1330,533497
Grid usage cost;93,32218343;111,8237069;80,42398254;80,42398254;82,75362334;80,59723203;80,59723203;80,59723203;80,95390706;80,95390706;80,95390706;80,95390706;80,95390706;87,66483343;87,34888697
Grid yearly cost;0;0;0;0;0;0;0;0;0;0;0;0;1,40968;1,40968;1,40968
Total cost;2243,889719;2315,918579;2355,5475;2357,001227;2359,64949;2355,066613;2354,922883;2354,747211;2347,20835;2347,249602;2347,774425;2347,339726;2336,399829;2722,538449;2722,591278
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Emission; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Electricity;318851,2328;382090,4735;274723,6621;274723,6621;282681,58;275315,4723;275315,4723;275315,4723;276533,8535;276533,8535;276533,8535;276533,8535;276533,8535;66462,1288;66221,69116
Gas;2479635,525;2301472,804;2425395,452;2425395,452;2425282,869;2429302,652;2429302,652;2429302,652;2426251,687;2426251,687;2426251,687;2426251,687;2426251,687;2322968,354;2322978,192
Oil;3231705,4;3231705,4;3231705,4;3231705,4;3231705,4;3231693,239;3231693,239;3231693,239;3231693,239;3231693,239;3231693,239;3231693,239;3231693,239;3231693,239;3231693,239
Hard coal;140182,7736;140182,7736;140182,7736;207456,1399;207456,1399;180125,8405;180125,8405;180125,8405;180125,8405;180125,8405;180125,8405;180125,8405;180125,8405;180125,8405;180125,8405
Brown coal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Total Emission;6170374,932;6055451,451;6072007,288;6139280,654;6147125,989;6116437,204;6116437,204;6116437,204;6114604,62;6114604,62;6114604,62;6114604,62;6114604,62;5801249,562;5801018,963
