Component;Scenario 001;Scenario 002;Scenario 003;Scenario 004;Scenario 005;Scenario 006;Scenario 007;Scenario 008;Scenario 009;Scenario 010;Scenario 011;Scenario 012;Scenario 013;Scenario 014
AW;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Battery;2293,867588;1957,481437;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;0
BioTransformer;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Biogas- BHKW;120,8213015;120,8213015;120,8213015;120,8213015;120,8213015;120,8213015;120,8213015;120,8213015;120,8213015;120,8213015;120,8213015;120,8213015;120,8213015;140,958185
Biogas_feedin_existing;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Biogas_feedin_new;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Biomasse_elec;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Biomasse_elec_heat;0;0;0;0;0;0;0;0;4,058092442;4,058092442;4,058092442;4,058092442;4,058092442;2,029046221
Biomasse_heat;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BtL;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Electric boiler;279,8823953;1050,411585;788,2144523;788,2144523;816,9983042;880,3634684;880,3634684;880,3634684;799,1205508;799,1205508;799,1205508;799,1205508;799,1205508;700,3196675
Electrolysis;308;308;308;308;308;308;308;308;308;308;308;308;308;308
Fuelcell;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gas_storage;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GuD;444,5;338,7488131;444,5;444,5;444,5;444,5;444,5;444,5;444,5;444,5;444,5;444,5;444,5;444,5
H2_storage;0;0;1,15E-10;0;0;1,43E-12;0;0;0;0;0;0;0;0
Heat storage_dist_heat;94341,73872;77558,12311;141994,4191;141994,4191;145770,4421;129749,6087;129749,6087;129749,6087;123666,8023;123666,8023;123666,8023;123666,8023;123666,8023;5029,779983
Heat storage_seasonal;0;0;0;0;0;0;0;0;0;0;0;0;0;1715,055064
Heatpump_air;55;0;0;0;0;0;0;0;0;0;0;0;0;55
Heatpump_recovery_heat;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heatpump_water;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hydro power plant;31;31;31;31;31;31;31;31;31;31;31;31;31;31
Hydrogen_feedin;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hös<->HS;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Import_Electricity;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Import_Gas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Import_Hydrogen;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Import_Oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Import_Synthetic_fuel;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Import_Wood;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Import_brown_coal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Import_hard_coal;47,34496959;47,34496959;47,34496959;70,0657034;70,0657034;60,83523835;60,83523835;60,83523835;60,83523835;60,83523835;60,83523835;60,83523835;60,83523835;60,83523835
Import_solid_fuel;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Methanisation;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PV_open_east;965,3523784;1111,254681;502,7316879;502,7316879;3575,885936;486,5499905;486,5499905;486,5499905;423,9704479;423,9704479;423,9704479;423,9704479;423,9704479;4740
PV_open_middle;0;1137,94315;365,0822089;365,0822089;1151,231656;369,1145177;369,1145177;369,1145177;353,5971541;353,5971541;353,5971541;353,5971541;353,5971541;5221,540701
PV_open_north;1519,572493;839,418539;1840,116278;1840,116278;0;1882,996388;1882,996388;1882,996388;1845,250217;1845,250217;1845,250217;1845,250217;1845,250217;4070
PV_open_swest;2244,172089;1640,480595;2021,166719;2021,166719;0;1990,43599;1990,43599;1990,43599;1959,110985;1959,110985;1959,110985;1959,110985;1959,110985;2680
PV_rooftop_east;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PV_rooftop_middle;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PV_rooftop_north;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PV_rooftop_swest;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Preheater- Electric boiler;0;0;0;0;0;0;0;0;0;0;0;0;0;4,621746971
Preheater- WP;0;0;0;0;0;0;0;0;0;0;0;0;0;0,226394285
PtL;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pumped_hydro_storage;2304;2304;2304;2304;2304;2304;2304;2304;2304;2304;2304;2304;1252;9360
Pumped_hydro_storage_Goldistal;0;0;0;0;0;0;0;0;0;0;0;0;1052;1052
ST;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UW;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wind_east;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820
Wind_middle;1640;1640;1640;1640;1640;1640;1640;1640;1640;1640;1640;1640;1640;1640
Wind_north;1210;1210;1210;1210;1210;1210;1210;1210;1210;1210;1210;1210;1210;1210
Wind_swest;900;900;900;900;900;900;900;900;900;900;900;900;900;900
