,,Installed Capacity (MW or MWh),Installed Capacity (MW or MWh),Installed Capacity (MW or MWh),Installed Capacity (MW or MWh)
,,2030,2035,2040,2045
Component,Bus,,,,
AW,Recovery heat,0.0,0.0,0.0,0.0
Battery,None,9.22009,9.22009,0.0,0.0
Battery,ElectricityIn,0.46100450000000004,0.46100450000000004,0.0,0.0
BioTransformer,Solidfuel,0.0,0.0,0.0,0.0
Biogas- BHKW,District heating,0.0,0.0,0.0,0.0
Biogas- BHKW,ElectricityIn,0.0,0.0,0.0,0.0
Biogas_feedin_existing,Gas,0.0,297.0,297.0,297.0
Biogas_feedin_new,Gas,0.0,0.0,0.05532533246805246,0.0
Biomasse_elec,ElectricityIn,0.0,0.0,0.0,0.0
Biomasse_elec_heat,District heating,0.0,0.0,0.0,0.0
Biomasse_elec_heat,ElectricityIn,279.8937,279.9,151.6424685828953,151.6
Biomasse_heat,District heating,414.44876,414.44876,0.0,0.0
BtL_Holz,Oil_fuel,0.0,0.0,0.0,153.95783816464805
BtL_substrat,Oil_fuel,0.0,63.437721817566626,63.4,135.17616511540174
Electric boiler,District heating,671.0313691570419,671.0,1010.8851267409011,3012.4858665188594
Electrolysis,Hydrogen,111.60321028170574,200.81555658781917,841.7742844706348,1759.3467040154992
Fuelcell,ElectricityIn,0.0,0.0,146.00263136781808,146.0
Gas_storage,None,0.0,167959.72671581252,186619.82494428378,947952.9050335124
Gas_storage,Gas,0.0,209.94965839476566,233.27478118035472,1184.9411312918905
GuD,District heating,0.0,0.0,0.0,0.0
GuD,ElectricityIn,845.9705929584562,846.0,444.5,444.5
H2_storage,None,136878.42903158284,240360.44876501296,1044279.3483442867,1255000.0
H2_storage,Hydrogen,107.21268037250945,188.26697639618777,817.9520234544424,983.0030547505286
Heat storage_dist_heat,None,5480.401417451568,5480.0,5480.0,5691.796703363068
Heat storage_dist_heat,District heating,228.35005906048198,228.33333333333331,228.33333333333331,237.15819597346115
Heat storage_seasonal,None,66557.70811040135,66558.0,134446.37910343634,500000.0
Heat storage_seasonal,Preheater,210.35938087990314,210.36030341340077,424.9253448275485,1580.2781289506954
Heatpump_air,District heating,23.76295,23.8,0.0,0.0
Heatpump_recovery_heat,District heating,0.0,0.0,0.0,0.0
Heatpump_water,District heating,0.0,0.0,0.0,0.0
Hydro power plant,ElectricityIn,31.0,31.0,31.0,31.0
Hös<->HS,ElectricityIn,0.0,0.0,0.0,0.0
Hös<->HS,Electricity_Hös,0.0,0.0,0.0,0.0
Import_Electricity,Electricity_Hös,2148.2,2832.9,3081.7,3584.7
Import_Gas,Gas,4470.5,3245.3,1981.5,0.0
Import_Hydrogen,Hydrogen,0.0,0.0,0.0,0.0
Import_Oil,Oil_fuel,2250.9,1410.9,968.7,0.0
Import_Synthetic_fuel,Oil_fuel,0.0,0.0,0.0,0.0
Import_Wood,BioWood,1988.0857482692936,1754.3286802438283,1319.8354810324354,1574.1366310970573
Import_solid_fuel,Biomass,0.0,0.0,0.0,0.0
Li-Ion_Battery,None,344.224,344.224,0.02400000000000091,0.0
Li-Ion_Battery,ElectricityIn,344.224,344.224,0.02400000000000091,0.0
Methanisation,Gas,0.0,0.0,0.0,203.15542859709137
Natrium_Battery,None,0.0,0.0,0.0,0.0
Natrium_Battery,ElectricityIn,0.0,0.0,0.0,0.0
Netzverluste,ElectricityOut,0.0,0.0,0.0,0.0
PV_open_east,ElectricityIn,257.67,257.7,1759.4365400655747,4740.0
PV_open_middle,ElectricityIn,207.845,207.845,0.0,0.0
PV_open_north,ElectricityIn,1181.6250819906147,1181.6,955.4999999999999,2202.7628455752606
PV_open_swest,ElectricityIn,237.13888699440554,1329.1233145475778,2680.0,2680.0
PV_rooftop_east,ElectricityIn,498.868,498.868,0.0,0.0
PV_rooftop_middle,ElectricityIn,447.747,447.747,0.047000000000025466,0.0
PV_rooftop_north,ElectricityIn,373.384,373.384,0.0,0.0
PV_rooftop_swest,ElectricityIn,382.167,382.167,0.0,0.0
Preheater- Electric boiler,District heating,151.02453138901114,204.8045349489228,204.8,309.65325129677547
Preheater- WP,District heating,0.0,0.0,0.0,0.0
PtL,Oil_fuel,0.0,0.0,0.0,336.0495345745071
Pumped_hydro_storage,None,0.0,0.0,0.0,0.0
Pumped_hydro_storage,Pumped-Hydro,0.0,0.0,0.0,0.0
Pumped_hydro_storage_bestand,None,2376.0,2376.0,2376.0,2376.0
Pumped_hydro_storage_bestand,ElectricityIn,297.0,297.0,297.0,297.0
Pumped_hydro_technology,Electricity_Hös,0.0,0.0,0.0,0.0
Pumped_hydro_technology,Pumped-Hydro,0.0,0.0,0.0,0.0
Red-OX_Battery,None,0.0,0.0,0.0,0.0
Red-OX_Battery,ElectricityIn,0.0,0.0,0.0,0.0
ST,District heating,328.18133,328.18133,0.0,0.0
UW,Environmental heat,0.0,0.0,0.0,0.0
Umgebungsluft,Umgebungsluftbus,0.0,0.0,0.0,0.0
Wind_east,ElectricityIn,2377.335,2377.3,2432.0,2432.0
Wind_middle,ElectricityIn,2649.173,2649.2,2411.0,2411.0
Wind_north,ElectricityIn,1610.473269449217,1610.5,3321.0,3321.0
Wind_swest,ElectricityIn,2238.391,2698.391,2530.0,2530.0
