,,Installed Capacity (MW or MWh),Installed Capacity (MW or MWh),Installed Capacity (MW or MWh),Installed Capacity (MW or MWh)
,,2045,2030,2035,2040
Component,Bus,,,,
AW,Recovery heat,0.0,0.0,0.0,0.0
Battery,None,0.0,0.0,0.0,0.0
Battery,ElectricityIn,0.0,0.0,0.0,0.0
BioTransformer,Solidfuel,0.0,0.0,0.0,0.0
Biogas- BHKW,District heating,0.0,0.016953990181527573,0.0,0.0
Biogas- BHKW,ElectricityIn,0.0,0.014580431556113712,0.0,0.0
Biogas_feedin_existing,Gas,127.92839671992375,0.0,297.0,297.0
Biogas_feedin_new,Gas,0.0,0.0,0.0,93.04199199908666
Biomasse_elec,ElectricityIn,0.0,0.0,0.0,0.0
Biomasse_elec_heat,District heating,0.0,0.0,0.0,0.0
Biomasse_elec_heat,ElectricityIn,113.02619613640525,167.15904896637898,203.23638292041704,160.97210294911923
Biomasse_heat,District heating,0.0,0.0,0.0,0.0
BtL_Holz,Oil_fuel,162.6376891973617,0.0,0.0,0.0
BtL_substrat,Oil_fuel,327.3696835417935,0.0,63.437721817566626,0.0
Electric boiler,District heating,3133.5035341692974,1356.8451970644091,860.8515416376212,937.817296433233
Electrolysis,Hydrogen,1657.6790878537406,108.31861896730275,328.9634755219958,843.5202003689024
Fuelcell,ElectricityIn,0.0,0.0,34.56356674587037,145.70071811060996
Gas_storage,None,259602.55711216346,0.0,167959.72671581252,261009.1582775787
Gas_storage,Gas,324.5031963902043,0.0,209.94965839476566,326.2614478469734
GuD,District heating,0.0,0.0,0.0,0.0
GuD,ElectricityIn,0.0,444.5,444.5,444.5
H2_storage,None,1255000.0,132684.9913004715,404079.41649717686,1046508.3591716059
H2_storage,Hydrogen,983.0030547505286,103.92808905809626,316.50302850879365,819.6979393527107
Heat storage_dist_heat,None,7402.789914397246,5025.081964836411,6051.3726314890655,5070.1008103647555
Heat storage_dist_heat,District heating,308.4495797665519,209.37841520151713,252.1405263120444,211.2542004318648
Heat storage_seasonal,None,564152.8633792578,225219.28646271187,68617.6220421205,112361.54020486587
Heat storage_seasonal,Preheater,1783.0368627663017,711.81822522981,216.86985474753638,355.12496904192756
Heatpump_air,District heating,68.49964703514009,0.0,0.0,0.0
Heatpump_recovery_heat,District heating,0.0,0.0,0.0,0.0
Heatpump_water,District heating,0.0,0.0,0.0,0.0
Hydro power plant,ElectricityIn,31.0,31.0,31.0,31.0
Hös<->HS,ElectricityIn,0.0,0.0,0.0,0.0
Hös<->HS,Electricity_Hös,0.0,0.0,0.0,0.0
Import_Electricity,Electricity_Hös,3626.9,2322.6,2859.2,3073.6
Import_Gas,Gas,0.0,3778.3,2614.1,1888.5
Import_Hydrogen,Hydrogen,0.0,0.0,0.0,0.0
Import_Oil,Oil_fuel,0.0,2250.9,1526.1,1032.1
Import_Synthetic_fuel,Oil_fuel,0.0,0.0,0.0,0.0
Import_Wood,BioWood,1476.115557734356,1686.2033153835916,1538.4207874732497,1348.1071003240231
Import_brown_coal,Solidfuel,0.0,0.0,0.0,0.0
Import_solid_fuel,Biomass,0.0,0.0,0.0,0.0
Li-Ion_Battery,None,0.0,0.0,0.0,0.0
Li-Ion_Battery,ElectricityIn,0.0,0.0,0.0,0.0
Methanisation,Gas,189.2558290324568,0.0,0.0,0.0
Natrium_Battery,None,0.0,0.0,0.0,0.0
Natrium_Battery,ElectricityIn,0.0,0.0,0.0,0.0
Netzverluste,ElectricityOut,0.0,0.0,0.0,0.0
PV_open_east,ElectricityIn,4740.0,0.0,222.63491414024563,1828.5846334961284
PV_open_middle,ElectricityIn,263.7593328946496,0.0,0.0,0.0
PV_open_north,ElectricityIn,1673.665287580973,1752.4905392316296,1747.1017535188485,872.4075176384148
PV_open_swest,ElectricityIn,2680.0,2147.7850275512487,2680.0,2680.0
PV_rooftop_east,ElectricityIn,0.0,0.0,0.0,0.0
PV_rooftop_middle,ElectricityIn,0.0,0.0,0.0,0.0
PV_rooftop_north,ElectricityIn,0.0,0.0,0.0,0.0
PV_rooftop_swest,ElectricityIn,0.0,0.0,0.0,0.0
Preheater- Electric boiler,District heating,307.8041872830106,242.51456345359995,158.3372481803143,190.65737666937815
Preheater- WP,District heating,0.0,0.0,0.0,0.0
PtL,Oil_fuel,327.3696835417935,0.0,0.0,0.0
Pumped_hydro_storage,None,0.0,0.0,0.0,0.0
Pumped_hydro_storage,Pumped-Hydro,0.0,0.0,0.0,0.0
Pumped_hydro_storage_bestand,None,2376.0,2376.0,2376.0,2376.0
Pumped_hydro_storage_bestand,ElectricityIn,297.0,297.0,297.0,297.0
Pumped_hydro_technology,Electricity_Hös,0.0,0.0,0.0,0.0
Pumped_hydro_technology,Pumped-Hydro,0.0,0.0,0.0,0.0
Red-OX_Battery,None,0.0,0.0,0.0,0.0
Red-OX_Battery,ElectricityIn,0.0,0.0,0.0,0.0
ST,District heating,0.0,0.0,0.0,0.0
UW,Environmental heat,0.0,0.0,0.0,0.0
Umgebungsluft,Umgebungsluftbus,0.0,0.0,0.0,0.0
Wind_east,ElectricityIn,2432.0,1990.0,2432.0,2432.0
Wind_middle,ElectricityIn,2411.0,1973.0,2411.0,2411.0
Wind_north,ElectricityIn,3321.0,2717.0,2167.6312761865997,3321.0
Wind_swest,ElectricityIn,2530.0,2070.0,2530.0,2530.0
