,Scenario,Total Costs (Mio. €),Investment Costs (Mio. €),Variable Costs (Mio. €),Profits (Mio. €)
0,Base Scenario,2592.4534471724496,2016.9965799120348,850.6161927290326,-275.1593254686179
1,No Biogas,2609.3338400144853,2047.1793176112578,829.3571334339649,-267.2026110307374
2,No Electric Boiler,2670.55758813171,2002.272891011603,869.2859158544015,-201.00121873429455
3,No Flex tech ,2763.334562939834,2169.2852477706624,888.2877679545795,-294.23845278540745
4,No heat storage,2652.608929099553,2075.108718732439,848.1354124470658,-270.6352020799516
5,No PtL,2598.574045895449,2012.2570995592991,866.9397266496447,-280.6227803134946
6,No partial wind,2635.146797457772,1992.299638681921,891.5702764084625,-248.72311763261138
7,PV_partial,2593.755798961364,2017.4343848680946,852.2606220479859,-275.9392079547167
8,No Hydro,2592.453447172459,2016.9965799120405,850.6161927290286,-275.15932546861
9,No Battery,2592.453447172463,2016.996579912043,850.6161927290351,-275.15932546861507
10,No BtL,2709.7376507716285,2086.566364718329,964.9175257846168,-341.74623973131776
11,No partial import,2818.63006304513,2344.426065166473,531.0305465902537,-56.826548711596644
