;;Installed Capacity (MW or MWh);Installed Capacity (MW or MWh);Installed Capacity (MW or MWh);Installed Capacity (MW or MWh);Installed Capacity (MW or MWh);Installed Capacity (MW or MWh);Installed Capacity (MW or MWh);;;;;
;;Base Scenario;PV_partial;No Hydro;No Battery;No BtL;No partial import;No Biogas;No Electric Boiler;No Flex tech (B, H2_sto, Sea_Sto);No heat storage;No PtL;No partial wind
Component;Bus;;;;;;;;;;;;
AW;Recovery heat;0;0;0;0;0;0;0;0;0;0;0;0
Battery;None;0;0;0;0;816,4012238;5000;0;0;0;0;0;3291,156748
Battery;ElectricityIn;0;0;0;0;40,82006119;250;0;0;0;0;0;164,5578374
BioTransformer;Solidfuel;0;0;0;0;0;0;0;0;0;0;0;0
Biogas- BHKW;District heating;0;0;0;0;0,01695399;0;0;0;0;0;0;0
Biogas- BHKW;ElectricityIn;0;0;0;0;0,014580432;0;0;0;0;0;0;0
Biogas_feedin_existing;Gas;127,9283967;150,7960917;127,9283967;127,9283967;297;260,2042644;0;100,6300628;0;98,9973802;0,288237746;112,578905
Biogas_feedin_new;Gas;0;0;0;0;78,46475237;0;0;0;0;0;0;0
Biomasse_elec;ElectricityIn;0;0;0;0;0;0;0;0;0;0;0;0
Biomasse_elec_heat;District heating;0;0;0;0;0;0;0;0;0;0;0;0
Biomasse_elec_heat;ElectricityIn;113,0261961;31,64638412;113,0261961;113,0261961;102,0972163;358,9476057;149,6434787;159,9337602;271,9392288;130,6799943;14,52741861;95,21726186
Biomasse_heat;District heating;0;0;0;0;0;0;0;30,99552834;0;215,7963436;0;0
BtL_Holz;Oil_fuel;162,6376892;214,1982115;162,6376892;162,6376892;0;76,15555345;136,2198297;141,9058755;64,40284741;127,744322;224,2661767;170,7624797
BtL_substrat;Oil_fuel;327,3696835;275,8091612;327,3696835;327,3696835;0;160,4839037;353,787543;348,1014973;425,6045253;362,2630507;265,7411961;319,2448931
Electric boiler;District heating;3133,503534;1924,621003;3133,503534;3133,503534;2442,816456;2575,72297;3026,158461;0;2851,710253;2780,07786;3190,359679;2085,510428
Electrolysis;Hydrogen;1657,679088;1593,250651;1657,679088;1657,679088;1760,458775;1673,885325;1838,527037;2185,380292;1944,231746;1937,917979;1660,876144;2010,256231
Fuelcell;ElectricityIn;0;0;0;0;0;277,4876332;0;0;0;0;0;0
Gas_storage;None;259602,5571;329116,1844;259602,5571;259602,5571;1100000;706653,8662;237721,4272;518739,443;862469,6066;462294,1428;511748,0837;505610,5362
Gas_storage;Gas;324,5031964;411,3952304;324,5031964;324,5031964;1375;883,3173328;297,151784;648,4243037;1078,087008;577,8676785;639,6851046;632,0131702
GuD;District heating;0;0;0;0;0;0;0;0;0;0;0;0
