Component,Peak Flow (MW),Peak Flow (MW),Peak Flow (MW),Peak Flow (MW)
,BP-2026,Feed-in (unskaliert),Wind-Neu (unskaliert),Feed-in (Skaliert)
AW,0.0,0.0,0.0,0.0
Battery,1.8189894035458565e-12,99.8298074734036,13.589338835202078,47.80336082652981
BioTransformer,780.0517391712743,780.0517391712743,780.0517391712743,780.0517391712743
Biogas- BHKW,0.0,0.0,0.0,0.0
Biogas_feedin_existing,133.79860409210835,125.15060173396924,97.73631126671233,144.87692833769626
Biogas_feedin_new,0.0,0.0,0.0,0.0
Biomasse_elec,0.0,0.0,0.0,0.0
Biomasse_elec_heat,50.455550892325945,303.21740788450296,112.69038022583268,328.90793578678796
Biomasse_heat,0.0,0.0,0.0,0.0
BtL_Holz,212.5743934550063,67.33506087280881,0.0,100.70478923659817
BtL_substrat,277.43297954967164,422.67231186644074,490.0073727391552,389.3025835026658
Electric boiler,3904.4290763336826,2938.2686262283405,3328.4033524683987,2944.592749900821
Electrolysis,1732.659874660519,1714.979647303332,1823.9010227346016,1604.3209998790683
Fuelcell,0.0,0.0,1.304556462855544e-13,0.0
Gas_storage,450.99702737075006,318.8378852979487,317.5690569134087,323.7044423733021
GuD,0.0,0.0,0.0,0.0
H2_storage,890.250541926378,940.362804289377,983.0030547505286,875.2183525003427
Heat storage_dist_heat,306.4580772904355,291.28275805422766,308.2118414579743,298.99493296090367
Heat storage_seasonal,334.0726582241255,248.15773913319953,337.0829926721328,232.96968775261607
Heatpump_air,233.2527128505912,34.74462963879977,122.18736041114315,49.639754603250054
Heatpump_recovery_heat,0.0,0.0,0.0,0.0
Heatpump_water,0.0,0.0,0.0,0.0
Hydro power plant,29.45,29.45,29.45,29.45
Hös<->HS,4108.325780987798,3217.073466058307,3393.3274943569936,3389.288869266777
Import_Electricity,4108.325780987798,3217.073466058307,3393.3274943569936,3389.288869266777
Import_Gas,0.0,0.0,0.0,0.0
Import_Hydrogen,0.0,0.0,0.0,0.0
Import_Oil,0.0,0.0,0.0,0.0
Import_Synthetic_fuel,0.0,0.0,0.0,0.0
Import_Wood,1330.6884955727828,1458.3926709952818,977.754160620051,1576.0066603257696
Import_brown_coal,0.0,0.0,0.0,0.0
Import_solid_fuel,614.4321675359395,846.6704459902451,927.7429446410681,813.4705122821282
Li-Ion_Battery,0.0,0.0,0.0,0.0
Methanisation,267.5986130026458,164.55553016624046,193.23864901803734,139.96264648716001
Natrium_Battery,561.9697258520141,334.80235607759295,267.2813018168705,140.48261203471205
Netzverluste,17298.773898677056,14341.284715017886,14594.040258415063,13602.779965435118
PV_open_east,2593.714729139289,3684.402,3684.402,2443.609944355406
PV_open_middle,3707.523060793023,2470.543590948846,1896.4641376416378,0.0
PV_open_north,3118.771252551237,0.0,0.0,1977.7539376369093
PV_open_swest,2405.6417,2099.7799999999997,2099.7799999999997,1704.22607804
PV_rooftop_east,0.0,0.0,0.0,0.0
PV_rooftop_middle,0.0,0.0,0.0,0.0
PV_rooftop_north,0.0,0.0,0.0,0.0
PV_rooftop_swest,0.0,0.0,0.0,0.0
Preheater- Electric boiler,334.0726582241255,248.15773913319953,337.0829926721328,232.96968775261573
Preheater- WP,0.0,0.0,0.0,0.0
PtL,277.43297954967164,422.67231194923886,490.0073727391552,389.30258370315994
Pumped_hydro_storage,0.0,0.0,7.776179700158538e-13,0.0
Pumped_hydro_storage_bestand,297.0,297.0,297.0,297.0
Pumped_hydro_technology,0.0,0.0,3.8880898500792685e-12,0.0
Red-OX_Battery,0.0,0.0,0.0,9.573628439715036e-13
ST,0.0,0.0,0.0,0.0
UW,0.0,0.0,0.0,0.0
Umgebungsluft,195.48939055056186,29.119517582394284,102.40537967529016,41.603140456011225
Wind_east,971.2167946463647,2344.784832,2335.749256448,2464.66894656
Wind_middle,2411.0,2106.8005058424696,2315.335394477,2504.211630013
Wind_north,3321.0,3191.972508,3189.3484430969997,3378.3164150220005
Wind_swest,2530.0,2292.3680716261065,2415.04131858,2737.6760670599997
