Component,Total Flow (MWh),Total Flow (MWh)
,REF-01,REF-02
AW,0.0,0.0
Battery,691097.3333970973,-4.121147867408581e-12
BioTransformer,2113344.9345013737,2113344.9345013737
Biogas- BHKW,0.0,0.0
Biogas_feedin_existing,1098777.1354356406,1212861.4888685746
Biogas_feedin_new,0.0,0.0
Biomasse_elec,0.0,0.0
Biomasse_elec_heat,842248.8776887085,255824.99513273084
Biomasse_heat,0.0,0.0
BtL_Holz,1613930.7000818232,1913658.4622768892
BtL_substrat,1580182.2766937332,1502397.4902620846
Electric boiler,2368350.237998113,2531666.9482118194
Electrolysis,4043822.815942487,3646039.019403196
Fuelcell,0.0,0.0
Gas_storage,337805.3984017541,446714.5798015554
GuD,0.0,0.0
H2_storage,1689165.236225629,1456452.332703111
Heat storage_dist_heat,390074.12570514914,411152.5281298694
Heat storage_seasonal,1145855.9175021024,1236685.5328547428
Heatpump_air,764737.7057863113,1146220.7516670688
Heatpump_recovery_heat,0.0,0.0
Heatpump_water,0.0,0.0
Hydro power plant,195270.85999999996,195270.85999999996
Hös<->HS,5500703.701841132,6733578.375832258
Import_Electricity,5500703.701841132,6733578.375832258
Import_Gas,0.0,0.0
Import_Hydrogen,0.0,0.0
Import_Oil,0.0,0.0
Import_Synthetic_fuel,0.0,0.0
Import_Wood,6557722.021000036,6557722.020999577
Import_brown_coal,0.0,0.0
Import_solid_fuel,3882247.5089997547,3882247.5089995805
Li-Ion_Battery,0.0,0.0
Methanisation,1099607.8458364329,991255.5545824069
Natrium_Battery,1542270.7483882671,911878.3440993385
Netzverluste,37418298.77394615,38217836.175946884
PV_open_east,2588177.2218664484,2706711.485367828
PV_open_middle,4213199.797083553,3881048.633314967
PV_open_north,3255380.5196364443,3292657.7973644016
PV_open_swest,2545999.6816615597,2545999.6816615597
PV_rooftop_east,0.0,0.0
PV_rooftop_middle,0.0,0.0
PV_rooftop_north,0.0,0.0
PV_rooftop_swest,0.0,0.0
Preheater- Electric boiler,1146485.1850076145,1237379.8300186193
Preheater- WP,0.0,0.0
PtL,1097861.6010468877,875918.6252830805
Pumped_hydro_storage,0.0,0.0
Pumped_hydro_storage_bestand,611414.8732988146,657323.9476423615
Pumped_hydro_technology,0.0,0.0
Red-OX_Battery,0.0,0.0
ST,0.0,0.0
UW,0.0,0.0
Umgebungsluft,588614.8651593209,881834.4330838588
Wind_east,2133986.5846822276,2019816.0115120711
Wind_middle,5521819.839000258,5521819.839000258
Wind_north,7634239.902191051,7634239.902191051
Wind_swest,5817151.960510769,5817151.960510769
