Component,Peak Flow (MW),Peak Flow (MW),Peak Flow (MW)
,BP 2026,BP 2023,BP 2021
AW,0.0,0.0,0.0
Battery,1.1368683772161603e-12,218.45544300109097,250.0
BioTransformer,780.0517391712743,780.0517391712743,780.0517391712743
Biogas- BHKW,0.0,0.0,0.0
Biogas_feedin_existing,138.47031497529107,125.44550010682053,133.68380931307885
Biogas_feedin_new,0.0,0.0,0.0
Biomasse_elec,0.0,0.0,0.0
Biomasse_elec_heat,36.61101903364867,116.05088726312493,103.16881172706506
Biomasse_heat,0.0,0.0,0.0
BtL_Holz,218.47910289725954,184.25969878896885,183.62386879199013
BtL_substrat,271.52826984189574,305.7476741341045,306.38350394716514
Electric boiler,3921.5214388148315,3683.1135121737702,1414.2662098478797
Electrolysis,1700.786399526052,1678.850242776059,1567.620256721506
Fuelcell,0.0,0.0,0.0
Gas_storage,438.42702047682366,288.2757442622219,319.1913656212241
GuD,0.0,0.0,0.0
H2_storage,856.9271310420409,841.4784844848132,798.6947243115479
Heat storage_dist_heat,311.3979788971285,329.11971242036964,136.05062241412185
Heat storage_seasonal,331.7096785867473,316.9897521177007,314.94062991492217
Heatpump_air,248.31856481346668,171.1808728466375,269.7792886128546
Heatpump_recovery_heat,0.0,0.0,0.0
Heatpump_water,0.0,0.0,0.0
Hydro power plant,29.45,29.45,29.45
Hös<->HS,5002.891418321987,4738.83614707026,4924.62909576822
Import_Electricity,5002.891418321987,4738.83614707026,4924.62909576822
Import_Gas,0.0,0.0,0.0
Import_Hydrogen,0.0,0.0,0.0
Import_Oil,0.0,0.0,0.0
Import_Synthetic_fuel,0.0,0.0,0.0
Import_Wood,1319.2361686408253,1384.2143491862107,1360.2319779427626
Import_brown_coal,0.0,0.0,0.0
Import_solid_fuel,609.8997470568994,652.1311615570157,662.5525929192286
Li-Ion_Battery,0.0,0.0,0.0
Methanisation,244.93528928355676,194.82277282911593,155.66884226385534
Natrium_Battery,581.4040775475651,1047.3458189665646,1232.6727896566838
Netzverluste,17310.57877763163,16857.10691705473,17557.81897227719
PV_open,11924.69325070875,12091.845507396934,13763.193951563928
PV_rooftop,0.0,0.0,0.0
Preheater- Electric boiler,331.7096785867473,316.9897521177007,314.94062991492217
Preheater- WP,0.0,0.0,0.0
PtL,271.52826984189585,305.7476741341045,306.38350394716514
Pumped_hydro_storage,0.0,0.0,0.0
Pumped_hydro_storage_bestand,297.0,297.0,297.0
Pumped_hydro_technology,0.0,0.0,0.0
Red-OX_Battery,0.0,0.0,0.0
ST,0.0,0.0,0.0
UW,0.0,0.0,0.0
Umgebungsluft,208.11609993521992,143.46690376174791,226.10235940909618
Wind,9156.0330832971,9206.568512747775,7880.005871853956
