Component,Peak Flow (MW),Peak Flow (MW),Peak Flow (MW)
,Base Scenario,Reg-REf,Reg-Base
AW,0.0,0.0,0.0
Battery,1.1368683772161603e-12,2.2737367544323206e-13,62.5
BioTransformer,780.0517391712743,848.6785588087062,848.6785588087062
Biogas- BHKW,0.0,0.0,0.0
Biogas_feedin_existing,138.47031497529107,139.7143932159402,160.29937330716638
Biogas_feedin_new,0.0,0.0,0.0
Biomasse_elec,0.0,0.0,0.0
Biomasse_elec_heat,36.61101903364867,34.76054857786506,234.58446969345877
Biomasse_heat,0.0,0.0,27.268172996866692
BtL_Holz,218.47910289725954,219.13587539301548,148.97792489916324
BtL_substrat,271.52826984189574,270.8714973461398,240.27679683268607
East<->Middle,0.0,5340.234036891795,1360.0
Electric boiler,3921.5214388148315,3922.452065941254,3226.9740192125023
Electrolysis,1700.786399526052,1694.4212178278854,1762.5648394899667
Fuelcell,0.0,0.0,0.0
Gas_storage,438.42702047682366,449.1134073494316,469.5348286847168
GuD,0.0,0.0,0.0
H2_storage,856.9271310420409,857.715167940577,835.4006218081365
HS<->East,0.0,3212.1753844260074,1584.0501044839557
HS<->Middle,0.0,3632.234114187964,2707.96
HS<->North,0.0,3799.896974962059,1283.78
HS<->Swest,0.0,4591.328066303025,601.77
Heat storage_dist_heat,311.3979788971285,376.9192804701774,770.8635435843379
Heat storage_seasonal,331.7096785867473,365.9257098235938,94.44877855475465
Heatpump_air,248.31856481346668,247.39346409953717,232.0103200467762
Heatpump_recovery_heat,0.0,0.0,0.0
Heatpump_water,0.0,0.0,0.0
Hydro power plant,29.45,30.2859525,30.2859525
Hös<->HS,5002.891418321987,0.0,0.0
Import_Electricity,5002.891418321987,5002.74612066443,4190.4001445359245
Import_Gas,0.0,0.0,0.0
Import_Hydrogen,0.0,0.0,0.0
Import_Oil,0.0,0.0,0.0
Import_Synthetic_fuel,0.0,0.0,100.75265100730591
Import_Wood,1319.2361686408253,1386.0443151772674,1614.733710779609
Import_brown_coal,0.0,0.0,0.0
Import_solid_fuel,609.8997470568994,610.2188515041045,582.6197068126205
Li-Ion_Battery,0.0,0.0,0.0
Methanisation,244.93528928355676,245.00948826302448,249.45429836696565
Middle<->Swest,0.0,4084.4976281584322,1060.0
Natrium_Battery,581.4040775475651,580.6175612386386,1928.1961891856092
Netzverluste,17310.57877763163,23832.07619925592,17290.547787115556
North<->Middle,0.0,4080.5855607046897,460.0
PV_open,11924.69325070875,11912.377165767091,10306.339858778589
PV_rooftop,0.0,0.0,1023.1562741399999
Preheater- Electric boiler,331.7096785867473,365.9257098235938,94.44877855475465
Preheater- WP,0.0,0.0,0.0
PtL,271.52826984189585,270.8714973461398,341.0294478399924
Pumped_hydro_storage,0.0,0.0,0.0
Pumped_hydro_storage_bestand,297.0,297.0,297.0
Pumped_hydro_technology,0.0,0.0,0.0
Red-OX_Battery,0.0,0.0,0.0
ST,0.0,0.0,0.0
UW,0.0,0.0,0.0
Umgebungsluft,208.11609993521992,207.34077186913302,194.44813958685808
Wind,9156.0330832971,9153.181802190225,9357.656798992351
