Component,Peak Flow (MW),Peak Flow (MW),Peak Flow (MW),Peak Flow (MW),Peak Flow (MW),Peak Flow (MW)
,2020,2025,2030,2035,2040,2045
AW,51.44084041222175,0.0,0.0,0.0,0.0,0.0
Battery,2.8583886937931076e-11,0.0,2.2737367544323206e-13,0.0,177.42623560593304,62.5
BioTransformer,1298.2587916554419,1199.0838719769738,1283.6304473243117,1024.1607311258529,928.089426432735,837.2131578383867
Biogas- BHKW,0.016953990181534095,0.016953990181548306,0.016953990181539424,0.0,0.0,0.0
Biogas_feedin_existing,297.00000000000006,297.00000000000006,0.0,0.0,0.0,109.73930133775485
Biogas_feedin_new,93.0121529765444,93.01215297621472,0.0,0.0,0.0,0.0
Biomasse_elec,0.0,0.0,0.0,0.0,0.0,0.0
Biomasse_elec_heat,717.5007726950466,547.9424799333794,355.6793552498432,457.5764217028511,410.26977665825956,499.58196502194164
Biomasse_heat,0.0,0.0,0.0,0.0,0.0,0.0
BtL_holz,0.0,0.0,0.0,0.0,0.0,0.0
BtL_substrat,0.0,0.0,265.91737702947523,265.9377218175874,265.9377218175177,304.810460143244
East<->Middle,1266.6636457934203,1254.8312835207898,1186.6912862729566,1245.3198046290372,1360.0,1360.0
Electric boiler,5489.685921884937,3855.4840497135465,3700.914893863571,961.3111251892957,638.3851932908813,2559.189433381046
Electrolysis,32.46355300556192,98.49007558600462,119.55426276083404,351.540682834496,622.6089584028856,2091.002483679706
Fuelcell,11.580473052028395,21.304583345424348,0.0,0.0,47.698189782577906,0.0
Gas_storage,209.73187523041656,245.31894857165918,0.0,0.0,0.0,518.2138673504162
Grid_losses,9426.334837161063,8628.143840683817,11927.319019864357,14495.29587681945,16329.508773705424,17802.482226650587
GuD,425.77072247926714,444.5,444.5,444.5,444.5,0.0
H2_storage,22.70680990593803,63.26781355850051,42.57141611247322,99.19092154080236,247.65772990775235,982.5657764563487
HS<->East,395.84,395.84000000000003,1083.78,1294.290832648483,1356.1530213803767,1750.5687157699176
HS<->Middle,494.8,494.8,1330.09,1994.8702549307047,2202.7891814405125,2366.3342821403417
HS<->North,235.03,235.03,630.56,955.28,1119.53,1283.78
HS<->Swest,111.33,111.3300000000001,295.58,447.79,524.78,601.77
Heat storage_dist_heat,440.44846417354495,594.5765620878364,722.674255787146,524.7907492429707,442.94439496785367,590.2861884767208
Heat storage_seasonal,152.59003499746296,263.07196685546586,242.27533799246925,118.62292056296093,115.58592759462758,94.89822361653708
Heatpump_air,101.67224237248593,0.0,16.290964350314262,0.0,0.0,0.0
Heatpump_recovery_heat,72.01717657711046,0.0,0.0,0.0,0.0,0.0
Heatpump_water,0.0,0.0,0.0,0.0,0.0,0.0
Hydro power plant,30.2859525,30.2859525,30.2859525,30.2859525,30.2859525,30.2859525
Import_Electricity,1237.0,1237.0,2759.219452219639,3289.1610875791876,3558.942202820889,3850.602539379861
Import_Gas,5661.138312343355,4693.546075947845,4051.8290735875244,3172.853668820557,2443.3190760346433,0.0
Import_Hydrogen,0.0,0.0,0.0,0.0,0.0,0.0
Import_Oil,3645.744620944919,2917.8630798495115,2044.6683437366269,1350.2261929540591,768.5919832428601,0.0
Import_Synthetic_fuel,0.0,0.0,0.0,0.0,0.0,185.19691259591127
Import_Wood,2552.1740724748142,2155.909354334926,1904.8904791776245,1821.9433582818885,1645.8976196201115,1707.1655785051119
Import_brown_coal,15.252949016002098,0.0,0.0,0.0,0.0,0.0
Import_hard_coal,0.0,0.0,0.0,0.0,0.0,0.0
Import_solid_fuel,443.2295363627999,443.2295363624253,443.22953636282176,443.22953636264566,443.22953636252953,632.7211850922491
Li-Ion_Battery,6.252776074688882e-13,0.0,1.3642420526593926e-13,0.0,0.0,0.0
Methanisation,0.0,0.0,0.0,0.0,0.0,368.8132961204816
Middle<->Swest,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0
Natrium_Battery,1941.2700953249207,2773.9137527266194,2208.3876420022557,2460.54036252242,1991.4373738142856,2380.5939788308074
North<->Middle,460.0,460.0,460.0,460.0,460.0,460.0
PV_open,7971.407470638351,7468.737827224815,7874.590920408986,8166.98343632578,8617.682435872526,10894.639130077485
PV_rooftop,0.0,0.0,0.0,0.0,431.0245056635061,1004.3647665432851
Preheater- Electric boiler,156.64772708839604,263.07196685546586,242.27533799246925,120.50932487339531,117.8166725967748,95.3776753219711
Preheater- WP,0.0,0.0,0.0,0.0,0.0,0.0
PtL,0.0,0.0,0.0,0.0,0.0,490.0073727391552
Pumped_hydro_storage,16.377609209909195,1.3297267287271096e-12,0.0,0.0,0.0,0.0
Pumped_hydro_storage_bestand,297.0,297.0,297.0,297.0,297.0,297.0
Pumped_hydro_technology,18.82007502862623,1.5552359400317073e-12,0.0,0.0,0.0,0.0
Red-OX_Battery,0.0,0.0,0.0,0.0,0.0,0.0
ST,0.0,0.0,0.0,0.0,0.0,0.0
UW,0.0,0.0,0.0,0.0,0.0,0.0
Umgebungsluft,85.67774170822835,0.0,13.728162212363078,0.0,0.0,0.0
Wind,3851.815101790189,3713.0441738209975,7162.972253842363,9124.88809712989,9772.94426786714,9602.008486255614
