;('Battery_e', 'Electricity_e');('Battery_e', 'None');('Electricity_e', 'Battery_e')
;flow;storage_content;flow
2030-01-01 00:00:00;0,0;318,62;0,0
2030-01-01 01:00:00;0,0;318,62;0,0
2030-01-01 02:00:00;0,0;318,62;0,0
2030-01-01 03:00:00;0,0;318,62;0,0
2030-01-01 04:00:00;0,0;318,62;0,0
2030-01-01 05:00:00;0,0;318,62;0,0
2030-01-01 06:00:00;24,5;291,4;0,0
2030-01-01 07:00:00;113,51;165,28;0,0
2030-01-01 08:00:00;148,75;0,0;0,0
2030-01-01 09:00:00;0,0;0,0;0,0
2030-01-01 10:00:00;0,0;0,0;0,0
2030-01-01 11:00:00;0,0;0,0;0,0
2030-01-01 12:00:00;0,0;0,0;0,0
2030-01-01 13:00:00;0,0;159,31;159,31
2030-01-01 14:00:00;0,0;179,76;20,45
2030-01-01 15:00:00;0,0;339,07;159,31
2030-01-01 16:00:00;0,0;477,93;138,86
2030-01-01 17:00:00;0,0;637,24;159,31
2030-01-01 18:00:00;0,0;637,24;0,0
2030-01-01 19:00:00;7,44;628,97;0,0
2030-01-01 20:00:00;0,0;637,24;8,27
2030-01-01 21:00:00;111,07;513,83;0,0
2030-01-01 22:00:00;159,31;336,82;0,0
2030-01-01 23:00:00;159,31;159,81;0,0
2030-01-02 00:00:00;143,83;0,0;0,0
2030-01-02 01:00:00;0,0;0,0;0,0
2030-01-02 02:00:00;0,0;159,31;159,31
2030-01-02 03:00:00;0,0;298,37;139,06
2030-01-02 04:00:00;0,0;457,68;159,31
2030-01-02 05:00:00;0,0;503,19;45,51
2030-01-02 06:00:00;0,0;637,24;134,05
2030-01-02 07:00:00;11,19;624,8;0,0
2030-01-02 08:00:00;6,26;617,85;0,0
2030-01-02 09:00:00;102,9;503,51;0,0
2030-01-02 10:00:00;2,89;500,3;0,0
2030-01-02 11:00:00;55,08;439,11;0,0
2030-01-02 12:00:00;0,0;439,11;0,0
2030-01-02 13:00:00;0,0;598,06;158,96
2030-01-02 14:00:00;0,0;598,06;0,0
2030-01-02 15:00:00;0,0;637,24;39,17
2030-01-02 16:00:00;0,0;637,24;0,0
2030-01-02 17:00:00;0,0;637,24;0,0
2030-01-02 18:00:00;159,31;460,23;0,0
2030-01-02 19:00:00;159,31;283,22;0,0
2030-01-02 20:00:00;159,31;106,21;0,0
2030-01-02 21:00:00;95,59;0,0;0,0
2030-01-02 22:00:00;0,0;0,0;0,0
2030-01-02 23:00:00;0,0;0,0;0,0
2030-01-03 00:00:00;0,0;0,0;0,0
2030-01-03 01:00:00;0,0;159,31;159,31
2030-01-03 02:00:00;0,0;318,62;159,31
2030-01-03 03:00:00;0,0;477,93;159,31
2030-01-03 04:00:00;0,0;637,24;159,31
2030-01-03 05:00:00;0,0;637,24;0,0
2030-01-03 06:00:00;0,0;637,24;0,0
2030-01-03 07:00:00;0,0;637,24;0,0
2030-01-03 08:00:00;159,31;460,23;0,0
2030-01-03 09:00:00;0,0;460,23;0,0
2030-01-03 10:00:00;0,0;460,23;0,0
2030-01-03 11:00:00;0,0;460,23;0,0
2030-01-03 12:00:00;0,0;460,23;0,0
2030-01-03 13:00:00;158,13;284,53;0,0
2030-01-03 14:00:00;0,0;284,53;0,0
2030-01-03 15:00:00;159,31;107,52;0,0
2030-01-03 16:00:00;96,77;0,0;0,0
2030-01-03 17:00:00;0,0;159,31;159,31
2030-01-03 18:00:00;0,0;318,62;159,31
2030-01-03 19:00:00;159,31;141,61;0,0
2030-01-03 20:00:00;127,45;0,0;0,0
