;('Battery_m', 'Electricity_m');('Battery_m', 'None');('Electricity_m', 'Battery_m')
;flow;storage_content;flow
2030-01-01 00:00:00;0,0;383,31;0,0
2030-01-01 01:00:00;0,0;383,31;0,0
2030-01-01 02:00:00;0,0;383,31;0,0
2030-01-01 03:00:00;0,0;383,31;0,0
2030-01-01 04:00:00;0,0;383,31;0,0
2030-01-01 05:00:00;0,0;383,31;0,0
2030-01-01 06:00:00;0,0;383,31;0,0
2030-01-01 07:00:00;9,3;372,98;0,0
2030-01-01 08:00:00;191,66;160,03;0,0
2030-01-01 09:00:00;0,0;235,8;75,77
2030-01-01 10:00:00;87,51;138,57;0,0
2030-01-01 11:00:00;76,54;53,53;0,0
2030-01-01 12:00:00;0,0;98,5;44,97
2030-01-01 13:00:00;0,0;290,16;191,66
2030-01-01 14:00:00;0,0;419,1;128,95
2030-01-01 15:00:00;0,0;610,76;191,66
2030-01-01 16:00:00;0,0;637,04;26,28
2030-01-01 17:00:00;0,0;766,62;129,59
2030-01-01 18:00:00;0,0;766,62;0,0
2030-01-01 19:00:00;180,19;566,42;0,0
2030-01-01 20:00:00;136,05;415,25;0,0
2030-01-01 21:00:00;191,66;202,3;0,0
2030-01-01 22:00:00;182,07;0,0;0,0
2030-01-01 23:00:00;0,0;0,0;0,0
2030-01-02 00:00:00;0,0;0,0;0,0
2030-01-02 01:00:00;0,0;0,0;0,0
2030-01-02 02:00:00;0,0;135,04;135,04
2030-01-02 03:00:00;0,0;326,7;191,66
2030-01-02 04:00:00;0,0;518,35;191,66
2030-01-02 05:00:00;0,0;601,98;83,63
2030-01-02 06:00:00;0,0;766,62;164,64
2030-01-02 07:00:00;0,0;766,62;0,0
2030-01-02 08:00:00;0,0;766,62;0,0
2030-01-02 09:00:00;0,0;766,62;0,0
2030-01-02 10:00:00;3,69;762,52;0,0
2030-01-02 11:00:00;167,41;576,51;0,0
2030-01-02 12:00:00;0,0;576,51;0,0
2030-01-02 13:00:00;0,0;737,67;161,16
2030-01-02 14:00:00;0,0;737,67;0,0
2030-01-02 15:00:00;0,0;766,62;28,95
2030-01-02 16:00:00;0,0;766,62;0,0
