;('Battery_s', 'Electricity_s');('Battery_s', 'None');('Electricity_s', 'Battery_s')
;flow;storage_content;flow
2030-01-01 00:00:00;0,0;969,13;0,0
2030-01-01 01:00:00;0,0;969,13;0,0
2030-01-01 02:00:00;0,0;969,13;0,0
2030-01-01 03:00:00;0,0;969,13;0,0
2030-01-01 04:00:00;0,0;969,13;0,0
2030-01-01 05:00:00;0,0;969,13;0,0
2030-01-01 06:00:00;0,0;969,13;0,0
2030-01-01 07:00:00;47,17;916,72;0,0
2030-01-01 08:00:00;58,81;851,38;0,0
2030-01-01 09:00:00;0,0;851,38;0,0
2030-01-01 10:00:00;0,0;851,38;0,0
2030-01-01 11:00:00;0,0;851,38;0,0
2030-01-01 12:00:00;0,0;851,38;0,0
2030-01-01 13:00:00;0,0;851,38;0,0
2030-01-01 14:00:00;0,0;851,38;0,0
2030-01-01 15:00:00;0,0;851,38;0,0
2030-01-01 16:00:00;0,0;851,38;0,0
2030-01-01 17:00:00;0,0;860,81;9,43
2030-01-01 18:00:00;0,0;860,81;0,0
2030-01-01 19:00:00;0,0;860,81;0,0
2030-01-01 20:00:00;0,0;860,81;0,0
2030-01-01 21:00:00;36,09;820,71;0,0
2030-01-01 22:00:00;116,44;691,34;0,0
2030-01-01 23:00:00;79,4;603,12;0,0
2030-01-02 00:00:00;0,0;603,12;0,0
2030-01-02 01:00:00;0,0;603,12;0,0
2030-01-02 02:00:00;0,0;932,59;329,48
2030-01-02 03:00:00;0,0;932,59;0,0
2030-01-02 04:00:00;0,0;1417,16;484,57
2030-01-02 05:00:00;0,0;1712,03;294,88
2030-01-02 06:00:00;0,0;1712,03;0,0
2030-01-02 07:00:00;0,0;1712,03;0,0
2030-01-02 08:00:00;0,0;1712,03;0,0
2030-01-02 09:00:00;0,0;1712,03;0,0
2030-01-02 10:00:00;0,0;1712,03;0,0
2030-01-02 11:00:00;0,0;1712,03;0,0
2030-01-02 12:00:00;0,0;1775,56;63,53
2030-01-02 13:00:00;0,0;1909,58;134,02
2030-01-02 14:00:00;0,0;1909,58;0,0
2030-01-02 15:00:00;0,0;1938,26;28,68
2030-01-02 16:00:00;0,0;1938,26;0,0
2030-01-02 17:00:00;0,0;1938,26;0,0
2030-01-02 18:00:00;0,0;1938,26;0,0
2030-01-02 19:00:00;119,04;1805,99;0,0
2030-01-02 20:00:00;0,0;1805,99;0,0
2030-01-02 21:00:00;0,0;1805,99;0,0
2030-01-02 22:00:00;0,0;1824,28;18,29
2030-01-02 23:00:00;0,0;1835,87;11,59
2030-01-03 00:00:00;0,0;1861,06;25,19
2030-01-03 01:00:00;0,0;1885,89;24,83
2030-01-03 02:00:00;0,0;1913,58;27,69
2030-01-03 03:00:00;0,0;1937,94;24,36
2030-01-03 04:00:00;0,0;1938,26;0,32
2030-01-03 05:00:00;0,0;1938,26;0,0
2030-01-03 06:00:00;114,76;1810,75;0,0
2030-01-03 07:00:00;0,0;1810,75;0,0
2030-01-03 08:00:00;269,57;1511,23;0,0
2030-01-03 09:00:00;255,29;1227,57;0,0
2030-01-03 10:00:00;0,0;1227,57;0,0
2030-01-03 11:00:00;148,77;1062,27;0,0
2030-01-03 12:00:00;376,06;644,43;0,0
2030-01-03 13:00:00;113,57;518,24;0,0
2030-01-03 14:00:00;130,38;373,37;0,0
2030-01-03 15:00:00;135,85;222,43;0,0
2030-01-03 16:00:00;16,67;203,9;0,0
2030-01-03 17:00:00;0,0;203,9;0,0
2030-01-03 18:00:00;0,0;203,9;0,0
2030-01-03 19:00:00;183,51;0,0;0,0
2030-01-03 20:00:00;0,0;0,0;0,0
2030-01-03 21:00:00;0,0;0,0;0,0
2030-01-03 22:00:00;0,0;0,0;0,0
2030-01-03 23:00:00;0,0;0,0;0,0
2030-01-04 00:00:00;0,0;0,0;0,0
2030-01-04 01:00:00;0,0;437,78;437,78
2030-01-04 02:00:00;0,0;889,0;451,21
2030-01-04 03:00:00;0,0;1373,56;484,57
2030-01-04 04:00:00;0,0;1858,13;484,57
2030-01-04 05:00:00;0,0;1938,26;80,13
2030-01-04 06:00:00;0,0;1938,26;0,0
2030-01-04 07:00:00;0,0;1938,26;0,0
2030-01-04 08:00:00;320,12;1582,58;0,0
2030-01-04 09:00:00;360,92;1181,55;0,0
2030-01-04 10:00:00;305,21;842,43;0,0
2030-01-04 11:00:00;3,93;838,06;0,0
2030-01-04 12:00:00;0,0;838,06;0,0
2030-01-04 13:00:00;0,0;838,06;0,0
2030-01-04 14:00:00;58,21;773,39;0,0
2030-01-04 15:00:00;109,62;651,59;0,0
2030-01-04 16:00:00;393,34;214,55;0,0
2030-01-04 17:00:00;26,19;185,45;0,0
2030-01-04 18:00:00;166,9;0,0;0,0
2030-01-04 19:00:00;0,0;0,0;0,0
2030-01-04 20:00:00;0,0;0,0;0,0
2030-01-04 21:00:00;0,0;0,0;0,0
2030-01-04 22:00:00;0,0;0,0;0,0
2030-01-04 23:00:00;0,0;0,0;0,0
2030-01-05 00:00:00;0,0;0,0;0,0
2030-01-05 01:00:00;0,0;403,78;403,78
2030-01-05 02:00:00;0,0;888,35;484,57
2030-01-05 03:00:00;0,0;1372,91;484,57
2030-01-05 04:00:00;0,0;1645,64;272,73
