;('BioWood_e', 'BioTransformer_e');('BioWood_e', 'Biomasse_elec_e');('BioWood_e', 'Biomasse_heat_e');('Import_Wood_e', 'BioWood_e')
;flow;flow;flow;flow
2030-01-01 00:00:00;68,98;0,0;0,0;68,98
2030-01-01 01:00:00;78,17;0,0;0,0;78,17
2030-01-01 02:00:00;86,85;0,0;0,0;86,85
2030-01-01 03:00:00;93,28;0,0;0,0;93,28
2030-01-01 04:00:00;98,63;0,0;0,0;98,63
2030-01-01 05:00:00;103,67;0,0;0,0;103,67
2030-01-01 06:00:00;107,54;0,0;0,0;107,54
2030-01-01 07:00:00;111,18;0,0;0,0;111,18
2030-01-01 08:00:00;114,74;0,0;0,0;114,74
2030-01-01 09:00:00;116,48;0,0;0,0;116,48
2030-01-01 10:00:00;114,68;0,0;0,0;114,68
2030-01-01 11:00:00;107,96;0,0;0,0;107,96
2030-01-01 12:00:00;103,68;0,0;0,0;103,68
2030-01-01 13:00:00;103,78;0,0;0,0;103,78
2030-01-01 14:00:00;109,73;0,0;0,0;109,73
2030-01-01 15:00:00;112,87;0,0;0,0;112,87
2030-01-01 16:00:00;110,3;0,0;0,0;110,3
2030-01-01 17:00:00;110,16;0,0;0,0;110,16
2030-01-01 18:00:00;111,41;0,0;0,0;111,41
2030-01-01 19:00:00;112,76;0,0;0,0;112,76
2030-01-01 20:00:00;114,2;0,0;0,0;114,2
2030-01-01 21:00:00;115,71;0,0;0,0;115,71
2030-01-01 22:00:00;117,27;0,0;0,0;117,27
2030-01-01 23:00:00;118,88;0,0;0,0;118,88
2030-01-02 00:00:00;120,53;0,0;0,0;120,53
2030-01-02 01:00:00;122,21;0,0;0,0;122,21
2030-01-02 02:00:00;123,91;0,0;0,0;123,91
2030-01-02 03:00:00;125,08;0,0;0,0;125,08
2030-01-02 04:00:00;126,2;0,0;0,0;126,2
2030-01-02 05:00:00;127,27;0,0;0,0;127,27
2030-01-02 06:00:00;128,31;0,0;0,0;128,31
2030-01-02 07:00:00;129,68;0,0;0,0;129,68
2030-01-02 08:00:00;131,41;0,0;0,0;131,41
2030-01-02 09:00:00;126,81;0,0;0,0;126,81
2030-01-02 10:00:00;123,49;0,0;0,0;123,49
2030-01-02 11:00:00;117,13;0,0;0,0;117,13
2030-01-02 12:00:00;108,17;0,0;0,0;108,17
2030-01-02 13:00:00;108,49;0,0;0,0;108,49
2030-01-02 14:00:00;108,53;0,0;0,0;108,53
2030-01-02 15:00:00;108,24;0,0;0,0;108,24
2030-01-02 16:00:00;106,74;0,0;0,0;106,74
2030-01-02 17:00:00;107,73;0,0;0,0;107,73
2030-01-02 18:00:00;109,85;0,0;0,0;109,85
2030-01-02 19:00:00;112,26;0,0;0,0;112,26
2030-01-02 20:00:00;115,45;0,0;0,0;115,45
2030-01-02 21:00:00;118,34;0,0;0,0;118,34
2030-01-02 22:00:00;121,37;0,0;0,0;121,37
2030-01-02 23:00:00;124,51;0,0;0,0;124,51
2030-01-03 00:00:00;127,74;0,0;0,0;127,74
2030-01-03 01:00:00;131,59;0,0;0,0;131,59
2030-01-03 02:00:00;135,57;0,0;0,0;135,57
2030-01-03 03:00:00;138,55;0,0;0,0;138,55
2030-01-03 04:00:00;140,92;0,0;0,0;140,92
2030-01-03 05:00:00;143,74;0,0;0,0;143,74
2030-01-03 06:00:00;145,43;0,0;0,0;145,43
2030-01-03 07:00:00;148,42;0,0;0,0;148,42
2030-01-03 08:00:00;151,26;0,0;0,0;151,26
2030-01-03 09:00:00;150,37;0,0;0,0;150,37
2030-01-03 10:00:00;144,05;0,0;0,0;144,05
2030-01-03 11:00:00;135,43;0,0;0,0;135,43
2030-01-03 12:00:00;123,35;0,0;0,0;123,35
2030-01-03 13:00:00;117,17;0,0;0,0;117,17
2030-01-03 14:00:00;117,26;0,0;0,0;117,26
2030-01-03 15:00:00;119,07;0,0;0,0;119,07
2030-01-03 16:00:00;119,95;0,0;0,0;119,95
2030-01-03 17:00:00;120,41;0,0;0,0;120,41
2030-01-03 18:00:00;122,31;0,0;0,0;122,31
2030-01-03 19:00:00;124,37;0,0;0,0;124,37
2030-01-03 20:00:00;126,0;0,0;0,0;126,0
2030-01-03 21:00:00;128,21;0,0;0,0;128,21
2030-01-03 22:00:00;130,52;0,0;0,0;130,52
2030-01-03 23:00:00;132,36;0,0;0,0;132,36
2030-01-04 00:00:00;134,19;0,0;0,0;134,19
2030-01-04 01:00:00;136,01;0,0;0,0;136,01
2030-01-04 02:00:00;137,83;0,0;0,0;137,83
2030-01-04 03:00:00;139,1;0,0;0,0;139,1
2030-01-04 04:00:00;140,29;0,0;0,0;140,29
2030-01-04 05:00:00;140,88;0,0;0,0;140,88
2030-01-04 06:00:00;141,9;0,0;0,0;141,9
2030-01-04 07:00:00;143,81;0,0;0,0;143,81
2030-01-04 08:00:00;145,59;0,0;0,0;145,59
2030-01-04 09:00:00;149,2;0,0;0,0;149,2
2030-01-04 10:00:00;147,76;0,0;0,0;147,76
2030-01-04 11:00:00;142,84;0,0;0,0;142,84
2030-01-04 12:00:00;139,62;0,0;0,0;139,62
2030-01-04 13:00:00;140,3;0,0;0,0;140,3
2030-01-04 14:00:00;144,13;0,0;0,0;144,13
2030-01-04 15:00:00;144,86;0,0;0,0;144,86
2030-01-04 16:00:00;140,75;0,0;0,0;140,75
2030-01-04 17:00:00;140,68;0,0;0,0;140,68
2030-01-04 18:00:00;141,6;0,0;0,0;141,6
2030-01-04 19:00:00;142,69;0,0;0,0;142,69
2030-01-04 20:00:00;143,92;0,0;0,0;143,92
2030-01-04 21:00:00;145,26;0,0;0,0;145,26
2030-01-04 22:00:00;146,69;0,0;0,0;146,69
2030-01-04 23:00:00;148,19;0,0;0,0;148,19
2030-01-05 00:00:00;151,95;0,0;0,0;151,95
2030-01-05 01:00:00;156,58;0,0;0,0;156,58
2030-01-05 02:00:00;161,54;0,0;0,0;161,54
2030-01-05 03:00:00;165,1;0,0;0,0;165,1
2030-01-05 04:00:00;168,68;0,0;0,0;168,68
2030-01-05 05:00:00;172,25;0,0;0,0;172,25
2030-01-05 06:00:00;175,28;0,0;0,0;175,28
2030-01-05 07:00:00;177,7;0,0;0,0;177,7
2030-01-05 08:00:00;178,9;0,0;0,0;178,9
2030-01-05 09:00:00;175,21;0,0;0,0;175,21
2030-01-05 10:00:00;165,58;0,0;0,0;165,58
2030-01-05 11:00:00;163,02;0,0;0,0;163,02
2030-01-05 12:00:00;164,65;0,0;0,0;164,65
2030-01-05 13:00:00;166,01;0,0;0,0;166,01
2030-01-05 14:00:00;163,19;0,0;0,0;163,19
2030-01-05 15:00:00;165,31;0,0;0,0;165,31
2030-01-05 16:00:00;169,01;0,0;0,0;169,01
2030-01-05 17:00:00;170,72;0,0;0,0;170,72
2030-01-05 18:00:00;172,45;0,0;0,0;172,45
2030-01-05 19:00:00;174,19;0,0;0,0;174,19
2030-01-05 20:00:00;175,95;0,0;0,0;175,95
2030-01-05 21:00:00;177,71;0,0;0,0;177,71
