;Bus;Sequence;Sum
0;Battery_e;(('Battery_e', 'Electricity_e'), 'flow');249572,92
0;Battery_e;(('Battery_e', 'None'), 'storage_content');2742129,0
0;Battery_e;(('Electricity_e', 'Battery_e'), 'flow');277303,24
0;Battery_m;(('Battery_m', 'Electricity_m'), 'flow');302759,17
0;Battery_m;(('Battery_m', 'None'), 'storage_content');3353678,48
0;Battery_m;(('Electricity_m', 'Battery_m'), 'flow');336399,08
0;Battery_n;(('Battery_n', 'Electricity_n'), 'flow');0,0
0;Battery_n;(('Battery_n', 'None'), 'storage_content');0,0
0;Battery_n;(('Electricity_n', 'Battery_n'), 'flow');0,0
0;Battery_s;(('Battery_s', 'Electricity_s'), 'flow');476326,08
0;Battery_s;(('Battery_s', 'None'), 'storage_content');8734290,93
0;Battery_s;(('Electricity_s', 'Battery_s'), 'flow');529251,2
0;Solidfuel_e;(('BioTransformer_e', 'Solidfuel_e'), 'flow');537740,33
0;Solidfuel_e;(('Import_brown_coal_e', 'Solidfuel_e'), 'flow');0,0
0;Solidfuel_e;(('Import_hard_coal_e', 'Solidfuel_e'), 'flow');0,0
0;Solidfuel_e;(('Solidfuel_e', 'Biomass_demand_total_e'), 'flow');537740,33
0;Solidfuel_m;(('BioTransformer_m', 'Solidfuel_m'), 'flow');542514,45
0;Solidfuel_m;(('Import_brown_coal_m', 'Solidfuel_m'), 'flow');0,0
0;Solidfuel_m;(('Import_hard_coal_m', 'Solidfuel_m'), 'flow');0,0
0;Solidfuel_m;(('Solidfuel_m', 'Biomass_demand_total_m'), 'flow');542514,45
0;Solidfuel_n;(('BioTransformer_n', 'Solidfuel_n'), 'flow');304671,11
0;Solidfuel_n;(('Import_brown_coal_n', 'Solidfuel_n'), 'flow');0,0
0;Solidfuel_n;(('Import_hard_coal_n', 'Solidfuel_n'), 'flow');0,0
0;Solidfuel_n;(('Solidfuel_n', 'Biomass_demand_total_n'), 'flow');304671,11
0;Solidfuel_s;(('BioTransformer_s', 'Solidfuel_s'), 'flow');369781,29
0;Solidfuel_s;(('Import_brown_coal_s', 'Solidfuel_s'), 'flow');0,0
0;Solidfuel_s;(('Import_hard_coal_s', 'Solidfuel_s'), 'flow');0,0
0;Solidfuel_s;(('Solidfuel_s', 'Biomass_demand_total_s'), 'flow');369781,29
0;BioWood_e;(('BioWood_e', 'BioTransformer_e'), 'flow');537740,33
0;BioWood_e;(('BioWood_e', 'Biomasse_elec_e'), 'flow');0,0
0;BioWood_e;(('BioWood_e', 'Biomasse_heat_e'), 'flow');0,0
0;BioWood_e;(('Import_Wood_e', 'BioWood_e'), 'flow');537740,33
